trade_id,fold,strategy,entry_utc,close_utc,side,lot,normalized_exposure,entry_price,realized_pl_jpy,mfe_pips,mae_pips,session,month,winner,portfolio_event_id,loss_cluster_id,loss_cluster_size,open_position_count,B02_position_count,F05_position_count,gross_exposure,net_directional_exposure,long_exposure,short_exposure,same_direction_entry_count,opposite_direction_entry_count,cross_strategy_open,strategy_concentration,entry_price_dispersion_pips,average_entry_age_min,maximum_entry_age_min,unrealized_pnl_jpy,realized_pnl_jpy,portfolio_realized_drawdown_jpy,portfolio_snapshot_equity_delta_jpy,current_loss_streak,time_since_previous_entry_min,time_since_previous_loss_min,same_session_entry_count,same_session_prior_loss_count,recovery_interference,recovering_open_position_count,volatility_state,shock_elapsed_min,shock,entry_cluster_1m,entry_cluster_5m,entry_cluster_15m,entry_cluster_30m,entry_cluster_60m,standalone_60m,concurrent_exposure,same_direction_overlap,opposite_direction_overlap,B02_F05_overlap,drawdown_add,drawdown_band,session_loss_chain_id,session_loss_chain_position,session_loss_chain_size,entry_session_key,exit_session_key,side_label,entry_month,allow,prior_relevant_loss_count,C1_allow,C1_prior_relevant_loss_count,C2_allow,C2_prior_relevant_loss_count,C3_allow,C3_prior_relevant_loss_count,native_chronology_availability,chronology_unresolved_flag,chronology_class
2024H1|F05|2024-04-15 04:45:00+00:00|1,2024H1,F05,2024-04-15 04:45:00+00:00,2024-04-15 12:45:00+00:00,1,0.01,1.0,153.821,442.0,44.2,-4.6,Tokyo,2024-04,True,286,,0,3,0,3,3.0,3.0,3.0,0.0,3,0,False,1.0,36.099999999999,130.0,225.0,517.0,-1096.0,4767.0,-579.0,8,30.0,60.0,3,2,False,0,normal,210.0,False,False,False,False,True,True,False,True,True,False,False,True,extreme,,0,0.0,2024-04-15|Tokyo,2024-04-15|London,LONG,2024-04,False,2,True,2,True,2,True,1,True,False,SAME_TICK_DETERMINISTIC_EA_ORDER
2024H1|F05|2024-04-15 06:15:00+00:00|1,2024H1,F05,2024-04-15 06:15:00+00:00,2024-04-15 14:15:00+00:00,1,0.01,1.0,153.86,522.0,52.2,-8.4,Tokyo,2024-04,True,286,,0,4,0,4,4.0,4.0,4.0,0.0,4,0,False,1.0,40.00000000000057,187.5,315.0,668.0,-1096.0,4767.0,-428.0,8,90.0,150.0,4,2,False,0,normal,300.0,False,False,False,False,False,True,False,True,True,False,False,True,extreme,,0,0.0,2024-04-15|Tokyo,2024-04-15|London_NY_overlap,LONG,2024-04,False,2,True,2,True,2,True,1,True,False,SAME_TICK_DETERMINISTIC_EA_ORDER
2024H2|F05|2024-07-03 14:15:00+00:00|-1,2024H2,F05,2024-07-03 14:15:00+00:00,2024-07-03 22:15:00+00:00,-1,0.01,1.0,160.959,-641.0,-0.5,-77.9,London_NY_overlap,2024-07,False,331,571.0,1,1,0,1,1.0,1.0,1.0,0.0,0,1,False,1.0,96.2999999999994,465.0,465.0,-968.0,13630.0,2719.0,12662.0,2,465.0,15.0,0,2,False,0,shock,0.0,True,False,False,False,False,False,False,True,False,True,False,True,deep,537.0,1,1.0,2024-07-03|London_NY_overlap,2024-07-03|session_transition,SHORT,2024-07,False,2,False,2,False,2,True,0,True,False,SAME_TICK_DETERMINISTIC_EA_ORDER
2024H2|F05|2024-09-30 15:45:00+00:00|1,2024H2,F05,2024-09-30 15:45:00+00:00,2024-09-30 23:45:00+00:00,1,0.01,1.0,143.323,223.0,50.9,-36.8,London_NY_overlap,2024-09,True,383,,0,1,1,0,1.0,1.0,1.0,0.0,1,0,True,1.0,37.60000000000048,165.0,165.0,371.0,19862.0,18018.0,20233.0,2,165.0,120.0,1,2,False,0,normal,945.0,False,False,False,False,False,False,False,True,True,False,True,True,extreme,,0,0.0,2024-09-30|London_NY_overlap,2024-09-30|session_transition,LONG,2024-09,False,2,True,2,True,2,True,2,True,False,SAME_TICK_DETERMINISTIC_EA_ORDER
2024H2|F05|2024-10-10 04:30:00+00:00|1,2024H2,F05,2024-10-10 04:30:00+00:00,2024-10-10 12:30:00+00:00,1,0.01,1.0,149.387,-501.0,3.3,-55.2,Tokyo,2024-10,False,388,670.0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,28672.0,9208.0,28672.0,3,570.0,90.0,0,2,False,0,expansion,900.0,False,False,False,False,False,False,True,False,False,False,False,True,extreme,629.0,1,1.0,2024-10-10|Tokyo,2024-10-10|London,LONG,2024-10,False,2,True,2,True,2,True,0,True,False,SAME_TICK_DETERMINISTIC_EA_ORDER
2024H2|F05|2024-10-25 05:15:00+00:00|-1,2024H2,F05,2024-10-25 05:15:00+00:00,2024-10-25 13:15:00+00:00,-1,0.01,1.0,151.525,-457.0,-0.5,-56.0,Tokyo,2024-10,False,397,687.0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,36363.0,1517.0,36363.0,2,705.0,225.0,0,2,False,0,shock,0.0,True,False,False,False,False,False,True,False,False,False,False,True,deep,643.0,1,1.0,2024-10-25|Tokyo,2024-10-25|London_NY_overlap,SHORT,2024-10,False,2,False,2,False,2,False,2,True,False,SAME_TICK_DETERMINISTIC_EA_ORDER
2024H2|B02|2024-10-28 10:15:00+00:00|-1,2024H2,B02,2024-10-28 10:15:00+00:00,2024-10-28 22:15:00+00:00,-1,0.01,1.0,152.705,-585.0,19.2,-63.8,London,2024-10,False,398,689.0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,38820.0,1039.0,38820.0,2,510.0,30.0,0,2,False,0,expansion,510.0,False,False,False,False,False,False,True,False,False,False,False,True,moderate,645.0,1,1.0,2024-10-28|London,2024-10-28|session_transition,SHORT,2024-10,False,2,False,2,True,2,True,0,True,False,SAME_TICK_DETERMINISTIC_EA_ORDER
2024H2|B02|2024-11-04 12:00:00+00:00|-1,2024H2,B02,2024-11-04 12:00:00+00:00,2024-11-05 00:00:00+00:00,-1,0.01,1.0,151.553,-728.0,-0.5,-72.8,London,2024-11,False,403,699.0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,36449.0,3410.0,36449.0,2,525.0,45.0,0,2,False,0,normal,720.0,False,True,True,True,True,True,False,False,False,False,False,True,extreme,654.0,1,1.0,2024-11-04|London,2024-11-05|Tokyo,SHORT,2024-11,False,2,False,2,True,2,True,2,True,False,SAME_TICK_DETERMINISTIC_EA_ORDER
2024H2|F05|2024-11-04 12:00:00+00:00|-1,2024H2,F05,2024-11-04 12:00:00+00:00,2024-11-04 20:00:00+00:00,-1,0.01,1.0,151.553,-600.0,-0.5,-63.3,London,2024-11,False,403,698.0,1,1,1,0,1.0,-1.0,0.0,1.0,1,0,True,1.0,0.0,0.0,0.0,-5.0,36449.0,3410.0,36444.0,2,0.0,45.0,1,2,False,0,normal,720.0,False,True,True,True,True,True,False,True,True,False,True,True,extreme,653.0,1,1.0,2024-11-04|London,2024-11-04|session_transition,SHORT,2024-11,False,2,False,2,False,2,False,2,True,False,SAME_TICK_DETERMINISTIC_EA_ORDER
2024H2|F05|2024-11-06 02:15:00+00:00|1,2024H2,F05,2024-11-06 02:15:00+00:00,2024-11-06 10:15:00+00:00,1,0.01,1.0,153.282,719.0,96.7,-0.5,Tokyo,2024-11,True,404,,0,1,0,1,1.0,1.0,1.0,0.0,1,0,False,1.0,60.69999999999993,90.0,90.0,602.0,29949.0,9910.0,30551.0,11,90.0,0.0,1,3,False,0,shock,0.0,True,False,False,False,False,False,False,True,True,False,False,True,extreme,,0,0.0,2024-11-06|Tokyo,2024-11-06|London,LONG,2024-11,False,3,True,3,True,3,True,3,True,False,SAME_TICK_DETERMINISTIC_EA_ORDER
2024H2|B02|2024-12-16 12:45:00+00:00|1,2024H2,B02,2024-12-16 12:45:00+00:00,2024-12-17 00:45:00+00:00,1,0.01,1.0,154.08,210.0,38.4,-6.1,London,2024-12,True,425,,0,0,0,0,0.0,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,45604.0,224.0,45604.0,2,645.0,165.0,0,2,False,0,shock,0.0,True,True,True,True,True,True,False,False,False,False,False,True,minor,,0,0.0,2024-12-16|London,2024-12-17|Tokyo,LONG,2024-12,False,2,True,2,True,2,True,0,True,False,SAME_TICK_DETERMINISTIC_EA_ORDER
2024H2|F05|2024-12-16 12:45:00+00:00|1,2024H2,F05,2024-12-16 12:45:00+00:00,2024-12-16 20:45:00+00:00,1,0.01,1.0,154.08,16.0,38.4,-6.1,London,2024-12,True,425,,0,1,1,0,1.0,1.0,1.0,0.0,1,0,True,1.0,0.0,0.0,0.0,-5.0,45604.0,224.0,45599.0,2,0.0,165.0,1,2,False,0,shock,0.0,True,True,True,True,True,True,False,True,True,False,True,True,minor,,0,0.0,2024-12-16|London,2024-12-16|session_transition,LONG,2024-12,False,2,True,2,True,2,True,0,True,False,SAME_TICK_DETERMINISTIC_EA_ORDER
