candidate_id,dimension,value,trades,modified_trades,delta_jpy,candidate_net_jpy
C1_BREAKOUT_ACCEPTANCE_30M,session,LONDON,404,198,-12477.999999999593,-54.99999999959164
C1_BREAKOUT_ACCEPTANCE_30M,session,LONDON_NY_OVERLAP,12,6,-683.000000000023,993.999999999977
C1_BREAKOUT_ACCEPTANCE_30M,session,London,13,13,-2076.9999999999554,-3454.9999999999563
C2_FALSE_BREAK_RANGE_REENTRY,session,LONDON,404,327,-5425.999999999229,6997.0000000007685
C2_FALSE_BREAK_RANGE_REENTRY,session,LONDON_NY_OVERLAP,12,10,-2171.000000000007,-494.0000000000068
C2_FALSE_BREAK_RANGE_REENTRY,session,London,13,0,0.0,-1378.0
C3_PROFIT_TO_NONPROFIT_GIVEBACK,session,LONDON,404,297,-1275.9999999994916,11147.000000000507
C3_PROFIT_TO_NONPROFIT_GIVEBACK,session,LONDON_NY_OVERLAP,12,7,-1665.000000000007,11.999999999992951
C3_PROFIT_TO_NONPROFIT_GIVEBACK,session,London,13,10,1438.0000000000014,60.00000000000136
