session,lifecycle_class,events,net_jpy,median_pnl_jpy,median_mfe_pips,median_mae_pips
LONDON,D_PROFIT_THEN_GIVEBACK,5,411.0000000000298,92.00000000001296,21.699999999998454,-5.599999999998317
LONDON,E_TIMEOUT_TRUNCATION,1,-317.99999999998363,-317.99999999998363,-0.39999999999906777,-51.69999999999959
LONDON,F_CONTINUATION_RESUMPTION,5,-610.0000000000421,-122.0000000000141,4.200000000000159,-20.79999999999984
LONDON,H_SUSTAINED_REVERSAL,5,1294.0000000000111,277.00000000001523,31.399999999999295,-12.79999999999859
LONDON_NY_OVERLAP,C_INSUFFICIENT_REVERSAL,1,-183.9999999999975,-183.9999999999975,-0.30000000000143245,-38.700000000000045
LONDON_NY_OVERLAP,D_PROFIT_THEN_GIVEBACK,13,230.9999999999661,24.999999999977263,19.900000000001228,-18.700000000001182
LONDON_NY_OVERLAP,F_CONTINUATION_RESUMPTION,18,-3200.9999999999936,-143.50000000000307,7.949999999999591,-27.200000000000557
LONDON_NY_OVERLAP,H_SUSTAINED_REVERSAL,20,8519.000000000062,377.4999999999977,47.09999999999894,-7.30000000000075
NEW_YORK,D_PROFIT_THEN_GIVEBACK,3,134.00000000001455,16.999999999995907,9.299999999998931,-11.099999999999
NEW_YORK,F_CONTINUATION_RESUMPTION,6,-1190.0000000000546,-189.50000000000955,5.449999999999022,-29.649999999999466
NEW_YORK,H_SUSTAINED_REVERSAL,6,1261.999999999972,216.49999999999636,33.70000000000033,-8.699999999998909
TOKYO,B_DELAYED_REVERSAL,1,116.99999999999022,116.99999999999022,15.299999999999159,-25.99999999999909
TOKYO,D_PROFIT_THEN_GIVEBACK,7,285.9999999999161,56.99999999998795,16.99999999999875,-8.00000000000125
TOKYO,F_CONTINUATION_RESUMPTION,6,-1574.0000000000407,-105.50000000002058,4.349999999999454,-28.20000000000107
TOKYO,H_SUSTAINED_REVERSAL,13,8288.999999999958,366.9999999999902,43.00000000000068,-7.599999999999341
TRANSITION,D_PROFIT_THEN_GIVEBACK,1,78.99999999997931,78.99999999997931,21.699999999998454,-9.499999999999886
TRANSITION,F_CONTINUATION_RESUMPTION,2,-1596.0000000000034,-798.0000000000017,18.249999999997613,-89.7500000000008
TRANSITION,H_SUSTAINED_REVERSAL,1,552.9999999999973,552.9999999999973,63.80000000000052,-81.69999999999789
