candidate_model,outer_fold,training_folds,threshold,total_opportunities,accepted_trades,rejected_trades,baseline_net_jpy,accepted_net_jpy,net_benefit_jpy,profit_factor,maximum_drawdown_jpy,recovery_factor,win_rate,median_trade_jpy,gross_profit_jpy,gross_loss_jpy,sustained_reversal_count_retention,sustained_reversal_profit_retention,continuation_resumption_count_rejection,continuation_resumption_loss_rejection,profit_then_giveback_acceptance,winner_damage_jpy,loser_benefit_jpy
RD_LOGIT_10F_V1,2023H1,"['2023H2', '2024H1', '2024H2']",0.35,21,17,4,2776.000000000039,2296.000000000049,-479.99999999999,2.4803352675692993,807.0000000000448,2.8451053283766066,0.7058823529411765,55.00000000000682,3847.0000000000937,-1551.0000000000446,0.7777777777777778,0.84479190618533,0.2857142857142857,0.111683848797259,1.0,675.0000000000114,195.0000000000216
RD_LOGIT_10F_V1,2023H2,"['2023H1', '2024H1', '2024H2']",0.35,35,21,14,-662.0000000000346,-682.0000000000732,-20.000000000038654,0.7235508715038227,1509.000000000043,-0.4519549370444359,0.42857142857142855,-52.00000000002092,1784.9999999999397,-2467.0000000000127,0.6,0.7214022140221255,0.3333333333333333,0.17376133984647998,0.4444444444444444,738.0000000000564,718.0000000000177
RD_LOGIT_10F_V1,2024H1,"['2023H1', '2023H2', '2024H2']",0.45,30,13,17,2152.9999999999354,1120.9999999998672,-1032.0000000000682,4.184659090908421,183.9999999999975,6.092391304347188,0.7692307692307693,68.9999999999884,1472.9999999998995,-352.0000000000323,0.5,0.43526275704492245,0.75,0.8175895765471863,0.4444444444444444,1848.0000000000132,815.9999999999457
RD_LOGIT_10F_V1,2024H2,"['2023H1', '2023H2', '2024H1']",0.55,28,15,13,8234.999999999842,7208.999999999945,-1025.9999999998963,9.248283752860127,435.0000000000023,16.572413793103234,0.7333333333333333,108.00000000000408,8082.999999999969,-874.0000000000236,0.5714285714285714,0.7318544644514601,0.5714285714285714,0.78923426838513,0.5,3107.9999999999186,2082.000000000022
RD_TREE_D2_V1,2023H1,"['2023H2', '2024H1', '2024H2']",0.5,21,12,9,2776.000000000039,3001.000000000033,224.9999999999941,6.026800670016496,475.00000000002274,6.317894736841873,0.75,228.9999999999992,3598.0000000000696,-597.0000000000368,0.7777777777777778,0.7935157507472962,0.5714285714285714,0.6580756013745623,0.4,924.000000000035,1149.0000000000293
RD_TREE_D2_V1,2023H2,"['2023H1', '2024H1', '2024H2']",0.5,35,23,12,-662.0000000000346,561.9999999999835,1224.0000000000182,1.3637540453074288,495.9999999999809,1.1330645161290425,0.6086956521739131,28.99999999999636,2106.999999999999,-1545.000000000016,0.8,0.8620848708487078,0.4666666666666667,0.46615491974877643,0.7777777777777778,415.9999999999968,1640.0000000000148
RD_TREE_D2_V1,2024H1,"['2023H1', '2023H2', '2024H2']",0.6,30,9,21,2152.9999999999354,972.9999999998995,-1180.000000000036,47.333333333295435,21.000000000015007,46.333333333295435,0.8888888888888888,68.9999999999884,993.9999999999145,-21.000000000015007,0.3333333333333333,0.2528560548362422,0.875,0.9771986970683867,0.4444444444444444,2326.999999999998,1146.999999999963
RD_TREE_D2_V1,2024H2,"['2023H1', '2023H2', '2024H1']",0.4,28,14,14,8234.999999999842,5339.999999999861,-2894.999999999981,4.371212121211967,1231.999999999999,4.334415584415474,0.7142857142857143,98.99999999998954,6923.999999999892,-1584.0000000000314,0.42857142857142855,0.6153703359940572,0.42857142857142855,0.39954510993176867,0.6666666666666666,4266.9999999999945,1372.000000000014
RD_RANK6_V1,2023H1,"['2023H2', '2024H1', '2024H2']",0.45,21,17,4,2776.000000000039,3267.0000000000523,491.0000000000132,4.34049079754594,469.99999999999886,6.951063829787363,0.7647058823529411,92.00000000001296,4245.00000000009,-978.0000000000371,0.8888888888888888,0.9363071970567924,0.42857142857142855,0.43986254295532645,1.0,277.00000000001523,768.0000000000291
RD_RANK6_V1,2023H2,"['2023H1', '2024H1', '2024H2']",0.35,35,32,3,-662.0000000000346,-471.00000000003206,191.0000000000025,0.8426853707414736,1271.9999999999914,-0.37028301886795223,0.53125,20.999999999986585,2522.9999999999964,-2994.000000000028,1.0,1.0,0.13333333333333333,0.03733426378227416,0.8888888888888888,0.0,191.0000000000025
RD_RANK6_V1,2024H1,"['2023H1', '2023H2', '2024H2']",0.45,30,21,9,2152.9999999999354,1139.9999999999864,-1012.9999999999491,2.3271245634458815,479.0000000000134,2.3799582463464604,0.6190476190476191,60.99999999997863,1998.9999999999668,-858.9999999999804,0.6666666666666666,0.5567402894135636,0.25,0.3355048859934958,0.6666666666666666,1321.9999999999459,308.9999999999975
RD_RANK6_V1,2024H2,"['2023H1', '2023H2', '2024H1']",0.45,28,21,7,8234.999999999842,5933.9999999998545,-2300.9999999999873,3.7951012717851165,1231.999999999999,4.816558441558327,0.7619047619047619,98.99999999998954,8056.999999999873,-2123.0000000000186,0.7142857142857143,0.7091145349916436,0.42857142857142855,0.3157695223654311,1.0,3134.0000000000146,833.0000000000268
