side_label,lifecycle_class,events,net_jpy,median_pnl_jpy,median_mfe_pips,median_mae_pips
LONG,B_DELAYED_REVERSAL,1,116.99999999999022,116.99999999999022,15.299999999999159,-25.99999999999909
LONG,D_PROFIT_THEN_GIVEBACK,19,1017.9999999999154,55.00000000000682,19.900000000001228,-16.30000000000109
LONG,E_TIMEOUT_TRUNCATION,1,-317.99999999998363,-317.99999999998363,-0.39999999999906777,-51.69999999999959
LONG,F_CONTINUATION_RESUMPTION,23,-4239.000000000089,-123.99999999999524,4.699999999999704,-26.900000000000546
LONG,H_SUSTAINED_REVERSAL,31,10710.000000000007,292.0000000000016,31.399999999999295,-7.900000000000773
SHORT,C_INSUFFICIENT_REVERSAL,1,-183.9999999999975,-183.9999999999975,-0.30000000000143245,-38.700000000000045
SHORT,D_PROFIT_THEN_GIVEBACK,10,122.99999999999042,37.50000000000853,18.899999999999295,-7.900000000000773
SHORT,F_CONTINUATION_RESUMPTION,14,-3932.0000000000446,-198.49999999999568,5.499999999999261,-28.80000000000109
SHORT,H_SUSTAINED_REVERSAL,14,9206.999999999993,453.9999999999793,56.55000000000001,-7.500000000000284
