fold,lifecycle_class,events,net_jpy,median_pnl_jpy,median_mfe_pips,median_mae_pips
2023H1,D_PROFIT_THEN_GIVEBACK,5,173.00000000003024,10.000000000019329,19.10000000000025,-11.099999999999
2023H1,F_CONTINUATION_RESUMPTION,7,-1746.0000000000662,-209.0000000000032,6.499999999999773,-35.90000000000089
2023H1,H_SUSTAINED_REVERSAL,9,4349.000000000075,487.0000000000232,53.89999999999873,-5.699999999998795
2023H2,B_DELAYED_REVERSAL,1,116.99999999999022,116.99999999999022,15.299999999999159,-25.99999999999909
2023H2,D_PROFIT_THEN_GIVEBACK,9,-81.00000000001731,24.999999999977263,13.399999999998613,-16.59999999999968
2023H2,F_CONTINUATION_RESUMPTION,15,-2866.0000000000423,-121.00000000000932,7.099999999999795,-24.70000000000141
2023H2,H_SUSTAINED_REVERSAL,10,2168.0000000000346,249.4999999999976,30.150000000001853,-9.550000000001546
2024H1,C_INSUFFICIENT_REVERSAL,1,-183.9999999999975,-183.9999999999975,-0.30000000000143245,-38.700000000000045
2024H1,D_PROFIT_THEN_GIVEBACK,9,631.9999999999482,72.00000000000273,18.499999999997385,-8.00000000000125
2024H1,F_CONTINUATION_RESUMPTION,8,-920.9999999999638,-127.9999999999859,3.8000000000010914,-20.49999999999983
2024H1,H_SUSTAINED_REVERSAL,12,2625.999999999948,119.99999999999034,14.89999999999867,-7.6500000000010004
2024H2,D_PROFIT_THEN_GIVEBACK,6,416.99999999994475,80.49999999998647,24.2999999999995,-7.30000000000075
2024H2,E_TIMEOUT_TRUNCATION,1,-317.99999999998363,-317.99999999998363,-0.39999999999906777,-51.69999999999959
2024H2,F_CONTINUATION_RESUMPTION,7,-2638.000000000062,-213.00000000002228,9.199999999998454,-31.499999999999773
2024H2,H_SUSTAINED_REVERSAL,14,10773.999999999944,475.4999999999967,60.5000000000004,-8.650000000000091
