month,lifecycle_class,events,net_jpy,median_pnl_jpy,median_mfe_pips,median_mae_pips
2023-01,F_CONTINUATION_RESUMPTION,1,-469.99999999999886,-469.99999999999886,58.00000000000125,-47.8999999999985
2023-01,H_SUSTAINED_REVERSAL,2,1581.0000000000173,790.5000000000086,93.0499999999995,-3.849999999999909
2023-02,F_CONTINUATION_RESUMPTION,3,-904.0000000000248,-266.00000000001955,3.3999999999991815,-35.90000000000089
2023-02,H_SUSTAINED_REVERSAL,1,274.0000000000009,274.0000000000009,53.89999999999873,-12.399999999999523
2023-03,D_PROFIT_THEN_GIVEBACK,1,55.00000000000682,55.00000000000682,14.499999999998181,-91.40000000000157
2023-03,F_CONTINUATION_RESUMPTION,1,-177.00000000002092,-177.00000000002092,8.399999999997476,-41.30000000000109
2023-03,H_SUSTAINED_REVERSAL,1,397.9999999999961,397.9999999999961,43.00000000000068,-18.199999999998795
2023-04,D_PROFIT_THEN_GIVEBACK,1,92.00000000001296,92.00000000001296,19.300000000001205,-5.599999999998317
2023-04,H_SUSTAINED_REVERSAL,1,600.0000000000227,600.0000000000227,62.80000000000143,-5.699999999998795
2023-05,D_PROFIT_THEN_GIVEBACK,3,26.00000000001046,8.000000000009777,19.10000000000025,-11.099999999999
2023-05,F_CONTINUATION_RESUMPTION,1,-122.0000000000141,-122.0000000000141,3.6000000000001364,-20.79999999999984
2023-05,H_SUSTAINED_REVERSAL,2,461.00000000001273,230.50000000000637,37.39999999999952,-7.800000000000296
2023-06,F_CONTINUATION_RESUMPTION,1,-73.0000000000075,-73.0000000000075,9.600000000000364,-31.700000000000728
2023-06,H_SUSTAINED_REVERSAL,2,1035.000000000025,517.5000000000125,55.89999999999975,-2.7999999999991587
2023-07,D_PROFIT_THEN_GIVEBACK,2,-55.00000000000682,-27.50000000000341,15.94999999999942,-13.250000000000739
2023-07,F_CONTINUATION_RESUMPTION,3,-315.00000000002615,-94.00000000002252,8.799999999999386,-23.399999999998045
2023-07,H_SUSTAINED_REVERSAL,3,722.0000000000084,231.9999999999993,29.60000000000207,-6.099999999997863
2023-08,D_PROFIT_THEN_GIVEBACK,1,78.99999999997931,78.99999999997931,21.699999999998454,-9.499999999999886
2023-08,F_CONTINUATION_RESUMPTION,2,-783.9999999999918,-391.9999999999959,4.099999999999682,-49.25000000000068
2023-08,H_SUSTAINED_REVERSAL,2,568.000000000012,284.000000000006,37.19999999999999,-9.34999999999917
2023-09,B_DELAYED_REVERSAL,1,116.99999999999022,116.99999999999022,15.299999999999159,-25.99999999999909
2023-09,D_PROFIT_THEN_GIVEBACK,1,54.000000000002046,54.000000000002046,13.100000000000023,-28.999999999999204
2023-09,F_CONTINUATION_RESUMPTION,3,-353.00000000000864,-123.99999999999524,14.099999999999113,-16.900000000001114
2023-09,H_SUSTAINED_REVERSAL,2,146.000000000015,73.0000000000075,9.300000000000352,-12.349999999999284
2023-10,D_PROFIT_THEN_GIVEBACK,2,51.00000000001615,25.500000000008075,10.500000000000398,-17.499999999999716
2023-10,F_CONTINUATION_RESUMPTION,1,-63.99999999999295,-63.99999999999295,1.999999999998181,-9.600000000000364
2023-10,H_SUSTAINED_REVERSAL,1,292.0000000000016,292.0000000000016,31.399999999999295,-0.899999999998613
2023-11,D_PROFIT_THEN_GIVEBACK,1,24.999999999977263,24.999999999977263,13.399999999998613,-22.20000000000084
2023-11,F_CONTINUATION_RESUMPTION,4,-898.0000000000246,-108.00000000000409,3.0499999999989313,-20.950000000000557
2023-11,H_SUSTAINED_REVERSAL,2,439.9999999999977,219.99999999999886,29.199999999998738,-9.550000000001546
2023-12,D_PROFIT_THEN_GIVEBACK,2,-234.99999999998525,-117.49999999999262,40.60000000000059,-18.99999999999835
2023-12,F_CONTINUATION_RESUMPTION,2,-451.9999999999982,-225.9999999999991,51.09999999999815,-36.000000000001364
2024-01,C_INSUFFICIENT_REVERSAL,1,-183.9999999999975,-183.9999999999975,-0.30000000000143245,-38.700000000000045
2024-01,D_PROFIT_THEN_GIVEBACK,1,72.00000000000273,72.00000000000273,16.399999999998727,-23.699999999999477
2024-01,F_CONTINUATION_RESUMPTION,1,-194.9999999999932,-194.9999999999932,14.400000000000546,-40.00000000000057
2024-01,H_SUSTAINED_REVERSAL,3,984.9999999999568,366.9999999999902,46.19999999999891,-7.400000000001228
2024-02,F_CONTINUATION_RESUMPTION,3,-161.00000000000136,-44.99999999998749,4.200000000000159,-19.700000000000273
2024-02,H_SUSTAINED_REVERSAL,2,280.00000000000114,140.00000000000057,16.199999999999193,-12.049999999999272
2024-03,D_PROFIT_THEN_GIVEBACK,2,216.99999999998454,108.49999999999227,28.350000000000364,-1.5000000000000568
2024-03,H_SUSTAINED_REVERSAL,1,112.99999999999956,112.99999999999956,13.2000000000005,-7.900000000000773
2024-04,D_PROFIT_THEN_GIVEBACK,3,22.999999999967713,16.999999999995907,14.19999999999959,-16.30000000000109
2024-04,F_CONTINUATION_RESUMPTION,2,-255.9999999999718,-127.9999999999859,3.0000000000015348,-17.39999999999924
2024-04,H_SUSTAINED_REVERSAL,2,189.99999999999773,94.99999999999886,11.699999999999022,-5.100000000000193
2024-05,D_PROFIT_THEN_GIVEBACK,2,263.00000000000523,131.50000000000261,39.95000000000033,-10.899999999999466
2024-05,F_CONTINUATION_RESUMPTION,2,-308.9999999999975,-154.49999999999875,5.449999999999022,-23.000000000000398
2024-05,H_SUSTAINED_REVERSAL,2,653.9999999999964,326.9999999999982,39.44999999999936,-42.69999999999925
2024-06,D_PROFIT_THEN_GIVEBACK,1,56.99999999998795,56.99999999998795,18.499999999997385,-8.00000000000125
2024-06,H_SUSTAINED_REVERSAL,2,403.9999999999964,201.9999999999982,27.50000000000057,-12.950000000000728
2024-07,D_PROFIT_THEN_GIVEBACK,1,81.99999999999363,81.99999999999363,49.70000000000141,-6.799999999998363
2024-07,F_CONTINUATION_RESUMPTION,1,-1231.999999999999,-1231.999999999999,3.099999999997749,-139.9000000000001
2024-07,H_SUSTAINED_REVERSAL,3,1391.9999999999675,576.9999999999982,62.10000000000093,-9.499999999999886
2024-08,H_SUSTAINED_REVERSAL,2,1608.000000000004,804.000000000002,87.44999999999976,-9.449999999999648
2024-09,D_PROFIT_THEN_GIVEBACK,1,98.99999999998954,98.99999999998954,26.900000000000546,-6.800000000001205
2024-09,E_TIMEOUT_TRUNCATION,1,-317.99999999998363,-317.99999999998363,-0.39999999999906777,-51.69999999999959
2024-09,F_CONTINUATION_RESUMPTION,1,-117.00000000001864,-117.00000000001864,9.199999999998454,-22.700000000000387
2024-09,H_SUSTAINED_REVERSAL,3,4953.000000000002,1371.000000000009,174.1000000000014,-7.599999999999341
2024-10,D_PROFIT_THEN_GIVEBACK,2,115.99999999998545,57.999999999992724,20.79999999999984,-34.44999999999965
2024-10,F_CONTINUATION_RESUMPTION,2,-347.00000000003683,-173.50000000001842,15.549999999998931,-28.350000000000364
2024-10,H_SUSTAINED_REVERSAL,2,667.999999999978,333.999999999989,46.74999999999869,-6.60000000000025
2024-11,F_CONTINUATION_RESUMPTION,1,-100.99999999999908,-100.99999999999908,17.899999999997362,-25.200000000000955
2024-11,H_SUSTAINED_REVERSAL,2,1885.9999999999957,942.9999999999978,103.90000000000015,-22.25000000000108
2024-12,D_PROFIT_THEN_GIVEBACK,2,119.99999999997613,59.99999999998806,19.249999999998124,-7.150000000001455
2024-12,F_CONTINUATION_RESUMPTION,2,-841.0000000000082,-420.5000000000041,15.649999999999409,-51.69999999999959
2024-12,H_SUSTAINED_REVERSAL,2,266.99999999999585,133.49999999999793,20.79999999999984,-18.950000000000955
