period,strategy,expected_trades,actual_rakuten_trades,trade_delta,expected_net_jpy,actual_rakuten_net_jpy,net_delta_jpy,expected_pf,actual_rakuten_pf,common_events,exact_common_rows,classification,candidate_rule_mismatch,formal_prior_decision_changed
2023_2024,B02,420,426,6,13155,14665,1510,1.2904871262641877,1.321326058853174,225,223,KNOWN_SOURCE_SIGNAL_POPULATION_DIVERGENCE,false,false
2023_2024,F05,1424,1455,31,38203,38178,-25,1.1630182463686483,1.1626928829853875,1353,776,KNOWN_SOURCE_PRICE_AND_SIGNAL_POPULATION_DIVERGENCE,false,false
2023_2024,SP39,499,505,6,10739,17612,6873,1.1506466907948265,1.2751445086705202,438,259,ECONOMICALLY_POSITIVE_SOURCE_ROW_IDENTITY_NOT_EXACT,false,false
2023_2024,PORTFOLIO,2343,2386,43,62097,70455,8358,1.176954861506896,1.204625455981784,2016,1258,PASS_RAKUTEN_ABSOLUTE_PROFITABILITY_FAIL_FULL_SOURCE_ROW_PARITY,false,false
2025H1,B02,101,101,0,4648,4648,0,1.3292251027057658,1.3292251027057658,101,101,FULL_ROW_PARITY,false,false
2025H1,F05,336,336,0,-7522,-7522,0,0.885555183641177,0.885555183641177,336,336,FULL_ROW_PARITY,false,false
2025H1,SP39,172,172,0,3483,3483,0,1.12615451483212,1.12615451483212,171,171,ONE_FIRST_EXECUTABLE_TICK_TIMESTAMP_DIFFERENCE_SAME_CLOSE_PNL_EXIT,false,false
2025H1,PORTFOLIO,609,609,0,609,609,0,1.0056675942039774,1.0056675942039774,608,608,PASS_ECONOMIC_AND_COMMON_EVENT_PARITY_WITH_EXPLAINED_EXECUTABLE_TIMESTAMP_DIFFERENCE,false,false
