average_trade_jpy,gross_loss_jpy,gross_profit_jpy,longest_realized_underwater_hours,maximum_consecutive_losses,median_trade_jpy,minimum_realized_equity_jpy,modified_trades,net_jpy,period_scope,profit_factor,realized_drawdown_jpy,strategy,top_1_winner_removal_net_jpy,top_3_winner_removal_net_jpy,top_5_winner_removal_net_jpy,trades,win_rate
7.2822822822823605,-61599.99999999984,66449.99999999988,7660.498711111111,13,-16.999999999995907,99704.99999999999,357,4850.000000000052,2020_2022,1.078733766233767,12282.999999999927,B02,2803.0000000000546,-793.9999999999109,-3603.999999999941,666,0.2702702702702703
10.166826462128762,-246620.9999999994,267829.0,5192.999463888889,16,-10.499999999993292,97608.00000000001,72,21208.000000000597,2020_2022,1.085994298944537,27576.000000000146,F05,18377.00000000058,14526.00000000058,10906.000000000577,2086,0.4721955896452541
-3.8476517754867414,-82019.99999999983,78660.9999999999,24620.249995277776,10,-19.99999999999602,91518.00000000019,0,-3358.9999999999254,2020_2022,0.9590465740063407,13005.99999999981,SP39,-5225.999999999915,-7737.999999999887,-10074.99999999989,873,0.44329896907216493
,,,,,,,,13155,2023_2024,1.2904871262641877,,B02,,,,420,
,,,,,,,,38203,2023_2024,1.1630182463686483,,F05,,,,1424,
,,,,,,,,10739,2023_2024,1.1506466907948265,,SP39,,,,499,
,,,,,,,,4648,2025H1,1.3292251027057658,,B02,,,,101,
,,,,,,,,-7522,2025H1,0.885555183641177,,F05,,,,336,
,,,,,,,,3483,2025H1,1.1261545148321572,,SP39,,,,172,
