absolute_net_jpy,gross_loss_jpy,gross_profit_jpy,modified_trades,period,profit_factor,trades
17886,-106345,124231,128,2020,1.1681884432742489,1255
-1190,-92767,91577,127,2021,0.9871721625146873,1234
6003,-191129,197132,174,2022,1.031408106566769,1136
11926,-183617,195543,205,2023,1.0649504130881127,1198
50171,-167303,217474,181,2024,1.2998810541353114,1145
609,-107453,108062,113,2025,1.0056675942039774,609
