portfolio_id,period,trades,net_jpy,gross_profit_jpy,gross_loss_jpy,profit_factor,win_rate,average_trade_jpy,median_trade_jpy,realized_drawdown_jpy,minimum_realized_equity_jpy,maximum_consecutive_losses,longest_realized_underwater_hours,top_1_winner_removal_net_jpy,top_3_winner_removal_net_jpy,top_5_winner_removal_net_jpy,modified_trades
P0_B02_BASELINE_F05_BASELINE,2020H1,440,20583.999999999847,69575.99999999997,-48992.00000000012,1.4201502286087484,0.5045454545454545,46.78181818181783,9.99999999999801,6394.000000000029,97430.00000000001,10,1962.75064,18536.99999999985,15605.999999999853,12913.999999999858,0
P0_B02_BASELINE_F05_BASELINE,2020H2,490,482.0000000002001,44752.00000000006,-44269.99999999987,1.010887734357357,0.4489795918367347,0.9836734693881635,-14.500000000005286,7577.999999999884,98657.00000000004,14,1771.749398611111,-1316.9999999997922,-4637.999999999791,-6534.999999999782,0
P0_B02_BASELINE_F05_BASELINE,2021H1,450,-2687.9999999999736,39244.99999999994,-41932.99999999993,0.9358977416354664,0.4822222222222222,-5.973333333333275,-7.000000000005002,8894.000000000087,96486.99999999997,12,2729.758146111111,-3378.999999999962,-4540.999999999968,-5636.999999999957,0
P0_B02_BASELINE_F05_BASELINE,2021H2,513,3887.00000000044,51637.000000000175,-47749.99999999974,1.0814031413612661,0.5243664717348928,7.57699805068312,15.999999999991132,6977.999999999942,99751.00000000026,8,1381.999845,2704.0000000004334,967.0000000004243,-556.9999999995762,0
P0_B02_BASELINE_F05_BASELINE,2022H1,443,31696.000000000182,84568.00000000003,-52871.99999999984,1.5994855500075709,0.5327313769751693,71.54853273137739,30.9999999999917,6290.000000000015,96566.00000000007,13,708.749045,29769.00000000019,26419.000000000167,23632.00000000013,0
P0_B02_BASELINE_F05_BASELINE,2022H2,463,-32436.000000000175,111249.99999999988,-143686.00000000006,0.7742577564968044,0.468682505399568,-70.05615550755978,-34.99999999999659,44171.000000000175,63668.99999999997,15,2737.5000041666667,-35267.00000000019,-39854.00000000021,-43625.000000000226,0
P4_B02_C3_F05_C2_SP39,2020H1,598,16782.99999999983,73925.99999999997,-57143.000000000146,1.2937017657455818,0.4331103678929766,28.065217391304063,-13.999999999995794,8728.000000000131,97789.00000000004,15,2216.0001108333336,14735.999999999833,11804.999999999834,9311.99999999984,80
P4_B02_C3_F05_C2_SP39,2020H2,672,620.0000000001883,49462.999999999935,-48842.999999999745,1.0126937329811885,0.39880952380952384,0.9226190476193278,-13.999999999995794,7929.999999999971,97694.00000000032,20,1794.498935277778,-1178.999999999804,-4499.999999999803,-6396.9999999997935,83
P4_B02_C3_F05_C2_SP39,2021H1,596,-5815.999999999804,39143.00000000009,-44958.9999999999,0.8706376921194906,0.39932885906040266,-9.758389261744636,-18.000000000000682,10541.999999999956,93809.0000000002,12,2730.0084608333336,-6506.999999999792,-7670.999999999793,-8798.999999999793,76
P4_B02_C3_F05_C2_SP39,2021H2,646,1537.000000000431,50539.00000000007,-49001.99999999964,1.0313660666911644,0.43188854489164086,2.37925696594494,-9.99999999999801,7524.999999999913,99890.00000000023,11,1431.9981263888887,354.0000000004243,-1382.9999999995848,-2906.9999999995853,83
