trade_id,strategy,entry_utc,session_key,prior_session_loss_count,decision,source_pnl_jpy
B02|2020-01-02T07:30:00.400000+00:00|1,B02,2020-01-02T07:30:00.400000+00:00,2020-01-02|LONDON,0,ACCEPT,-228.00000000000864
F05|2020-01-02T07:30:00.400000+00:00|1,F05,2020-01-02T07:30:00.400000+00:00,2020-01-02|LONDON,0,ACCEPT,-386.0000000000099
F05|2020-01-02T08:15:00.291000+00:00|1,F05,2020-01-02T08:15:00.291000+00:00,2020-01-02|LONDON,0,ACCEPT,-466.99999999999875
F05|2020-01-02T09:45:00.297000+00:00|1,F05,2020-01-02T09:45:00.297000+00:00,2020-01-02|LONDON,0,ACCEPT,-293.99999999999693
F05|2020-01-02T15:30:00.009000+00:00|-1,F05,2020-01-02T15:30:00.009000+00:00,2020-01-02|LONDON_NY_OVERLAP,1,ACCEPT,-218.00000000000352
F05|2020-01-03T02:00:02.435000+00:00|-1,F05,2020-01-03T02:00:02.435000+00:00,2020-01-03|ASIA,0,ACCEPT,130.00000000000966
F05|2020-01-03T02:30:00.087000+00:00|-1,F05,2020-01-03T02:30:00.087000+00:00,2020-01-03|ASIA,0,ACCEPT,-3.0000000000001137
B02|2020-01-03T08:00:00.130000+00:00|-1,B02,2020-01-03T08:00:00.130000+00:00,2020-01-03|LONDON,0,ACCEPT,-66.99999999999307
F05|2020-01-03T08:00:00.130000+00:00|-1,F05,2020-01-03T08:00:00.130000+00:00,2020-01-03|LONDON,0,ACCEPT,-93.00000000000352
B02|2020-01-06T07:45:00.125000+00:00|1,B02,2020-01-06T07:45:00.125000+00:00,2020-01-06|LONDON,0,ACCEPT,332.00000000000784
F05|2020-01-06T15:30:00.342000+00:00|1,F05,2020-01-06T15:30:00.342000+00:00,2020-01-06|LONDON_NY_OVERLAP,0,ACCEPT,154.00000000001057
F05|2020-01-06T16:30:00.090000+00:00|1,F05,2020-01-06T16:30:00.090000+00:00,2020-01-06|NEW_YORK,0,ACCEPT,28.999999999996362
F05|2020-01-06T19:30:05.046000+00:00|1,F05,2020-01-06T19:30:05.046000+00:00,2020-01-06|NEW_YORK,0,ACCEPT,10.99999999999568
B02|2020-01-07T08:00:00.099000+00:00|-1,B02,2020-01-07T08:00:00.099000+00:00,2020-01-07|LONDON,0,ACCEPT,-215.0000000000034
F05|2020-01-07T15:45:00.350000+00:00|1,F05,2020-01-07T15:45:00.350000+00:00,2020-01-07|LONDON_NY_OVERLAP,0,ACCEPT,-660.9999999999872
F05|2020-01-08T00:15:00.092000+00:00|-1,F05,2020-01-08T00:15:00.092000+00:00,2020-01-08|ASIA,0,ACCEPT,-594.0000000000083
B02|2020-01-08T09:15:00.985000+00:00|1,B02,2020-01-08T09:15:00.985000+00:00,2020-01-08|LONDON,1,ACCEPT,703.000000000003
F05|2020-01-08T11:00:00.234000+00:00|1,F05,2020-01-08T11:00:00.234000+00:00,2020-01-08|LONDON,1,ACCEPT,459.99999999999375
F05|2020-01-08T16:30:00.002000+00:00|1,F05,2020-01-08T16:30:00.002000+00:00,2020-01-08|NEW_YORK,0,ACCEPT,319.0000000000026
F05|2020-01-08T17:45:02.210000+00:00|1,F05,2020-01-08T17:45:02.210000+00:00,2020-01-08|NEW_YORK,0,ACCEPT,103.9999999999992
F05|2020-01-08T18:15:00.301000+00:00|1,F05,2020-01-08T18:15:00.301000+00:00,2020-01-08|NEW_YORK,0,ACCEPT,72.00000000000273
F05|2020-01-08T18:45:00.024000+00:00|1,F05,2020-01-08T18:45:00.024000+00:00,2020-01-08|NEW_YORK,0,ACCEPT,22.00000000000557
F05|2020-01-08T19:15:01.892000+00:00|1,F05,2020-01-08T19:15:01.892000+00:00,2020-01-08|NEW_YORK,0,ACCEPT,15.000000000000568
