trade_id,strategy,signal_utc,entry_utc,baseline_close_utc,close_utc,side,side_label,lots,entry_price,baseline_close_price,close_price,baseline_pnl_jpy,pnl_jpy,modified,reason,entry_bar_index,baseline_exit_bar_index,exit_bar_index,session,year,halfyear,quarter,month,detail,source,c3_boundary,atr_m15_pips,extension_atr,volatility_state,current_60s_pips,mfe_60s_pips,mae_60s_pips
B02|2020-01-02T07:30:00.400000+00:00|1,B02,2020-01-02T07:15:00+00:00,2020-01-02T07:30:00.400000+00:00,2020-01-02T19:30:00.127000+00:00,2020-01-02T19:30:00.127000+00:00,1,LONG,0.01,108.778,108.55,108.55,-228.00000000000864,-228.00000000000864,False,A2_RETAIN_ORIGINAL_48BAR_EXIT,6302,6350,6350,LONDON_AM,2020,2020H1,2020Q1,2020-01,session_high=108.757;session_low=108.637;signal_close=108.775,DUKASCOPY_SOURCE_NATIVE_BIDASK,18.0,,,,,,
F05|2020-01-02T07:30:00.400000+00:00|1,F05,2020-01-02T07:15:00+00:00,2020-01-02T07:30:00.400000+00:00,2020-01-02T15:30:00.009000+00:00,2020-01-02T15:30:00.009000+00:00,1,LONG,0.01,108.778,108.392,108.392,-386.0000000000099,-386.0000000000099,False,UNCHANGED_BASELINE_TRADE,6302,6334,6334,LONDON_AM,2020,2020H1,2020Q1,2020-01,current_high=108.759;current_low=108.47;previous_high=108.759;previous_low=108.47;signal_close=108.775;previous_close=108.74,DUKASCOPY_SOURCE_NATIVE_BIDASK,,2.690477867882339,3.4194668946454283,LOW,,,
F05|2020-01-02T08:15:00.291000+00:00|1,F05,2020-01-02T08:00:00+00:00,2020-01-02T08:15:00.291000+00:00,2020-01-02T16:15:01.177000+00:00,2020-01-02T16:15:01.177000+00:00,1,LONG,0.01,108.812,108.345,108.345,-466.99999999999875,-466.99999999999875,False,UNCHANGED_BASELINE_TRADE,6305,6337,6337,LONDON_AM,2020,2020H1,2020Q1,2020-01,current_high=108.8;current_low=108.47;previous_high=108.797;previous_low=108.47;signal_close=108.809;previous_close=108.784,DUKASCOPY_SOURCE_NATIVE_BIDASK,,2.8131850859101273,4.230080722239456,LOW,,,
F05|2020-01-02T09:45:00.297000+00:00|1,F05,2020-01-02T09:30:00+00:00,2020-01-02T09:45:00.297000+00:00,2020-01-02T17:45:02.040000+00:00,2020-01-02T17:45:02.040000+00:00,1,LONG,0.01,108.829,108.535,108.535,-293.99999999999693,-293.99999999999693,False,UNCHANGED_BASELINE_TRADE,6311,6343,6343,LONDON_AM,2020,2020H1,2020Q1,2020-01,current_high=108.823;current_low=108.47;previous_high=108.819;previous_low=108.47;signal_close=108.826;previous_close=108.814,DUKASCOPY_SOURCE_NATIVE_BIDASK,,2.9600959197665406,4.59444571008097,LOW,,,
F05|2020-01-02T15:30:00.009000+00:00|-1,F05,2020-01-02T15:15:00+00:00,2020-01-02T15:30:00.009000+00:00,2020-01-02T23:30:00.710000+00:00,2020-01-02T23:30:00.710000+00:00,-1,SHORT,0.01,108.392,108.61,108.61,-218.00000000000352,-218.00000000000352,False,UNCHANGED_BASELINE_TRADE,6334,6366,6366,NY_OVERLAP,2020,2020H1,2020Q1,2020-01,current_high=108.864;current_low=108.516;previous_high=108.864;previous_low=108.516;signal_close=108.392;previous_close=108.592,DUKASCOPY_SOURCE_NATIVE_BIDASK,,5.751427955073462,7.198212395841678,LOW,,,
F05|2020-01-03T02:00:02.435000+00:00|-1,F05,2020-01-03T01:45:00+00:00,2020-01-03T02:00:02.435000+00:00,2020-01-03T10:00:00.559000+00:00,2020-01-03T10:00:00.559000+00:00,-1,SHORT,0.01,108.2,108.07,108.07,130.00000000000966,130.00000000000966,False,UNCHANGED_BASELINE_TRADE,6376,6408,6408,ASIA,2020,2020H1,2020Q1,2020-01,current_high=108.864;current_low=108.211;previous_high=108.864;previous_low=108.211;signal_close=108.203;previous_close=108.297,DUKASCOPY_SOURCE_NATIVE_BIDASK,,5.976880586704967,7.1943883395711286,LOW,,,
F05|2020-01-03T02:30:00.087000+00:00|-1,F05,2020-01-03T02:15:00+00:00,2020-01-03T02:30:00.087000+00:00,2020-01-03T10:30:00.303000+00:00,2020-01-03T10:30:00.303000+00:00,-1,SHORT,0.01,108.07,108.073,108.073,-3.0000000000001137,-3.0000000000001137,False,UNCHANGED_BASELINE_TRADE,6378,6410,6410,ASIA,2020,2020H1,2020Q1,2020-01,current_high=108.864;current_low=108.162;previous_high=108.864;previous_low=108.163;signal_close=108.071;previous_close=108.175,DUKASCOPY_SOURCE_NATIVE_BIDASK,,6.548432750781278,8.551664517486111,LOW,,,
B02|2020-01-03T08:00:00.130000+00:00|-1,B02,2020-01-03T07:45:00+00:00,2020-01-03T08:00:00.130000+00:00,2020-01-03T20:00:00.083000+00:00,2020-01-03T20:00:00.083000+00:00,-1,SHORT,0.01,107.947,108.014,108.014,-66.99999999999307,-66.99999999999307,False,A2_RETAIN_ORIGINAL_48BAR_EXIT,6400,6448,6448,LONDON_AM,2020,2020H1,2020Q1,2020-01,session_high=108.562;session_low=107.999;signal_close=107.947,DUKASCOPY_SOURCE_NATIVE_BIDASK,39.0,,,,,,
F05|2020-01-03T08:00:00.130000+00:00|-1,F05,2020-01-03T07:45:00+00:00,2020-01-03T08:00:00.130000+00:00,2020-01-03T16:00:00.475000+00:00,2020-01-03T16:00:00.475000+00:00,-1,SHORT,0.01,107.947,108.04,108.04,-93.00000000000352,-93.00000000000352,False,UNCHANGED_BASELINE_TRADE,6400,6432,6432,LONDON_AM,2020,2020H1,2020Q1,2020-01,current_high=108.864;current_low=107.99;previous_high=108.864;previous_low=107.999;signal_close=107.947;previous_close=108.039,DUKASCOPY_SOURCE_NATIVE_BIDASK,,6.326405049574896,4.4891213536679135,LOW,,,
B02|2020-01-06T07:45:00.125000+00:00|1,B02,2020-01-06T07:30:00+00:00,2020-01-06T07:45:00.125000+00:00,2020-01-06T19:45:00.347000+00:00,2020-01-06T19:45:00.347000+00:00,1,LONG,0.01,108.157,108.489,108.489,332.00000000000784,332.00000000000784,False,A2_RETAIN_ORIGINAL_48BAR_EXIT,6495,6543,6543,LONDON_AM,2020,2020H1,2020Q1,2020-01,session_high=108.122;session_low=107.913;signal_close=108.157,DUKASCOPY_SOURCE_NATIVE_BIDASK,,,,,,,
