candidate_id,spread_multiplier,slippage_pips_per_side,trades,avg_net_pips,total_net_pips,profit_factor
F_v2_z72_1p5_mean_target_0p25_max12,1.0,0.0,90,5.0182488405564,451.642395650076,1.6962187472777899
F_v2_z72_1p5_mean_target_0p25_max12,1.0,0.1,90,4.818248840556399,433.64239565007597,1.6610325745839511
F_v2_z72_1p5_mean_target_0p25_max12,1.0,0.3,90,4.418248840556398,397.64239565007585,1.5926932308888881
F_v2_z72_1p5_mean_target_0p25_max12,1.0,0.5,90,4.018248840556399,361.64239565007597,1.5270928253196232
F_v2_z72_1p5_mean_target_0p25_max12,1.5,0.0,90,4.716817705279111,424.51359347512,1.6433618837597703
F_v2_z72_1p5_mean_target_0p25_max12,1.5,0.1,90,4.516817705279111,406.51359347512,1.6092497194395308
F_v2_z72_1p5_mean_target_0p25_max12,1.5,0.3,90,4.116817705279111,370.51359347512,1.5429276485436387
F_v2_z72_1p5_mean_target_0p25_max12,1.5,0.5,90,3.7168177052791105,334.51359347511993,1.4793238417421413
F_v2_z72_1p5_mean_target_0p25_max12,2.0,0.0,90,4.41538657000182,397.3847913001638,1.5920819287846755
F_v2_z72_1p5_mean_target_0p25_max12,2.0,0.1,90,4.2153865700018205,379.38479130016384,1.5589337615386527
F_v2_z72_1p5_mean_target_0p25_max12,2.0,0.3,90,3.8153865700018206,343.38479130016384,1.494708640577649
F_v2_z72_1p5_mean_target_0p25_max12,2.0,0.5,90,3.415386570001821,307.3847913001639,1.4331100525001865
F_v2_z72_1p5_mean_target_0p25_max12,3.0,0.0,90,3.8125242994472432,343.1271869502519,1.494154120814738
F_v2_z72_1p5_mean_target_0p25_max12,3.0,0.1,90,3.6125242994472417,325.12718695025177,1.4630301556936245
F_v2_z72_1p5_mean_target_0p25_max12,3.0,0.3,90,3.2125242994472414,289.1271869502517,1.4026713102919512
F_v2_z72_1p5_mean_target_0p25_max12,3.0,0.5,90,2.812524299447243,253.12718695025185,1.344661389124235
F_v2_z72_1p5_mean_target_0p5_max12,1.0,0.0,90,3.6760266183341668,330.842395650075,1.5100023391611366
F_v2_z72_1p5_mean_target_0p5_max12,1.0,0.1,90,3.476026618334166,312.84239565007493,1.4768883677195963
F_v2_z72_1p5_mean_target_0p5_max12,1.0,0.3,90,3.0760266183341654,276.8423956500749,1.4126386313929538
F_v2_z72_1p5_mean_target_0p5_max12,1.0,0.5,90,2.6760266183341668,240.842395650075,1.3510271481078715
F_v2_z72_1p5_mean_target_0p5_max12,1.5,0.0,90,3.3745954830568787,303.71359347511907,1.460286201961289
F_v2_z72_1p5_mean_target_0p5_max12,1.5,0.1,90,3.174595483056878,285.713593475119,1.4282044425051443
F_v2_z72_1p5_mean_target_0p5_max12,1.5,0.3,90,2.7745954830568773,249.71359347511896,1.3659148179780143
F_v2_z72_1p5_mean_target_0p5_max12,1.5,0.5,90,2.3745954830568787,213.71359347511907,1.3062297695971847
F_v2_z72_1p5_mean_target_0p5_max12,2.0,0.0,90,3.073164347779588,276.5847913001629,1.4120964372333287
F_v2_z72_1p5_mean_target_0p5_max12,2.0,0.1,90,2.8731643477795887,258.584791300163,1.3809635319928681
F_v2_z72_1p5_mean_target_0p5_max12,2.0,0.3,90,2.473164347779589,222.584791300163,1.320674130908461
F_v2_z72_1p5_mean_target_0p5_max12,2.0,0.5,90,2.073164347779589,186.584791300163,1.262900934083094
F_v2_z72_1p5_mean_target_0p5_max12,3.0,0.0,90,2.47030207722501,222.3271869502509,1.3201841759526438
F_v2_z72_1p5_mean_target_0p5_max12,3.0,0.1,90,2.2703020772250095,204.32718695025088,1.290992734484832
F_v2_z72_1p5_mean_target_0p5_max12,3.0,0.3,90,1.8703020772250096,168.32718695025088,1.2344805150582954
F_v2_z72_1p5_mean_target_0p5_max12,3.0,0.5,90,1.4703020772250104,132.32718695025093,1.180313515635415
