candidate_id,holding_bar,observations,avg_gross_path_pips,median_gross_path_pips,positive_fraction
F_v2_z72_1p5_mean_target_0p25_max12,1,90,2.5849999999998867,1.1499999999997623,0.5444444444444444
F_v2_z72_1p5_mean_target_0p25_max12,2,90,2.0516666666665384,2.174999999999816,0.5777777777777777
F_v2_z72_1p5_mean_target_0p25_max12,3,90,2.4311111111111243,1.7999999999995797,0.5555555555555556
F_v2_z72_1p5_mean_target_0p25_max12,4,90,1.6277777777775864,2.0500000000001073,0.5777777777777777
F_v2_z72_1p5_mean_target_0p25_max12,5,90,1.834444444444348,1.5499999999990521,0.5444444444444444
F_v2_z72_1p5_mean_target_0p25_max12,6,90,1.7877777777775985,1.774999999999416,0.5333333333333333
F_v2_z72_1p5_mean_target_0p25_max12,7,90,1.3077777777776114,1.7249999999990884,0.5444444444444444
F_v2_z72_1p5_mean_target_0p25_max12,8,90,1.90944444444447,2.174999999999816,0.5555555555555556
F_v2_z72_1p5_mean_target_0p25_max12,9,90,2.1705555555555147,2.775000000000416,0.5444444444444444
F_v2_z72_1p5_mean_target_0p25_max12,10,90,3.641111111111009,4.324999999999468,0.5222222222222223
F_v2_z72_1p5_mean_target_0p25_max12,11,90,4.725555555555601,3.4250000000002334,0.5444444444444444
F_v2_z72_1p5_mean_target_0p25_max12,12,90,4.397222222222139,3.749999999999032,0.5777777777777777
F_v2_z72_1p5_mean_target_0p5_max12,1,90,2.5849999999998867,1.1499999999997623,0.5444444444444444
F_v2_z72_1p5_mean_target_0p5_max12,2,90,2.0516666666665384,2.174999999999816,0.5777777777777777
F_v2_z72_1p5_mean_target_0p5_max12,3,90,2.4311111111111243,1.7999999999995797,0.5555555555555556
F_v2_z72_1p5_mean_target_0p5_max12,4,90,1.6277777777775864,2.0500000000001073,0.5777777777777777
F_v2_z72_1p5_mean_target_0p5_max12,5,90,1.834444444444348,1.5499999999990521,0.5444444444444444
F_v2_z72_1p5_mean_target_0p5_max12,6,90,1.7877777777775985,1.774999999999416,0.5333333333333333
F_v2_z72_1p5_mean_target_0p5_max12,7,90,1.3077777777776114,1.7249999999990884,0.5444444444444444
F_v2_z72_1p5_mean_target_0p5_max12,8,90,1.90944444444447,2.174999999999816,0.5555555555555556
F_v2_z72_1p5_mean_target_0p5_max12,9,90,2.1705555555555147,2.775000000000416,0.5444444444444444
F_v2_z72_1p5_mean_target_0p5_max12,10,90,3.641111111111009,4.324999999999468,0.5222222222222223
F_v2_z72_1p5_mean_target_0p5_max12,11,90,4.725555555555601,3.4250000000002334,0.5444444444444444
F_v2_z72_1p5_mean_target_0p5_max12,12,90,4.397222222222139,3.749999999999032,0.5777777777777777
