timestamp_utc,realized_jpy,floating_jpy,equity_jpy,open_count,candidate_realized_jpy,candidate_floating_jpy
2023-01-03 12:15:00+00:00,0.0,-5.0,999995.0,1,0.0,0.0
2023-01-03 12:30:00+00:00,0.0,-180.0,999820.0,1,0.0,0.0
2023-01-03 12:45:00+00:00,0.0,-207.0,999793.0,1,0.0,0.0
2023-01-03 13:00:00+00:00,0.0,-132.0,999868.0,1,0.0,0.0
2023-01-03 13:15:00+00:00,0.0,-312.0,999688.0,1,0.0,0.0
2023-01-03 13:30:00+00:00,0.0,-350.0,999650.0,1,0.0,0.0
2023-01-03 13:45:00+00:00,0.0,-444.0,999556.0,1,0.0,0.0
2023-01-03 14:00:00+00:00,0.0,-451.0,999549.0,1,0.0,0.0
2023-01-03 14:15:00+00:00,0.0,-529.0,999471.0,1,0.0,0.0
2023-01-03 14:30:00+00:00,0.0,-593.0,999407.0,1,0.0,0.0
2023-01-03 14:45:00+00:00,0.0,-827.0,999173.0,1,0.0,0.0
2023-01-03 15:00:00+00:00,0.0,-925.0,999075.0,1,0.0,0.0
2023-01-03 15:15:00+00:00,0.0,-493.0,999507.0,1,0.0,0.0
2023-01-03 15:30:00+00:00,0.0,-309.0,999691.0,1,0.0,0.0
2023-01-03 15:45:00+00:00,0.0,-270.0,999730.0,1,0.0,0.0
2023-01-03 16:00:00+00:00,0.0,-360.0,999640.0,1,0.0,0.0
2023-01-03 16:15:00+00:00,0.0,-290.0,999710.0,1,0.0,0.0
2023-01-03 16:30:00+00:00,0.0,-322.0,999678.0,1,0.0,0.0
2023-01-03 16:45:00+00:00,0.0,-119.0,999881.0,1,0.0,0.0
2023-01-03 17:00:00+00:00,0.0,-271.0,999729.0,1,0.0,0.0
2023-01-03 17:15:00+00:00,0.0,-339.0,999661.0,1,0.0,0.0
2023-01-03 17:30:00+00:00,0.0,-248.0,999752.0,1,0.0,0.0
2023-01-03 17:45:00+00:00,0.0,-305.0,999695.0,1,0.0,0.0
2023-01-03 18:00:00+00:00,0.0,-311.0,999689.0,1,0.0,0.0
2023-01-03 18:15:00+00:00,0.0,-385.0,999615.0,1,0.0,0.0
2023-01-03 18:30:00+00:00,0.0,-494.0,999506.0,1,0.0,0.0
2023-01-03 18:45:00+00:00,0.0,-484.0,999516.0,1,0.0,0.0
2023-01-03 19:00:00+00:00,0.0,-486.0,999514.0,1,0.0,0.0
2023-01-03 19:15:00+00:00,0.0,-501.0,999499.0,1,0.0,0.0
2023-01-03 19:30:00+00:00,0.0,-432.0,999568.0,1,0.0,0.0
2023-01-03 19:45:00+00:00,0.0,-370.0,999630.0,1,0.0,0.0
2023-01-03 20:00:00+00:00,0.0,-336.0,999664.0,1,0.0,0.0
2023-01-03 20:15:00+00:00,0.0,-318.0,999682.0,1,0.0,0.0
2023-01-03 20:30:00+00:00,0.0,-230.0,999770.0,1,0.0,0.0
