candidate_id,holdout_fold,train_folds,variant_id,training_hard_pass,training_gate_pass_count,training_gate_count,training_net_jpy,training_pf,training_negative_day_contribution_jpy,training_full_equity_dd_jpy,training_worst_5d_jpy,complexity,portability,selected_for_holdout
C2_30_MIN_FAILURE_EXIT,2024H1,"2023H1,2023H2,2024H2",C2_F30_M15,False,23,26,11596.999999999509,1.210954269290927,-9324.000000000267,39345.00000000023,-11770.000000000002,1,3,
C2_30_MIN_FAILURE_EXIT,2024H1,"2023H1,2023H2,2024H2",C2_F30_M20,False,24,26,14315.999999999534,1.2636464088397683,-8634.000000000213,38242.00000000023,-11770.000000000002,1,3,
C2_30_MIN_FAILURE_EXIT,2024H1,"2023H1,2023H2,2024H2",C2_F30_M10,False,24,26,12587.99999999961,1.2415659182498466,-8385.000000000162,36818.00000000023,-11770.000000000002,1,3,True
C2_30_MIN_FAILURE_EXIT,2024H2,"2023H1,2023H2,2024H1",C2_F30_M10,False,24,26,10310.999999999794,1.2641543269969706,-9129.000000000018,36818.00000000023,-11770.000000000002,1,3,
C2_30_MIN_FAILURE_EXIT,2024H2,"2023H1,2023H2,2024H1",C2_F30_M15,False,23,26,7537.999999999769,1.1782918233638389,-11309.000000000055,39345.00000000023,-11770.000000000002,1,3,
C2_30_MIN_FAILURE_EXIT,2024H2,"2023H1,2023H2,2024H1",C2_F30_M20,False,24,26,9399.999999999764,1.2259669703598577,-10939.000000000022,38242.00000000023,-11770.000000000002,1,3,
C2_30_MIN_FAILURE_EXIT,2024H2,"2023H1,2023H2,2024H1",C2_F30_M10,False,24,26,10310.999999999794,1.2641543269969706,-9129.000000000018,36818.00000000023,-11770.000000000002,1,3,True
C3_60_MIN_NO_PROGRESS_EXIT,2023H1,"2023H2,2024H1,2024H2",C3_NP60_MFE5_PL0,False,18,26,9708.999999999633,1.216236080178164,-11256.000000000227,,-9152.000000000051,2,3,
C3_60_MIN_NO_PROGRESS_EXIT,2023H1,"2023H2,2024H1,2024H2",C3_NP60_MFE10_PL0,False,17,26,9836.999999999705,1.2303477344573155,-9690.000000000253,,-9152.000000000055,2,3,
C3_60_MIN_NO_PROGRESS_EXIT,2023H1,"2023H2,2024H1,2024H2",C3_NP60_MFE10_PLM5,False,16,26,8655.99999999969,1.1883294895783394,-10668.000000000204,,-9152.000000000055,2,3,
C3_60_MIN_NO_PROGRESS_EXIT,2023H1,"2023H2,2024H1,2024H2",C3_NP60_MFE10_PL0,False,17,26,9836.999999999705,1.2303477344573155,-9690.000000000253,,-9152.000000000055,2,3,True
C3_60_MIN_NO_PROGRESS_EXIT,2023H2,"2023H1,2024H1,2024H2",C3_NP60_MFE5_PL0,False,22,26,8719.999999999472,1.199355295946581,-8428.000000000253,40284.00000000023,-12053.000000000018,2,3,
C3_60_MIN_NO_PROGRESS_EXIT,2023H2,"2023H1,2024H1,2024H2",C3_NP60_MFE10_PL0,False,22,26,8609.999999999543,1.2074548827795455,-7153.000000000276,39883.00000000012,-11759.000000000007,2,3,
C3_60_MIN_NO_PROGRESS_EXIT,2023H2,"2023H1,2024H1,2024H2",C3_NP60_MFE10_PLM5,False,20,26,7510.999999999496,1.1703522260778716,-8609.000000000266,39727.00000000023,-11759.000000000007,2,3,
C3_60_MIN_NO_PROGRESS_EXIT,2023H2,"2023H1,2024H1,2024H2",C3_NP60_MFE10_PL0,False,22,26,8609.999999999543,1.2074548827795455,-7153.000000000276,39883.00000000012,-11759.000000000007,2,3,True
C3_60_MIN_NO_PROGRESS_EXIT,2024H1,"2023H1,2023H2,2024H2",C3_NP60_MFE5_PL0,False,21,26,10324.999999999605,1.2078259294297526,-12746.000000000124,39599.00000000012,-12053.000000000018,2,3,
C3_60_MIN_NO_PROGRESS_EXIT,2024H1,"2023H1,2023H2,2024H2",C3_NP60_MFE10_PL0,False,22,26,11147.999999999696,1.239685235750675,-11313.00000000013,39175.00000000012,-11759.000000000007,2,3,
C3_60_MIN_NO_PROGRESS_EXIT,2024H1,"2023H1,2023H2,2024H2",C3_NP60_MFE10_PLM5,False,22,26,10842.999999999689,1.218357935437091,-11587.000000000102,38624.00000000023,-11759.000000000007,2,3,
C3_60_MIN_NO_PROGRESS_EXIT,2024H1,"2023H1,2023H2,2024H2",C3_NP60_MFE10_PL0,False,22,26,11147.999999999696,1.239685235750675,-11313.00000000013,39175.00000000012,-11759.000000000007,2,3,True
C3_60_MIN_NO_PROGRESS_EXIT,2024H2,"2023H1,2023H2,2024H1",C3_NP60_MFE5_PL0,False,24,26,7500.999999999649,1.201369127516768,-10373.999999999996,39599.00000000012,-12053.000000000018,2,3,
C3_60_MIN_NO_PROGRESS_EXIT,2024H2,"2023H1,2023H2,2024H1",C3_NP60_MFE10_PL0,False,24,26,9119.999999999649,1.2636600173460422,-9320.000000000078,39175.00000000012,-11759.000000000007,2,3,
C3_60_MIN_NO_PROGRESS_EXIT,2024H2,"2023H1,2023H2,2024H1",C3_NP60_MFE10_PLM5,False,24,26,8629.99999999961,1.225426429485661,-9891.000000000047,38624.00000000023,-11759.000000000007,2,3,
C3_60_MIN_NO_PROGRESS_EXIT,2024H2,"2023H1,2023H2,2024H1",C3_NP60_MFE10_PL0,False,24,26,9119.999999999649,1.2636600173460422,-9320.000000000078,39175.00000000012,-11759.000000000007,2,3,True
C4_CONTINUATION_ALIVE_STATE_MACHINE,2023H1,"2023H2,2024H1,2024H2",C4_S1_NEW_LOW,False,14,26,5035.999999999746,1.1054240197617642,-11143.000000000084,,-9199.000000000051,2,2,
C4_CONTINUATION_ALIVE_STATE_MACHINE,2023H1,"2023H2,2024H1,2024H2",C4_S2_NEW_LOW,False,14,26,5491.9999999997335,1.1111335950463332,-11696.000000000196,,-9382.000000000073,2,2,
C4_CONTINUATION_ALIVE_STATE_MACHINE,2023H1,"2023H2,2024H1,2024H2",C4_S3_EMA_RECROSS,False,18,26,8281.999999999784,1.1940896627686186,-7051.0000000000455,,-9199.000000000055,2,2,
C4_CONTINUATION_ALIVE_STATE_MACHINE,2023H1,"2023H2,2024H1,2024H2",C4_S3_EMA_RECROSS,False,18,26,8281.999999999784,1.1940896627686186,-7051.0000000000455,,-9199.000000000055,2,2,True
C4_CONTINUATION_ALIVE_STATE_MACHINE,2023H2,"2023H1,2024H1,2024H2",C4_S1_NEW_LOW,False,18,26,4701.999999999444,1.1059796695742192,-8029.000000000253,38789.00000000023,-11770.000000000002,2,2,
C4_CONTINUATION_ALIVE_STATE_MACHINE,2023H2,"2023H1,2024H1,2024H2",C4_S2_NEW_LOW,False,19,26,4738.999999999565,1.1029993479678228,-9135.000000000193,39567.00000000012,-11770.000000000002,2,2,
C4_CONTINUATION_ALIVE_STATE_MACHINE,2023H2,"2023H1,2024H1,2024H2",C4_S3_EMA_RECROSS,False,19,26,5081.999999999581,1.1222780972546267,-6361.000000000189,42677.00000000023,-11792.999999999998,2,2,
C4_CONTINUATION_ALIVE_STATE_MACHINE,2023H2,"2023H1,2024H1,2024H2",C4_S3_EMA_RECROSS,False,19,26,5081.999999999581,1.1222780972546267,-6361.000000000189,42677.00000000023,-11792.999999999998,2,2,True
C4_CONTINUATION_ALIVE_STATE_MACHINE,2024H1,"2023H1,2023H2,2024H2",C4_S1_NEW_LOW,False,18,26,6575.999999999666,1.1284475349636616,-10269.000000000091,36855.00000000012,-11770.000000000002,2,2,
C4_CONTINUATION_ALIVE_STATE_MACHINE,2024H1,"2023H1,2023H2,2024H2",C4_S2_NEW_LOW,False,18,26,5285.999999999674,1.0981069042316192,-11623.000000000131,37841.00000000023,-11770.000000000002,2,2,
C4_CONTINUATION_ALIVE_STATE_MACHINE,2024H1,"2023H1,2023H2,2024H2",C4_S3_EMA_RECROSS,False,21,26,6138.999999999682,1.1296351043162354,-8064.000000000107,42246.00000000023,-11792.999999999998,2,2,
C4_CONTINUATION_ALIVE_STATE_MACHINE,2024H1,"2023H1,2023H2,2024H2",C4_S3_EMA_RECROSS,False,21,26,6138.999999999682,1.1296351043162354,-8064.000000000107,42246.00000000023,-11792.999999999998,2,2,True
C4_CONTINUATION_ALIVE_STATE_MACHINE,2024H2,"2023H1,2023H2,2024H1",C4_S1_NEW_LOW,False,24,26,10406.999999999683,1.287462364997365,-8373.999999999967,36855.00000000012,-11770.000000000002,2,2,
C4_CONTINUATION_ALIVE_STATE_MACHINE,2024H2,"2023H1,2023H2,2024H1",C4_S2_NEW_LOW,False,24,26,10237.99999999973,1.2672060550698074,-9174.000000000007,37841.00000000023,-11770.000000000002,2,2,
C4_CONTINUATION_ALIVE_STATE_MACHINE,2024H2,"2023H1,2023H2,2024H1",C4_S3_EMA_RECROSS,False,23,26,5291.999999999674,1.1417398757231527,-9721.000000000004,42246.00000000023,-11792.999999999998,2,2,
C4_CONTINUATION_ALIVE_STATE_MACHINE,2024H2,"2023H1,2023H2,2024H1",C4_S1_NEW_LOW,False,24,26,10406.999999999683,1.287462364997365,-8373.999999999967,36855.00000000012,-11770.000000000002,2,2,True
C5_PORTFOLIO_LOSS_DECOUPLING,2023H1,"2023H2,2024H1,2024H2",C5_COEXPOSURE_SKIP,False,10,26,596.9999999997244,1.0324897959183517,-294.00000000003956,,-8781.000000000025,1,3,
C5_PORTFOLIO_LOSS_DECOUPLING,2023H1,"2023H2,2024H1,2024H2",C5_RECENT_LOSS_SKIP,False,7,26,-1089.000000000141,0.9368622448979519,-4582.000000000107,,-8476.00000000001,1,3,
C5_PORTFOLIO_LOSS_DECOUPLING,2023H1,"2023H2,2024H1,2024H2",C5_DD_GE_4000_SKIP,False,17,26,7770.000000000009,1.5389096962130695,-2718.0000000000173,,-8631.000000000011,1,3,
C5_PORTFOLIO_LOSS_DECOUPLING,2023H1,"2023H2,2024H1,2024H2",C5_COEXPOSURE_SKIP,False,10,26,596.9999999997244,1.0324897959183517,-294.00000000003956,,-8781.000000000025,1,3,True
C5_PORTFOLIO_LOSS_DECOUPLING,2023H2,"2023H1,2024H1,2024H2",C5_COEXPOSURE_SKIP,False,10,26,-3720.0000000002256,0.8166223010943408,-158.00000000007185,41630.00000000012,-11701.000000000015,1,3,
C5_PORTFOLIO_LOSS_DECOUPLING,2023H2,"2023H1,2024H1,2024H2",C5_RECENT_LOSS_SKIP,False,7,26,-817.0000000001501,0.9379462251253122,-3902.0000000001,43220.00000000012,-12311.0,1,3,
C5_PORTFOLIO_LOSS_DECOUPLING,2023H2,"2023H1,2024H1,2024H2",C5_DD_GE_4000_SKIP,False,21,26,7770.000000000009,1.5389096962130695,-2718.0000000000173,42660.0,-11585.0,1,3,
C5_PORTFOLIO_LOSS_DECOUPLING,2023H2,"2023H1,2024H1,2024H2",C5_COEXPOSURE_SKIP,False,10,26,-3720.0000000002256,0.8166223010943408,-158.00000000007185,41630.00000000012,-11701.000000000015,1,3,True
C5_PORTFOLIO_LOSS_DECOUPLING,2024H1,"2023H1,2023H2,2024H2",C5_COEXPOSURE_SKIP,False,14,26,599.9999999996808,1.0311866521128785,2026.9999999999584,38103.00000000023,-11701.000000000015,1,3,
C5_PORTFOLIO_LOSS_DECOUPLING,2024H1,"2023H1,2023H2,2024H2",C5_RECENT_LOSS_SKIP,False,7,26,-2056.0000000001555,0.8843839622110933,-5954.000000000065,43549.00000000012,-12311.0,1,3,
C5_PORTFOLIO_LOSS_DECOUPLING,2024H1,"2023H1,2023H2,2024H2",C5_DD_GE_4000_SKIP,False,20,26,6256.000000000056,1.6975136581558816,-981.9999999999993,42660.0,-11585.0,1,3,
C5_PORTFOLIO_LOSS_DECOUPLING,2024H1,"2023H1,2023H2,2024H2",C5_COEXPOSURE_SKIP,False,14,26,599.9999999996808,1.0311866521128785,2026.9999999999584,38103.00000000023,-11701.000000000015,1,3,True
C5_PORTFOLIO_LOSS_DECOUPLING,2024H2,"2023H1,2023H2,2024H1",C5_COEXPOSURE_SKIP,False,21,26,7403.99999999974,1.6577825159914394,2697.0000000000027,38103.00000000023,-11701.000000000015,1,3,
C5_PORTFOLIO_LOSS_DECOUPLING,2024H2,"2023H1,2023H2,2024H1",C5_RECENT_LOSS_SKIP,False,7,26,-985.000000000241,0.913830810952653,-4471.00000000006,43549.00000000012,-12311.0,1,3,
C5_PORTFOLIO_LOSS_DECOUPLING,2024H2,"2023H1,2023H2,2024H1",C5_DD_GE_4000_SKIP,False,19,26,1513.9999999999534,1.2778491466324005,-1736.0000000000184,42660.0,-11585.0,1,3,
C5_PORTFOLIO_LOSS_DECOUPLING,2024H2,"2023H1,2023H2,2024H1",C5_COEXPOSURE_SKIP,False,21,26,7403.99999999974,1.6577825159914394,2697.0000000000027,38103.00000000023,-11701.000000000015,1,3,True
