candidate_id,scope,reference_top25_preserved_count,reference_top25_preserved_rate,top5_winner_pl_retention,top_decile_gross_profit_retention,overall_profit_retention_ratio,avoided_loss_jpy,sacrificed_profit_jpy,net_benefit_jpy,loss_rejection_ratio,winner_mean_reference_hold_minutes,winner_mean_mfe_arrival_minutes,deleted_or_early_reference_winners,deleted_or_early_reference_losers,right_tail_pass
C1_ENTRY_TIME_ADMISSION,OOF,16,0.64,0.5955532574974133,0.6166118705658432,0.5816685254327687,27514.9999999998,34509.00000000004,-6994.0000000002365,0.4245290296699705,298.7757861904762,205.1881172789116,106,116,False
C1_ENTRY_TIME_ADMISSION,FULL_EXACT,18,0.72,0.5139607032057881,0.6844436753763633,0.615974882412841,30611.999999999894,31678.999999999913,-1067.0000000000182,0.4723126533257201,298.7757861904762,205.1881172789116,98,114,False
C2_30_MIN_FAILURE_EXIT,OOF,24,0.96,0.9999999999999987,0.9733517909672955,0.924926053435484,8306.999999999745,6193.000000000065,2113.9999999996808,0.1281687315816232,298.7757861904762,205.1881172789116,30,62,True
C2_30_MIN_FAILURE_EXIT,FULL_EXACT,24,0.96,0.9999999999999987,0.9733517909672955,0.924926053435484,8306.999999999745,6193.000000000065,2113.9999999996808,0.1281687315816232,298.7757861904762,205.1881172789116,30,62,True
C3_60_MIN_NO_PROGRESS_EXIT,OOF,24,0.96,0.8258531540847972,0.9417200207648387,0.8244193376327382,17400.99999999954,14484.00000000016,2916.9999999993815,0.26848008887105274,298.7757861904762,205.1881172789116,80,143,False
C3_60_MIN_NO_PROGRESS_EXIT,FULL_EXACT,24,0.96,0.8258531540847972,0.9417200207648387,0.8244193376327382,17400.99999999954,14484.00000000016,2916.9999999993815,0.26848008887105274,298.7757861904762,205.1881172789116,80,143,False
C4_CONTINUATION_ALIVE_STATE_MACHINE,OOF,23,0.92,0.6109617373319531,0.869804464440215,0.7851670465014791,13981.999999999529,17721.99999999999,-3740.00000000046,0.21572832610740944,298.7757861904762,205.1881172789116,64,161,False
C4_CONTINUATION_ALIVE_STATE_MACHINE,FULL_EXACT,23,0.92,0.6109617373319531,0.869804464440215,0.7827789361392619,18474.999999999578,17919.000000000022,555.9999999995562,0.2850508385663305,298.7757861904762,205.1881172789116,65,171,False
C5_PORTFOLIO_LOSS_DECOUPLING,OOF,6,0.24,0.1741468459152014,0.23197785083924466,0.29916840420889157,41760.99999999975,57813.00000000012,-16052.000000000364,0.6443306126857228,298.7757861904762,205.1881172789116,163,161,False
C5_PORTFOLIO_LOSS_DECOUPLING,FULL_EXACT,6,0.24,0.1741468459152014,0.23197785083924466,0.29916840420889157,41760.99999999975,57813.00000000012,-16052.000000000364,0.6443306126857228,298.7757861904762,205.1881172789116,163,161,False
C6_BEST_ADMISSIBLE_COMBINED,OOF,14,0.56,0.42140641158221187,0.5324104516352325,0.47238520098918707,34637.99999999982,43523.999999999985,-8886.000000000167,0.5344298211778473,298.7757861904762,205.1881172789116,141,172,False
C6_BEST_ADMISSIBLE_COMBINED,FULL_EXACT,14,0.56,0.42140641158221187,0.5165253504066462,0.46679678029384675,34622.999999999716,43985.0,-9362.000000000284,0.5341983861262357,298.7757861904762,205.1881172789116,146,170,False
