candidate_id,arm,quorum,persistence,core_all_folds,full_all_folds,minimum_fold_default_delta_pips,minimum_fold_target_benefit_pips,minimum_top_decile_winner_retention
O_P2_Q2_R1,P2,2,1,False,False,-624.1000000000408,1281.999999999997,0.8434954954954933
O_P2_Q2_R2,P2,2,2,False,False,-848.0000000000051,819.0,0.8789189189189183
O_P2_Q3_R1,P2,3,1,False,False,-815.0000000000645,656.3000000000017,0.8736216216216207
O_P2_Q3_R2,P2,3,2,False,False,-609.2000000000036,403.20000000000107,0.9023063063063055
O_P1_Q2_R1,P1,2,1,False,False,-2156.1000000000877,1630.3000000000043,0.48361432506887164
O_P1_Q2_R2,P1,2,2,False,False,-1414.300000000079,1164.999999999991,0.528186238396932
O_P1_Q3_R1,P1,3,1,False,False,-1591.50000000007,1300.1999999999916,0.8164137321349645
O_P1_Q3_R2,P1,3,2,False,False,-1458.3000000000586,753.0999999999899,0.8713873873873869
