candidate_id,month,trades,net_jpy,gross_profit_jpy,gross_loss_jpy,pf,mdd_jpy,recovery_factor,win_rate,average_trade_jpy,median_trade_jpy,positive_folds,positive_months,minimum_fold_net_jpy
HYP030_STYLE_RAW_NATIVE_BOTH,2023-01,22,469.99999999999886,3345.0000000000273,2875.0000000000286,1.163478260869563,1780.0000000000011,0.2640449438202239,0.5454545454545454,21.363636363636314,4.0000000000048885,1,1,469.99999999999886
HYP030_STYLE_RAW_NATIVE_BOTH,2023-02,22,1479.0000000000703,3327.0000000000546,1847.9999999999848,1.8003246753247197,1174.9999999999545,1.2587234042554276,0.6818181818181818,67.22727272727592,42.50000000000398,1,1,1479.0000000000703
HYP030_STYLE_RAW_NATIVE_BOTH,2023-03,28,-366.9999999999902,4909.000000000019,5276.00000000001,0.9304397270659609,3404.9999999999727,-0.10778267254037978,0.5357142857142857,-13.107142857142508,45.50000000000409,0,0,-366.9999999999902
HYP030_STYLE_RAW_NATIVE_BOTH,2023-04,24,1043.9999999999827,3706.9999999999936,2663.000000000012,1.3920390536988274,1519.9999999999818,0.6868421052631547,0.4166666666666667,43.49999999999928,-12.000000000000455,1,1,1043.9999999999827
HYP030_STYLE_RAW_NATIVE_BOTH,2023-05,25,-2879.0000000000473,1503.0000000000427,4382.00000000009,0.3429940666362419,3038.0000000000678,-0.9476629361421932,0.4,-115.16000000000189,-52.99999999999727,0,0,-2879.0000000000473
HYP030_STYLE_RAW_NATIVE_BOTH,2023-06,29,-156.99999999998226,2917.000000000002,3073.9999999999836,0.948926480156154,1037.999999999954,-0.1512524084778316,0.4482758620689655,-5.413793103447665,-14.999999999986358,0,0,-156.99999999998226
HYP030_STYLE_RAW_NATIVE_BOTH,2023-07,24,-1525.0000000000339,3817.0000000000073,5342.000000000041,0.7145263946087567,2963.9999999999986,-0.514507422402171,0.5,-63.54166666666808,-23.499999999998522,0,0,-1525.000000000034
HYP030_STYLE_RAW_NATIVE_BOTH,2023-08,26,-1619.0000000000853,1840.9999999999798,3460.0000000000646,0.5320809248554755,2862.000000000052,-0.5656883298392927,0.38461538461538464,-62.26923076923405,-85.00000000000796,0,0,-1619.000000000085
HYP030_STYLE_RAW_NATIVE_BOTH,2023-09,18,456.0000000000173,2226.0000000000273,1770.0000000000102,1.257627118644076,944.0000000000168,0.4830508474576368,0.2777777777777778,25.333333333334295,-26.499999999998636,1,1,456.0000000000173
HYP030_STYLE_RAW_NATIVE_BOTH,2023-10,23,1215.0000000000034,2435.0000000000023,1219.9999999999989,1.9959016393442661,947.9999999999791,1.281645569620285,0.5217391304347826,52.826086956521884,4.9999999999954525,1,1,1215.0000000000034
HYP030_STYLE_RAW_NATIVE_BOTH,2023-11,21,436.0000000000639,2085.000000000093,1649.0000000000293,1.2644026682838425,872.9999999999905,0.4994272623139389,0.5238095238095238,20.761904761907804,6.000000000000227,1,1,436.0000000000639
HYP030_STYLE_RAW_NATIVE_BOTH,2023-12,19,1903.0000000000484,2616.0000000000136,712.9999999999654,3.6690042075738294,514.9999999999579,3.695145631068357,0.631578947368421,100.15789473684465,30.000000000001137,1,1,1903.0000000000484
HYP030_STYLE_RAW_NATIVE_BOTH,2024-01,24,582.0000000000505,1898.0000000000246,1315.999999999974,1.4422492401216276,908.9999999999634,0.6402640264027216,0.625,24.250000000002103,59.499999999999886,1,1,582.0000000000505
HYP030_STYLE_RAW_NATIVE_BOTH,2024-02,25,1337.0000000000744,3023.0000000000246,1685.9999999999502,1.793001186239688,965.9999999999234,1.3840579710146794,0.36,53.480000000002974,-33.999999999991815,1,1,1337.0000000000744
HYP030_STYLE_RAW_NATIVE_BOTH,2024-03,21,-990.9999999999286,1551.0000000000446,2541.9999999999736,0.6101494885916839,1342.000000000013,-0.738450074515588,0.47619047619047616,-47.19047619047279,-17.00000000002433,0,0,-990.9999999999286
HYP030_STYLE_RAW_NATIVE_BOTH,2024-04,23,-776.0000000000673,943.000000000012,1719.0000000000794,0.5485747527632161,980.0000000000466,-0.7918367346939086,0.43478260869565216,-33.73913043478554,-21.99999999999136,0,0,-776.0000000000673
HYP030_STYLE_RAW_NATIVE_BOTH,2024-05,23,237.00000000008004,1749.000000000052,1511.999999999972,1.1567460317460876,795.9999999999923,0.29773869346744014,0.5652173913043478,10.304347826090437,27.000000000015234,1,1,237.00000000008004
HYP030_STYLE_RAW_NATIVE_BOTH,2024-06,18,229.99999999993292,1198.9999999999554,969.0000000000225,1.2373581011351162,407.99999999998704,0.563725490195932,0.3888888888888889,12.777777777774052,-28.999999999996362,1,1,229.99999999993292
HYP030_STYLE_RAW_NATIVE_BOTH,2024-07,21,337.99999999999386,2135.9999999999673,1797.9999999999734,1.187986651835372,1489.0000000000043,0.22699798522497844,0.5238095238095238,16.095238095237804,92.99999999998931,1,1,337.99999999999386
HYP030_STYLE_RAW_NATIVE_BOTH,2024-08,16,1288.9999999999868,3528.9999999999964,2240.000000000009,1.5754464285714205,971.0000000000036,1.3274974253346878,0.4375,80.56249999999918,-135.4999999999933,1,1,1288.9999999999873
HYP030_STYLE_RAW_NATIVE_BOTH,2024-09,26,2335.9999999999272,5481.999999999913,3145.9999999999864,1.7425301970756315,1972.0000000000082,1.184584178498944,0.5769230769230769,89.84615384615105,85.99999999999852,1,1,2335.9999999999272
HYP030_STYLE_RAW_NATIVE_BOTH,2024-10,25,-2285.0000000001105,1753.9999999999338,4039.0000000000437,0.4342659074028014,2691.000000000031,-0.8491267186919674,0.36,-91.40000000000443,-92.00000000001296,0,0,-2285.00000000011
HYP030_STYLE_RAW_NATIVE_BOTH,2024-11,23,1131.0000000000853,3644.0000000000337,2512.9999999999486,1.4500596896140503,1353.0000000000089,0.8359201773836495,0.5217391304347826,49.17391304348197,7.000000000005002,1,1,1131.0000000000855
HYP030_STYLE_RAW_NATIVE_BOTH,2024-12,18,638.9999999999816,2709.9999999999795,2070.999999999998,1.308546595847408,649.0000000000009,0.984591679506904,0.4444444444444444,35.49999999999898,-70.99999999999795,1,1,638.9999999999816
LONG_ONLY_DIAGNOSTIC,2023-01,9,-219.99999999997044,1633.0000000000098,1852.9999999999802,0.8812736103615905,1269.9999999999818,-0.17322834645667212,0.5555555555555556,-24.44444444444116,3.9999999999906777,0,0,-219.99999999997044
LONG_ONLY_DIAGNOSTIC,2023-02,12,2125.0000000001137,2495.00000000009,369.9999999999761,6.7432432432439215,359.9999999999852,5.902777777778336,0.8333333333333334,177.0833333333428,71.00000000001216,1,1,2125.0000000001137
LONG_ONLY_DIAGNOSTIC,2023-03,13,72.00000000000273,2690.0000000000264,2618.0000000000236,1.027501909854852,2123.000000000019,0.03391427225624215,0.5384615384615384,5.538461538461748,46.00000000002069,1,1,72.00000000000273
LONG_ONLY_DIAGNOSTIC,2023-04,13,908.0000000000155,2022.0000000000198,1114.0000000000043,1.8150807899461507,632.000000000005,1.4367088607595067,0.46153846153846156,69.84615384615503,-12.000000000000455,1,1,908.0000000000155
LONG_ONLY_DIAGNOSTIC,2023-05,10,-1303.0000000000541,159.9999999999966,1463.0000000000507,0.10936431989062956,1303.0000000000541,-1.0,0.2,-130.3000000000054,-64.00000000000716,0,0,-1303.0000000000541
LONG_ONLY_DIAGNOSTIC,2023-06,11,46.00000000002069,1554.000000000002,1507.9999999999814,1.030503978779855,757.000000000005,0.06076618229857383,0.45454545454545453,4.181818181820063,-12.000000000000455,1,1,46.00000000002069
LONG_ONLY_DIAGNOSTIC,2023-07,11,-1027.0000000000152,1222.0000000000084,2249.0000000000236,0.5433526011560674,1367.0000000000186,-0.7512801755669358,0.36363636363636365,-93.36363636363775,-169.9999999999875,0,0,-1027.0000000000152
LONG_ONLY_DIAGNOSTIC,2023-08,11,228.999999999985,1194.0000000000168,965.0000000000318,1.2373056994818419,729.0000000000134,0.314128943758547,0.5454545454545454,20.818181818180452,19.000000000005457,1,1,228.999999999985
LONG_ONLY_DIAGNOSTIC,2023-09,8,1716.0000000000082,2226.0000000000273,510.0000000000193,4.364705882352829,452.0000000000266,3.796460176990945,0.625,214.50000000000102,185.50000000000466,1,1,1716.0000000000082
LONG_ONLY_DIAGNOSTIC,2023-10,8,272.0000000000482,748.0000000000189,475.99999999997067,1.571428571428708,470.9999999999752,0.5774946921445064,0.625,34.000000000006025,28.500000000008185,1,1,272.0000000000482
LONG_ONLY_DIAGNOSTIC,2023-11,7,812.0000000000687,864.0000000000612,51.9999999999925,16.61538461538819,51.9999999999925,15.615384615388189,0.8571428571428571,116.0000000000098,76.00000000002183,1,1,812.0000000000687
LONG_ONLY_DIAGNOSTIC,2023-12,8,1542.0000000000016,1729.0000000000134,187.00000000001182,9.245989304812321,144.00000000000546,10.708333333332938,0.625,192.7500000000002,111.99999999999477,1,1,1542.0000000000016
LONG_ONLY_DIAGNOSTIC,2024-01,11,85.00000000003638,575.000000000017,489.9999999999807,1.1734693877551832,386.99999999997203,0.21963824289416672,0.5454545454545454,7.727272727276034,25.000000000005684,1,1,85.00000000003638
LONG_ONLY_DIAGNOSTIC,2024-02,11,1292.0000000000584,2132.000000000005,839.9999999999466,2.5380952380954054,750.9999999999479,1.7203728362185726,0.45454545454545453,117.45454545455077,-24.00000000000091,1,1,1292.0000000000584
LONG_ONLY_DIAGNOSTIC,2024-03,9,830.0000000000125,1134.000000000043,304.00000000003047,3.7302631578945045,304.00000000003047,2.7302631578945045,0.7777777777777778,92.2222222222236,61.00000000000705,1,1,830.0000000000125
LONG_ONLY_DIAGNOSTIC,2024-04,6,636.0000000000241,666.0000000000252,30.000000000001137,22.2,30.000000000001137,21.2,0.8333333333333334,106.00000000000402,43.500000000008754,1,1,636.0000000000241
LONG_ONLY_DIAGNOSTIC,2024-05,10,906.0000000000628,1489.0000000000612,582.9999999999984,2.5540308747857035,542.0000000000016,1.6715867158672695,0.8,90.60000000000628,67.99999999999784,1,1,906.0000000000628
LONG_ONLY_DIAGNOSTIC,2024-06,8,802.9999999999688,1007.9999999999814,205.0000000000125,4.9170731707313164,112.99999999999955,7.10619469026524,0.625,100.3749999999961,109.49999999999704,1,1,802.9999999999688
LONG_ONLY_DIAGNOSTIC,2024-07,12,205.0000000000125,1292.0000000000016,1086.999999999989,1.1885924563017614,855.9999999999945,0.23948598130842735,0.5,17.083333333334377,52.499999999994884,1,1,205.0000000000125
LONG_ONLY_DIAGNOSTIC,2024-08,5,276.9999999999868,1093.999999999994,817.0000000000073,1.3390452876376797,486.99999999999477,0.5687885010266731,0.4,55.39999999999736,-206.99999999999363,1,1,276.9999999999868
LONG_ONLY_DIAGNOSTIC,2024-09,14,1467.999999999961,2538.9999999999304,1070.9999999999695,2.3706816059757263,649.0000000000009,2.261941448382063,0.5,104.85714285714006,34.50000000000841,1,1,1467.999999999961
LONG_ONLY_DIAGNOSTIC,2024-10,11,60.999999999950205,1370.999999999981,1310.0000000000307,1.046564885496144,1219.9999999999989,0.04999999999995923,0.45454545454545453,5.545454545450019,-21.000000000015007,1,1,60.999999999950205
LONG_ONLY_DIAGNOSTIC,2024-11,11,383.0000000000666,2089.0000000000555,1705.9999999999889,1.2245017584994544,1496.0000000000093,0.2560160427807916,0.5454545454545454,34.818181818187874,7.000000000005002,1,1,383.0000000000666
LONG_ONLY_DIAGNOSTIC,2024-12,10,1057.9999999999927,1997.9999999999905,939.9999999999977,2.125531914893612,498.9999999999952,2.1202404809619297,0.6,105.79999999999927,35.99999999998715,1,1,1057.9999999999927
SHORT_ONLY_DIAGNOSTIC,2023-01,13,689.9999999999693,1712.0000000000175,1022.0000000000482,1.6751467710371202,510.0000000000193,1.3529411764704768,0.5384615384615384,53.076923076920714,4.000000000019099,1,1,689.9999999999693
SHORT_ONLY_DIAGNOSTIC,2023-02,10,-646.0000000000434,831.9999999999652,1478.0000000000086,0.5629228687415158,1317.0000000000073,-0.490508731966621,0.5,-64.60000000000434,3.4999999999882903,0,0,-646.0000000000434
SHORT_ONLY_DIAGNOSTIC,2023-03,15,-438.99999999999295,2218.999999999994,2657.9999999999873,0.8348382242287452,1422.9999999999734,-0.3085031623330999,0.5333333333333333,-29.266666666666197,44.999999999987494,0,0,-438.99999999999295
SHORT_ONLY_DIAGNOSTIC,2023-04,11,135.99999999996726,1684.9999999999739,1549.0000000000066,1.0877985797288359,966.9999999999845,0.14064115822127138,0.36363636363636365,12.363636363633388,-12.000000000000455,1,1,135.99999999996726
SHORT_ONLY_DIAGNOSTIC,2023-05,15,-1575.9999999999934,1343.0000000000462,2919.0000000000396,0.46008907159987256,1940.0000000000261,-0.8123711340206042,0.5333333333333333,-105.06666666666622,69.99999999999318,0,0,-1575.9999999999934
SHORT_ONLY_DIAGNOSTIC,2023-06,18,-203.00000000000296,1362.9999999999995,1566.0000000000025,0.8703703703703687,937.9999999999882,-0.21641791044776706,0.4444444444444444,-11.277777777777942,-14.999999999986358,0,0,-203.00000000000296
SHORT_ONLY_DIAGNOSTIC,2023-07,13,-498.0000000000189,2594.999999999999,3093.0000000000177,0.8389912706110522,2368.0000000000236,-0.2103040540540599,0.6153846153846154,-38.307692307693756,126.00000000000477,0,0,-498.0000000000189
