candidate_id,session,side_label,trades,net_jpy,gross_profit_jpy,gross_loss_jpy,pf,mdd_jpy,recovery_factor,win_rate,average_trade_jpy,median_trade_jpy,positive_folds,positive_months,minimum_fold_net_jpy
HYP030_STYLE_RAW_NATIVE_BOTH,LONDON,LONG,150,5287.000000000262,19895.00000000026,14608.000000000007,1.3619249726177607,2640.000000000043,2.0026515151515816,0.5266666666666666,35.24666666666841,15.000000000000568,4,13,501.0000000000332
HYP030_STYLE_RAW_NATIVE_BOTH,LONDON,SHORT,197,-10252.00000000015,14938.999999999907,25191.000000000062,0.5930292564804839,11493.00000000011,-0.8920212303141087,0.4010152284263959,-52.04060913705659,-32.00000000001069,0,7,-4485.000000000014
HYP030_STYLE_RAW_NATIVE_BOTH,LONDON_NY_OVERLAP,LONG,75,7450.000000000131,14627.000000000095,7176.999999999963,2.0380381775115186,1506.0000000000002,4.946879150066487,0.6133333333333333,99.33333333333508,51.00000000001614,4,17,707.0000000000505
HYP030_STYLE_RAW_NATIVE_BOTH,LONDON_NY_OVERLAP,SHORT,87,1735.9999999998192,12272.999999999884,10537.000000000062,1.1647527759324108,2427.000000000021,0.7152863617634134,0.4827586206896552,19.95402298850367,-5.000000000023874,2,13,-1533.0000000000155
HYP030_STYLE_RAW_NATIVE_BOTH,NEW_YORK,LONG,14,438.99999999996453,1402.0000000000152,963.0000000000507,1.4558670820352455,558.0000000000211,0.786738351254387,0.6428571428571429,31.357142857140325,31.00000000000591,3,8,-500.0000000000284
HYP030_STYLE_RAW_NATIVE_BOTH,NEW_YORK,SHORT,21,-136.99999999997203,1210.0000000000364,1347.0000000000084,0.8982925018559976,704.9999999999841,-0.1943262411347165,0.38095238095238093,-6.523809523808192,-18.000000000000682,2,5,-415.9999999999968
LONG_ONLY_DIAGNOSTIC,LONDON,LONG,150,5287.000000000262,19895.00000000026,14608.000000000007,1.3619249726177607,2640.000000000043,2.0026515151515816,0.5266666666666666,35.24666666666841,15.000000000000568,4,13,501.0000000000332
LONG_ONLY_DIAGNOSTIC,LONDON_NY_OVERLAP,LONG,75,7450.000000000131,14627.000000000095,7176.999999999963,2.0380381775115186,1506.0000000000002,4.946879150066487,0.6133333333333333,99.33333333333508,51.00000000001614,4,17,707.0000000000505
LONG_ONLY_DIAGNOSTIC,NEW_YORK,LONG,14,438.99999999996453,1402.0000000000152,963.0000000000507,1.4558670820352455,558.0000000000211,0.786738351254387,0.6428571428571429,31.357142857140325,31.00000000000591,3,8,-500.0000000000284
SHORT_ONLY_DIAGNOSTIC,LONDON,SHORT,197,-10252.00000000015,14938.999999999907,25191.000000000062,0.5930292564804839,11493.00000000011,-0.8920212303141087,0.4010152284263959,-52.04060913705659,-32.00000000001069,0,7,-4485.000000000014
SHORT_ONLY_DIAGNOSTIC,LONDON_NY_OVERLAP,SHORT,87,1735.9999999998192,12272.999999999884,10537.000000000062,1.1647527759324108,2427.000000000021,0.7152863617634134,0.4827586206896552,19.95402298850367,-5.000000000023874,2,13,-1533.0000000000155
SHORT_ONLY_DIAGNOSTIC,NEW_YORK,SHORT,21,-136.99999999997203,1210.0000000000364,1347.0000000000084,0.8982925018559976,704.9999999999841,-0.1943262411347165,0.38095238095238093,-6.523809523808192,-18.000000000000682,2,5,-415.9999999999968
R1_H4_SYMMETRIC_TRANSITION_BLOCK,LONDON,LONG,95,-55.999999999812644,9268.0000000002,9324.000000000013,0.9939939939940141,2584.999999999952,-0.02166344293996661,0.4842105263157895,-0.5894736842085542,-3.0000000000143245,2,14,-1701.9999999999698
R1_H4_SYMMETRIC_TRANSITION_BLOCK,LONDON,SHORT,72,-2120.000000000033,8045.999999999907,10165.99999999994,0.7914617351957461,4630.999999999973,-0.45778449578925623,0.3888888888888889,-29.444444444444905,-45.49999999998988,1,6,-1348.9999999999895
R1_H4_SYMMETRIC_TRANSITION_BLOCK,LONDON_NY_OVERLAP,LONG,45,2345.0000000001123,6673.000000000087,4327.9999999999745,1.5418207024029866,1936.999999999955,1.2106350025813974,0.6444444444444445,52.11111111111361,51.00000000001614,2,14,-1274.9999999999488
R1_H4_SYMMETRIC_TRANSITION_BLOCK,LONDON_NY_OVERLAP,SHORT,36,3815.9999999999736,8205.99999999996,4389.999999999986,1.8692482915717508,1217.999999999961,3.133004926108453,0.5833333333333334,105.99999999999926,83.5000000000008,2,11,-1217.999999999961
R1_H4_SYMMETRIC_TRANSITION_BLOCK,NEW_YORK,LONG,7,685.0000000000023,877.0000000000095,192.00000000000728,4.56770833333321,192.00000000000728,3.56770833333321,0.8571428571428571,97.85714285714319,61.00000000000705,4,6,4.9999999999954525
R1_H4_SYMMETRIC_TRANSITION_BLOCK,NEW_YORK,SHORT,8,171.0000000000207,593.0000000000177,421.99999999999704,1.405213270142232,275.99999999998204,0.6195652173914197,0.5,21.375000000002586,-3.0000000000001137,1,3,-207.9999999999984
R2_D1_SYMMETRIC_TRANSITION_BLOCK,LONDON,LONG,104,-2009.9999999998772,9611.000000000218,11621.000000000096,0.8270372601325306,3539.0000000000723,-0.567957050014082,0.4807692307692308,-19.326923076921897,-5.500000000012051,2,8,-2345.0000000000555
R2_D1_SYMMETRIC_TRANSITION_BLOCK,LONDON,SHORT,47,-4480.9999999999945,5100.999999999999,9581.999999999993,0.5323523272803176,4480.9999999999945,-1.0,0.425531914893617,-95.34042553191478,-55.999999999983174,0,2,-2127.000000000038
R2_D1_SYMMETRIC_TRANSITION_BLOCK,LONDON_NY_OVERLAP,LONG,52,5108.000000000175,8963.000000000136,3854.999999999962,2.325032425421589,1322.999999999979,3.8609221466366255,0.6346153846153846,98.2307692307726,43.500000000008754,3,12,-450.99999999993656
R2_D1_SYMMETRIC_TRANSITION_BLOCK,LONDON_NY_OVERLAP,SHORT,25,1939.9999999999409,5237.999999999971,3298.0000000000305,1.5882352941176237,1415.9999999999968,1.3700564971751026,0.6,77.59999999999764,58.9999999999975,2,5,-992.999999999995
R2_D1_SYMMETRIC_TRANSITION_BLOCK,NEW_YORK,LONG,5,302.0000000000209,355.0000000000182,52.99999999999727,6.698113207547858,52.99999999999727,5.698113207547858,0.8,60.400000000004184,37.00000000000614,3,3,4.9999999999954525
R2_D1_SYMMETRIC_TRANSITION_BLOCK,NEW_YORK,SHORT,6,126.0000000000332,587.0000000000175,460.9999999999843,1.2733188720174349,353.999999999985,0.35593220338993936,0.5,21.00000000000553,-46.49999999999466,1,2,-353.999999999985
