signal_utc,canonical_side,opportunity_id,raw_side,event_id,schedule_class
2023-04-14 11:45:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-04-14T12:00:00+00:00|-1,-1.0,RAW|2023-04-14|2023-04-14T11:45:00Z|-1,common_intersection
2023-04-18 08:15:00+00:00,1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-04-18T08:30:00+00:00|1,1.0,RAW|2023-04-18|2023-04-18T08:15:00Z|1,common_intersection
2023-04-19 07:45:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-04-19T08:00:00+00:00|-1,-1.0,RAW|2023-04-19|2023-04-19T07:45:00Z|-1,common_intersection
2023-04-21 10:30:00+00:00,1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-04-21T10:45:00+00:00|1,1.0,RAW|2023-04-21|2023-04-21T10:30:00Z|1,common_intersection
2023-04-21 16:00:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-04-21T16:15:00+00:00|-1,-1.0,RAW|2023-04-21|2023-04-21T16:00:00Z|-1,common_intersection
2023-04-24 14:30:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-04-24T14:45:00+00:00|-1,-1.0,RAW|2023-04-24|2023-04-24T14:30:00Z|-1,common_intersection
2023-04-25 10:30:00+00:00,1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-04-25T10:45:00+00:00|1,1.0,RAW|2023-04-25|2023-04-25T10:30:00Z|1,common_intersection
2023-04-26 07:45:00+00:00,1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-04-26T08:00:00+00:00|1,1.0,RAW|2023-04-26|2023-04-26T07:45:00Z|1,common_intersection
2023-04-26 11:30:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-04-26T11:45:00+00:00|-1,,,canonical_only
2023-04-26 11:45:00+00:00,,,-1.0,RAW|2023-04-26|2023-04-26T11:45:00Z|-1,raw_only
2023-04-27 08:15:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-04-27T08:30:00+00:00|-1,-1.0,RAW|2023-04-27|2023-04-27T08:15:00Z|-1,common_intersection
2023-04-27 12:30:00+00:00,1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-04-27T12:45:00+00:00|1,1.0,RAW|2023-04-27|2023-04-27T12:30:00Z|1,common_intersection
2023-04-28 07:15:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-04-28T07:30:00+00:00|-1,-1.0,RAW|2023-04-28|2023-04-28T07:15:00Z|-1,common_intersection
2023-05-02 11:00:00+00:00,1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-05-02T11:15:00+00:00|1,1.0,RAW|2023-05-02|2023-05-02T11:00:00Z|1,common_intersection
2023-05-03 07:15:00+00:00,1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-05-03T07:30:00+00:00|1,1.0,RAW|2023-05-03|2023-05-03T07:15:00Z|1,common_intersection
2023-05-04 08:00:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-05-04T08:15:00+00:00|-1,-1.0,RAW|2023-05-04|2023-05-04T08:00:00Z|-1,common_intersection
2023-05-04 14:00:00+00:00,1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-05-04T14:15:00+00:00|1,1.0,RAW|2023-05-04|2023-05-04T14:00:00Z|1,common_intersection
2023-05-05 10:30:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-05-05T10:45:00+00:00|-1,-1.0,RAW|2023-05-05|2023-05-05T10:30:00Z|-1,common_intersection
2023-05-08 11:45:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-05-08T12:00:00+00:00|-1,-1.0,RAW|2023-05-08|2023-05-08T11:45:00Z|-1,common_intersection
2023-05-09 13:15:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-05-09T13:30:00+00:00|-1,-1.0,RAW|2023-05-09|2023-05-09T13:15:00Z|-1,common_intersection
2023-05-11 11:00:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-05-11T11:15:00+00:00|-1,-1.0,RAW|2023-05-11|2023-05-11T11:00:00Z|-1,common_intersection
2023-05-12 07:00:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-05-12T07:15:00+00:00|-1,-1.0,RAW|2023-05-12|2023-05-12T07:00:00Z|-1,common_intersection
2023-05-15 09:45:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-05-15T10:00:00+00:00|-1,-1.0,RAW|2023-05-15|2023-05-15T09:45:00Z|-1,common_intersection
2023-05-16 07:00:00+00:00,1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-05-16T07:15:00+00:00|1,1.0,RAW|2023-05-16|2023-05-16T07:00:00Z|1,common_intersection
2023-05-16 12:30:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-05-16T12:45:00+00:00|-1,,,canonical_only
2023-05-16 12:45:00+00:00,,,-1.0,RAW|2023-05-16|2023-05-16T12:45:00Z|-1,raw_only
2023-05-17 07:15:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-05-17T07:30:00+00:00|-1,-1.0,RAW|2023-05-17|2023-05-17T07:15:00Z|-1,common_intersection
2023-05-18 10:00:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-05-18T10:15:00+00:00|-1,-1.0,RAW|2023-05-18|2023-05-18T10:00:00Z|-1,common_intersection
2023-05-19 07:00:00+00:00,1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-05-19T07:15:00+00:00|1,1.0,RAW|2023-05-19|2023-05-19T07:00:00Z|1,common_intersection
2023-05-23 07:30:00+00:00,1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-05-23T07:45:00+00:00|1,1.0,RAW|2023-05-23|2023-05-23T07:30:00Z|1,common_intersection
2023-05-23 12:45:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-05-23T13:00:00+00:00|-1,-1.0,RAW|2023-05-23|2023-05-23T12:45:00Z|-1,common_intersection
2023-05-24 07:00:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-05-24T07:15:00+00:00|-1,-1.0,RAW|2023-05-24|2023-05-24T07:00:00Z|-1,common_intersection
2023-05-25 12:30:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-05-25T12:45:00+00:00|-1,,,canonical_only
2023-05-25 13:00:00+00:00,,,-1.0,RAW|2023-05-25|2023-05-25T13:00:00Z|-1,raw_only
2023-05-26 07:30:00+00:00,1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-05-26T07:45:00+00:00|1,1.0,RAW|2023-05-26|2023-05-26T07:30:00Z|1,common_intersection
2023-05-26 12:45:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-05-26T13:00:00+00:00|-1,-1.0,RAW|2023-05-26|2023-05-26T12:45:00Z|-1,common_intersection
2023-05-29 09:30:00+00:00,1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-05-29T09:45:00+00:00|1,1.0,RAW|2023-05-29|2023-05-29T09:30:00Z|1,common_intersection
2023-05-30 11:15:00+00:00,1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-05-30T11:30:00+00:00|1,1.0,RAW|2023-05-30|2023-05-30T11:15:00Z|1,common_intersection
2023-05-31 09:15:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-05-31T09:30:00+00:00|-1,-1.0,RAW|2023-05-31|2023-05-31T09:15:00Z|-1,common_intersection
2023-05-31 18:00:00+00:00,1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-05-31T18:15:00+00:00|1,1.0,RAW|2023-05-31|2023-05-31T18:00:00Z|1,common_intersection
2023-06-01 09:45:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-06-01T10:00:00+00:00|-1,-1.0,RAW|2023-06-01|2023-06-01T09:45:00Z|-1,common_intersection
2023-06-01 13:15:00+00:00,1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-06-01T13:30:00+00:00|1,1.0,RAW|2023-06-01|2023-06-01T13:15:00Z|1,common_intersection
2023-06-02 08:00:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-06-02T08:15:00+00:00|-1,-1.0,RAW|2023-06-02|2023-06-02T08:00:00Z|-1,common_intersection
2023-06-05 08:00:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-06-05T08:15:00+00:00|-1,-1.0,RAW|2023-06-05|2023-06-05T08:00:00Z|-1,common_intersection
