timestamp,timeframe,bucket_start_server,information_time,completed_information_time,close,partial_bar_exclusion,missing_history_flag,source,timezone,future_bar_access,fast_value,slow_value,slope,raw_state,previous_raw_state,state,state_start,state_duration_hours,last_state_change
2023-01-02 00:00:00+00:00,H4,2023-01-02 00:00:00+00:00,2023-01-02 02:00:00+00:00,2023-01-02 02:00:00+00:00,130.919,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,130.919,130.919,0.0,Neutral,Neutral,Neutral,,,
2023-01-02 04:00:00+00:00,H4,2023-01-02 04:00:00+00:00,2023-01-02 06:00:00+00:00,2023-01-02 06:00:00+00:00,130.916,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,130.91814285714287,130.91876000000002,-0.06171428571519755,Neutral,Neutral,Neutral,,,
2023-01-02 08:00:00+00:00,H4,2023-01-02 08:00:00+00:00,2023-01-02 10:00:00+00:00,2023-01-02 10:00:00+00:00,130.867,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,130.9035306122449,130.91461920000003,-1.1088587755125445,Neutral,Neutral,Neutral,,,
2023-01-02 12:00:00+00:00,H4,2023-01-02 12:00:00+00:00,2023-01-02 14:00:00+00:00,2023-01-02 14:00:00+00:00,130.642,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,130.82880758017492,130.89280966400003,-6.400208382510186,Neutral,Neutral,Neutral,,,
2023-01-02 16:00:00+00:00,H4,2023-01-02 16:00:00+00:00,2023-01-02 18:00:00+00:00,2023-01-02 18:00:00+00:00,130.767,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,130.81114827155352,130.88274489088002,-7.159661932649897,Neutral,Neutral,Neutral,,,
2023-01-02 20:00:00+00:00,H4,2023-01-02 20:00:00+00:00,2023-01-02 22:00:00+00:00,2023-01-02 22:00:00+00:00,130.608,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,130.7531059082525,130.86076529960962,-10.765939135711733,Neutral,Neutral,Neutral,,,
2023-01-03 00:00:00+00:00,H4,2023-01-03 00:00:00+00:00,2023-01-03 02:00:00+00:00,2023-01-03 02:00:00+00:00,130.148,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,130.58021850589466,130.80374407564088,-22.352556974621507,Neutral,Neutral,Neutral,,,
2023-01-03 04:00:00+00:00,H4,2023-01-03 04:00:00+00:00,2023-01-03 06:00:00+00:00,2023-01-03 06:00:00+00:00,129.813,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,130.36101321849617,130.72448454958962,-36.34713310934501,Neutral,Neutral,Neutral,,,
2023-01-03 08:00:00+00:00,H4,2023-01-03 08:00:00+00:00,2023-01-03 10:00:00+00:00,2023-01-03 10:00:00+00:00,130.416,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,130.37672372749725,130.69980578562246,-32.308205812520896,Neutral,Neutral,Neutral,,,
2023-01-03 12:00:00+00:00,H4,2023-01-03 12:00:00+00:00,2023-01-03 14:00:00+00:00,2023-01-03 14:00:00+00:00,130.654,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,130.4559455196409,130.69614132277266,-24.019580313176903,Neutral,Neutral,Neutral,,,
2023-01-03 16:00:00+00:00,H4,2023-01-03 16:00:00+00:00,2023-01-03 18:00:00+00:00,2023-01-03 18:00:00+00:00,130.792,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,130.55196108545778,130.70381001695085,-15.184893149307754,Neutral,Neutral,Neutral,,,
2023-01-03 20:00:00+00:00,H4,2023-01-03 20:00:00+00:00,2023-01-03 22:00:00+00:00,2023-01-03 22:00:00+00:00,131.007,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,130.6819722038984,130.7280652155948,-4.609301169639934,Neutral,Neutral,Neutral,,,
2023-01-04 00:00:00+00:00,H4,2023-01-04 00:00:00+00:00,2023-01-04 02:00:00+00:00,2023-01-04 02:00:00+00:00,130.642,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,130.67055157421314,130.72117999834722,-5.06284241340893,Neutral,Neutral,Neutral,,,
2023-01-04 04:00:00+00:00,H4,2023-01-04 04:00:00+00:00,2023-01-04 06:00:00+00:00,2023-01-04 06:00:00+00:00,130.848,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,130.72125112443797,130.73132559847946,-1.0074474041488202,Neutral,Neutral,Neutral,,,
2023-01-04 08:00:00+00:00,H4,2023-01-04 08:00:00+00:00,2023-01-04 10:00:00+00:00,2023-01-04 10:00:00+00:00,130.418,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,130.63460794602713,130.70625955060112,-7.165160457398656,Neutral,Neutral,Neutral,,,
2023-01-04 12:00:00+00:00,H4,2023-01-04 12:00:00+00:00,2023-01-04 14:00:00+00:00,2023-01-04 14:00:00+00:00,130.708,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,130.65557710430508,130.70639878655302,-5.082168224794259,Neutral,Neutral,Neutral,,,
2023-01-04 16:00:00+00:00,H4,2023-01-04 16:00:00+00:00,2023-01-04 18:00:00+00:00,2023-01-04 18:00:00+00:00,132.55,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,131.19684078878936,130.8538868836288,34.29539051605559,Neutral,Neutral,Neutral,,,
2023-01-04 20:00:00+00:00,H4,2023-01-04 20:00:00+00:00,2023-01-04 22:00:00+00:00,2023-01-04 22:00:00+00:00,132.611,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,131.60088627770668,130.9944559329385,60.64303447681709,Neutral,Neutral,Neutral,,,
2023-01-05 00:00:00+00:00,H4,2023-01-05 00:00:00+00:00,2023-01-05 02:00:00+00:00,2023-01-05 02:00:00+00:00,131.969,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,131.70606162693335,131.07241945830344,63.364216862990475,Neutral,Neutral,Neutral,,,
2023-01-05 04:00:00+00:00,H4,2023-01-05 04:00:00+00:00,2023-01-05 06:00:00+00:00,2023-01-05 06:00:00+00:00,132.481,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,131.92747259066667,131.18510590163916,74.23666890275058,Neutral,Neutral,Neutral,,,
2023-01-05 08:00:00+00:00,H4,2023-01-05 08:00:00+00:00,2023-01-05 10:00:00+00:00,2023-01-05 10:00:00+00:00,132.531,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,132.09990899333332,131.29277742950802,80.7131563825294,Neutral,Neutral,Neutral,,,
2023-01-05 12:00:00+00:00,H4,2023-01-05 12:00:00+00:00,2023-01-05 14:00:00+00:00,2023-01-05 14:00:00+00:00,133.685,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,132.5527921380952,131.4841552351474,106.86369029478158,Neutral,Neutral,Neutral,,,
2023-01-05 16:00:00+00:00,H4,2023-01-05 16:00:00+00:00,2023-01-05 18:00:00+00:00,2023-01-05 18:00:00+00:00,133.245,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,132.75056581292515,131.62502281633562,112.55429965895303,Neutral,Neutral,Neutral,,,
2023-01-05 20:00:00+00:00,H4,2023-01-05 20:00:00+00:00,2023-01-05 22:00:00+00:00,2023-01-05 22:00:00+00:00,133.399,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,132.93583272351796,131.76694099102878,116.88917324891861,Up,Neutral,Transition,2023-01-05 22:00:00+00:00,0.0,2023-01-05 22:00:00+00:00
2023-01-06 00:00:00+00:00,H4,2023-01-06 00:00:00+00:00,2023-01-06 02:00:00+00:00,2023-01-06 02:00:00+00:00,133.804,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,133.18388051679855,131.92990571174647,125.39748050520814,Up,Up,Up,2023-01-05 22:00:00+00:00,4.0,2023-01-05 22:00:00+00:00
2023-01-06 04:00:00+00:00,H4,2023-01-06 04:00:00+00:00,2023-01-06 06:00:00+00:00,2023-01-06 06:00:00+00:00,134.155,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,133.46134322628467,132.10791325480676,135.3429971477908,Up,Up,Up,2023-01-05 22:00:00+00:00,8.0,2023-01-05 22:00:00+00:00
2023-01-06 08:00:00+00:00,H4,2023-01-06 08:00:00+00:00,2023-01-06 10:00:00+00:00,2023-01-06 10:00:00+00:00,134.41,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,133.73238801877477,132.29208019442223,144.03078243525442,Up,Up,Up,2023-01-05 22:00:00+00:00,12.0,2023-01-05 22:00:00+00:00
2023-01-06 12:00:00+00:00,H4,2023-01-06 12:00:00+00:00,2023-01-06 14:00:00+00:00,2023-01-06 14:00:00+00:00,133.371,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,133.62913429912484,132.37839377886846,125.0740520256386,Up,Up,Up,2023-01-05 22:00:00+00:00,16.0,2023-01-05 22:00:00+00:00
2023-01-06 16:00:00+00:00,H4,2023-01-06 16:00:00+00:00,2023-01-06 18:00:00+00:00,2023-01-06 18:00:00+00:00,132.107,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,133.19423878508917,132.35668227655898,83.75565085301844,Up,Up,Up,2023-01-05 22:00:00+00:00,20.0,2023-01-05 22:00:00+00:00
2023-01-06 20:00:00+00:00,H4,2023-01-06 20:00:00+00:00,2023-01-06 22:00:00+00:00,2023-01-06 22:00:00+00:00,132.03,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,132.86159913220655,132.33054769443427,53.10514377722768,Up,Up,Up,2023-01-05 22:00:00+00:00,24.0,2023-01-05 22:00:00+00:00
2023-01-09 00:00:00+00:00,H4,2023-01-09 00:00:00+00:00,2023-01-09 02:00:00+00:00,2023-01-09 02:00:00+00:00,131.74,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,132.5411422372904,132.28330387887954,25.78383584108508,Up,Up,Up,2023-01-05 22:00:00+00:00,76.0,2023-01-05 22:00:00+00:00
2023-01-09 04:00:00+00:00,H4,2023-01-09 04:00:00+00:00,2023-01-09 06:00:00+00:00,2023-01-09 06:00:00+00:00,131.843,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,132.341673026636,132.24807956856918,9.359345806680608,Up,Up,Up,2023-01-05 22:00:00+00:00,80.0,2023-01-05 22:00:00+00:00
2023-01-09 08:00:00+00:00,H4,2023-01-09 08:00:00+00:00,2023-01-09 10:00:00+00:00,2023-01-09 10:00:00+00:00,132.44,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,132.36976644759713,132.26343320308365,10.633324451347903,Up,Up,Up,2023-01-05 22:00:00+00:00,84.0,2023-01-05 22:00:00+00:00
2023-01-09 12:00:00+00:00,H4,2023-01-09 12:00:00+00:00,2023-01-09 14:00:00+00:00,2023-01-09 14:00:00+00:00,131.781,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,132.20154746256938,132.22483854683696,-2.329108426758353,Down,Up,Transition,2023-01-09 14:00:00+00:00,0.0,2023-01-09 14:00:00+00:00
2023-01-09 16:00:00+00:00,H4,2023-01-09 16:00:00+00:00,2023-01-09 18:00:00+00:00,2023-01-09 18:00:00+00:00,131.761,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,132.07567675897812,132.18773146309002,-11.205470411189822,Down,Down,Down,2023-01-09 14:00:00+00:00,4.0,2023-01-09 14:00:00+00:00
