candidate_id,fold,trades,net_jpy,gross_profit_jpy,gross_loss_jpy,pf,mdd_jpy,recovery_factor,win_rate,average_trade_jpy,median_trade_jpy,positive_folds,positive_months,minimum_fold_net_jpy
HYP030_STYLE_RAW_NATIVE_BOTH,2023H1,150,-409.9999999999677,19708.000000000142,20118.000000000106,0.9796202405805765,4291.000000000026,-0.09554882311814616,0.5,-2.733333333333118,-1.4210854715202004e-11,0,3,-409.99999999996817
HYP030_STYLE_RAW_NATIVE_BOTH,2023H2,131,866.0000000000146,15020.000000000124,14154.000000000113,1.0611841175639398,5086.000000000069,0.1702713330711763,0.4732824427480916,6.6106870229008745,-6.000000000000227,1,4,866.0000000000139
HYP030_STYLE_RAW_NATIVE_BOTH,2024H1,134,619.0000000001419,10363.000000000113,9743.99999999997,1.0635262725780115,3343.9999999999095,0.1851076555024398,0.47761194029850745,4.619402985075686,-6.000000000000227,1,4,619.0000000001419
HYP030_STYLE_RAW_NATIVE_BOTH,2024H2,129,3447.9999999998654,19254.99999999982,15806.99999999996,1.2181312076927862,4089.0000000000555,0.8432379554902956,0.4806201550387597,26.728682170541592,-11.999999999972033,1,5,3447.9999999998654
LONG_ONLY_DIAGNOSTIC,2023H1,68,1628.000000000128,10554.000000000142,8926.000000000015,1.182388527896048,2531.0000000000337,0.6432240221256841,0.5147058823529411,23.94117647059012,6.500000000002615,1,4,1628.000000000128
LONG_ONLY_DIAGNOSTIC,2023H2,53,3544.0000000000964,7983.000000000146,4439.00000000005,1.7983780130660185,1367.0000000000186,2.5925384052670433,0.5849056603773585,66.8679245283037,40.000000000020464,1,5,3544.0000000000964
LONG_ONLY_DIAGNOSTIC,2024H1,55,4552.000000000163,7004.000000000133,2451.99999999997,2.8564437194128134,911.9999999999777,4.991228070175739,0.6545454545454545,82.76363636363932,52.00000000002092,1,6,4552.000000000163
LONG_ONLY_DIAGNOSTIC,2024H2,63,3451.9999999999695,10382.999999999953,6930.999999999982,1.498052229115565,1937.0000000000114,1.7821373257614606,0.5079365079365079,54.79365079365031,7.000000000005002,1,6,3451.99999999997
SHORT_ONLY_DIAGNOSTIC,2023H1,82,-2038.0000000000962,9153.999999999996,11192.000000000091,0.8179056468906292,3089.0000000000555,-0.6597604402719519,0.4878048780487805,-24.85365853658654,-7.000000000005002,0,2,-2038.0000000000962
SHORT_ONLY_DIAGNOSTIC,2023H2,78,-2678.000000000082,7036.999999999977,9715.00000000006,0.7243437982501219,5145.000000000095,-0.5205053449951472,0.3974358974358974,-34.33333333333438,-20.999999999986585,0,2,-2678.0000000000828
SHORT_ONLY_DIAGNOSTIC,2024H1,79,-3933.000000000021,3358.99999999998,7292.000000000002,0.46064179923203225,4952.000000000026,-0.7942245557350566,0.35443037974683544,-49.78481012658254,-33.999999999991815,0,2,-3933.000000000021
SHORT_ONLY_DIAGNOSTIC,2024H2,66,-4.000000000104592,8871.999999999873,8875.999999999976,0.9995493465524894,4126.000000000034,-0.0009694619486438583,0.45454545454545453,-0.06060606060764533,-35.49999999999898,0,4,-4.0000000001043645
R1_H4_SYMMETRIC_TRANSITION_BLOCK,2023H1,73,-4585.999999999956,7671.000000000077,12257.000000000033,0.6258464550868937,4854.99999999996,-0.9445932028836239,0.4383561643835616,-62.82191780821858,-14.999999999986358,0,2,-4585.999999999956
R1_H4_SYMMETRIC_TRANSITION_BLOCK,2023H2,63,2096.000000000088,7806.000000000097,5710.000000000008,1.367075306479875,1121.0000000000093,1.8697591436218295,0.5238095238095238,33.26984126984267,6.000000000000227,1,5,2096.000000000089
R1_H4_SYMMETRIC_TRANSITION_BLOCK,2024H1,63,2762.0000000002565,6753.000000000128,3990.9999999998718,1.6920571285392998,1330.999999999932,2.0751314800904566,0.5555555555555556,43.84126984127391,28.999999999996362,1,5,2762.0000000002565
R1_H4_SYMMETRIC_TRANSITION_BLOCK,2024H2,64,4568.9999999998745,11432.99999999988,6864.000000000004,1.6656468531468347,1366.0000000000139,3.3448023426060236,0.53125,71.39062499999804,22.999999999996135,1,5,4568.9999999998745
R2_D1_SYMMETRIC_TRANSITION_BLOCK,2023H1,54,-3227.0000000000045,4151.000000000068,7378.000000000072,0.5626185958254307,4606.00000000008,-0.7006079027355511,0.42592592592592593,-59.759259259259345,-15.500000000002956,0,2,-3227.0000000000036
R2_D1_SYMMETRIC_TRANSITION_BLOCK,2023H2,63,509.00000000010004,8375.000000000116,7866.000000000013,1.0647088736333719,3250.000000000028,0.15661538461541405,0.5714285714285714,8.079365079366667,30.000000000001137,1,5,509.0000000000998
R2_D1_SYMMETRIC_TRANSITION_BLOCK,2024H1,59,2219.000000000221,6616.000000000156,4396.9999999999345,1.504662269729419,2333.9999999999463,0.9507283633248809,0.5932203389830508,37.61016949152917,36.000000000001364,1,4,2219.0000000002215
R2_D1_SYMMETRIC_TRANSITION_BLOCK,2024H2,63,1483.9999999999804,10713.000000000024,9229.000000000042,1.1607974861848493,2527.0000000000437,0.5872576177285139,0.49206349206349204,23.555555555555244,-3.0000000000143245,1,4,1483.9999999999804
