date,signal_utc,side_label,raw_signal_side,asian_high,raw_asian_high,asian_high_diff_pips,asian_low,raw_asian_low,asian_low_diff_pips,signal_high,raw_signal_high,signal_high_diff_pips,signal_low,raw_signal_low,signal_low_diff_pips,signal_close,raw_signal_close,signal_close_diff_pips,sweep_depth_pips,close_back_inside_depth_pips,pnl_jpy,mismatch_cause
2023-01-19,2023-01-19 11:30:00+00:00,SHORT,0,128.694,128.69,-0.39999999999906777,127.761,127.757,-0.39999999999906777,128.718,128.719,0.10000000000047748,128.573,128.568,-0.49999999999954525,128.692,128.691,-0.10000000000047748,2.400000000000091,0.1999999999981128,332.9999999999984,RAW_CLOSE_NOT_BACK_INSIDE_HIGH
2023-02-22,2023-02-22 12:15:00+00:00,LONG,0,135.06,135.061,0.10000000000047748,134.549,134.549,0.0,134.717,134.713,-0.40000000000190994,134.506,134.504,-0.20000000000095497,134.551,134.547,-0.39999999999906777,4.300000000000637,0.1999999999981128,73.0000000000075,RAW_CLOSE_NOT_BACK_INSIDE_LOW
2023-02-28,2023-02-28 15:00:00+00:00,SHORT,0,136.374,136.371,-0.2999999999985903,136.11,136.11,0.0,136.727,136.71,-1.6999999999995907,136.365,136.367,0.1999999999981128,136.373,136.375,0.20000000000095497,35.300000000000864,0.1000000000004774,520.9999999999866,RAW_CLOSE_NOT_BACK_INSIDE_HIGH
2023-03-13,2023-03-13 10:00:00+00:00,LONG,0,134.829,134.968,13.899999999998158,133.682,133.681,-0.09999999999763531,133.803,133.556,-24.699999999998568,133.549,133.12,-42.900000000000205,133.693,133.511,-18.200000000001637,13.299999999998136,1.1000000000024102,-917.0000000000016,RAW_CLOSE_NOT_BACK_INSIDE_LOW
2023-03-14,2023-03-14 09:45:00+00:00,SHORT,0,134.03,134.028,-0.20000000000095497,133.187,133.025,-16.200000000000614,134.112,134.222,11.000000000001364,133.933,134.095,16.200000000000614,133.963,134.218,25.499999999999545,8.199999999999363,6.700000000000728,155.00000000000114,RAW_CLOSE_NOT_BACK_INSIDE_HIGH
2023-03-15,2023-03-15 07:15:00+00:00,SHORT,0,135.061,134.834,-22.700000000000387,134.03,134.028,-0.20000000000095497,135.113,134.887,-22.59999999999991,134.915,134.634,-28.10000000000059,134.976,134.868,-10.80000000000041,5.19999999999925,8.500000000000796,1127.0000000000095,RAW_CLOSE_NOT_BACK_INSIDE_HIGH
2023-03-16,2023-03-16 13:45:00+00:00,LONG,0,133.491,133.492,0.09999999999763531,132.561,132.499,-6.200000000001182,132.87,132.39,-48.00000000000182,131.927,131.959,3.2000000000010687,132.62,132.352,-26.800000000000068,63.400000000001455,5.89999999999975,1082.9999999999984,RAW_CLOSE_NOT_BACK_INSIDE_LOW
2023-03-16,2023-03-16 18:00:00+00:00,SHORT,0,133.491,133.492,0.09999999999763531,132.561,132.499,-6.200000000001182,133.554,133.68,12.600000000000477,133.47,133.509,3.8999999999987267,133.486,133.519,3.300000000001546,6.299999999998818,0.5000000000023874,-215.0000000000034,RAW_CLOSE_NOT_BACK_INSIDE_HIGH
2023-03-21,2023-03-21 13:30:00+00:00,SHORT,0,131.899,131.72,-17.900000000000205,131.029,131.029,0.0,131.988,132.315,32.69999999999982,131.852,132.129,27.69999999999868,131.878,132.296,41.80000000000064,8.899999999999864,2.1000000000015007,-7.000000000005002,RAW_CLOSE_NOT_BACK_INSIDE_HIGH
2023-03-22,2023-03-22 12:00:00+00:00,SHORT,0,132.778,132.774,-0.39999999999906777,132.251,132.252,0.10000000000047748,132.794,132.985,19.10000000000025,132.687,132.884,19.69999999999743,132.717,132.966,24.899999999999523,1.6000000000019554,6.099999999997863,358.99999999998045,RAW_CLOSE_NOT_BACK_INSIDE_HIGH
