candidate_id,total_trades,allowed,blocked,trades,net_jpy,gross_profit_jpy,gross_loss_jpy,pf,mdd_jpy,recovery_factor,win_rate,average_trade_jpy,median_trade_jpy,positive_folds,positive_months,minimum_fold_net_jpy,long_contribution_jpy,short_contribution_jpy,up_contribution_jpy,down_contribution_jpy,neutral_contribution_jpy,transition_contribution_jpy,max_side_positive_net_share,max_regime_positive_net_share,blocked_winner_damage_jpy,avoided_loser_benefit_jpy,all_development_gates_passed,failed_gates
HYP030_STYLE_RAW_NATIVE_BOTH,544,544,0,544,4523.000000000054,64346.000000000204,59823.00000000015,1.0756063721311209,7781.000000000149,0.5812877522169344,0.4834558823529412,8.314338235294215,-6.000000000000227,3,16,-409.99999999996817,13176.000000000357,-8653.000000000304,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.0,,
LONG_ONLY_DIAGNOSTIC,544,239,305,239,13176.000000000357,35924.00000000038,22748.000000000022,1.5792157552312442,2916.0000000000528,4.518518518518559,0.5606694560669456,55.129707112972206,28.999999999996362,4,21,1628.000000000128,13176.000000000357,0.0,0.0,0.0,0.0,0.0,1.0,1.0,28421.999999999825,37075.00000000013,,
SHORT_ONLY_DIAGNOSTIC,544,305,239,305,-8653.000000000304,28421.999999999825,37075.00000000013,0.7666082265677606,10640.000000000218,-0.8132518796992599,0.42295081967213116,-28.370491803279684,-21.99999999999136,0,10,-3933.000000000021,0.0,-8653.000000000304,0.0,0.0,0.0,0.0,1.0,1.0,35924.00000000038,22748.000000000022,,
R1_H4_SYMMETRIC_TRANSITION_BLOCK,544,263,281,263,4841.0000000002665,33663.00000000018,28821.999999999916,1.1679619734924807,4854.99999999996,0.9971163748713299,0.5095057034220533,18.40684410646489,6.000000000000227,3,17,-4585.999999999956,2974.000000000302,1866.9999999999618,2974.000000000302,1866.9999999999618,0.0,0.0,0.6143358810163478,0.6143358810163478,30683.000000000022,31001.000000000233,False,source_native_signal_identity_complete;minimum_fold_net;top5_winner_removal_positive
R2_D1_SYMMETRIC_TRANSITION_BLOCK,544,239,305,239,985.0000000002965,29855.000000000357,28870.000000000062,1.0341184620713644,6874.000000000109,0.14329356997385523,0.5230125523012552,4.121338912135132,10.99999999999568,3,15,-3227.0000000000036,3400.0000000003183,-2415.0000000000205,3400.0000000003183,-2415.0000000000205,0.0,0.0,1.0,1.0,34490.99999999985,30953.000000000087,False,source_native_signal_identity_complete;pf_at_least_1p05;minimum_fold_net;aligned_short_nonnegative;maximum_side_dependency;maximum_regime_dependency;spread_plus_1pip_nonnegative;entry_delay_5s_positive;top5_winner_removal_positive
