path,name,classification,sha256,bytes,contents_write,direct_git_write
.github/workflows/dispatch_usdjpy_csos_remaining_family_atlas_publication_v2.yml,dispatch_usdjpy_csos_remaining_family_atlas_publication_v2.yml,LEGACY_SUPERSEDED,6d988170f0d574e6b77d8f15e2a79e8d390a1906fd6ab1c65ff9f994f4543fbd,2869,False,False
.github/workflows/dispatch_usdjpy_structural_sl_policy_regime_v3.yml,dispatch_usdjpy_structural_sl_policy_regime_v3.yml,LEGACY_SUPERSEDED,c6c0bd823fe5b979937def2644c109fb4314f4a7595bdce766c885fb943156b9,2398,False,False
.github/workflows/evaluate_f05_failed_reclaim_stage2b_ordered_tick_v1.yml,evaluate_f05_failed_reclaim_stage2b_ordered_tick_v1.yml,UNKNOWN_REQUIRES_REVIEW,b85c4496648e1466ca0f5e950ee8b83001c1585d7208ad5da5572667f069d90a,5413,False,False
.github/workflows/evaluate_usdjpy_b02_f05_all_loss_structural_sl_v1.yml,evaluate_usdjpy_b02_f05_all_loss_structural_sl_v1.yml,UNKNOWN_REQUIRES_REVIEW,b22cfad49cebb5a3da9266148fb326eb4ad0a872b02ba87574a7a2859c842e8c,11224,True,False
.github/workflows/evaluate_usdjpy_b02_f05_all_loss_structural_sl_v2.yml,evaluate_usdjpy_b02_f05_all_loss_structural_sl_v2.yml,LEGACY_SUPERSEDED,b48241b648da4f2d3fd03e8ab9f1d1579a107e7a8e410e1ac2ffb80f5fbf2211,9530,True,False
.github/workflows/evaluate_usdjpy_b02_f05_all_loss_structural_sl_v4.yml,evaluate_usdjpy_b02_f05_all_loss_structural_sl_v4.yml,LEGACY_SUPERSEDED,9be175f5c881edfeba74a27a58965af9ae6b21b177f4e52d3ffd67157fc51fe1,5882,False,False
.github/workflows/evaluate_usdjpy_b02_f05_structural_sl_atlas_v2.yml,evaluate_usdjpy_b02_f05_structural_sl_atlas_v2.yml,LEGACY_SUPERSEDED,c5c96c1148e6eef7f0b7c5ad05c84669852ca315d0fa5d09a4a8296be50d6064,10827,True,False
.github/workflows/evaluate_usdjpy_b02_f05_structural_sl_policy_regime_v3.yml,evaluate_usdjpy_b02_f05_structural_sl_policy_regime_v3.yml,LEGACY_SUPERSEDED,1f81c86191d2173d5399e72376252dba1d76d1ccc4ce5b82e9ce89b3fde0365d,15076,True,False
.github/workflows/finalize_eurusd_2024_raw_ticks_from_runs_v1.yml,finalize_eurusd_2024_raw_ticks_from_runs_v1.yml,UNKNOWN_REQUIRES_REVIEW,793b13705bb389e0803d56e14fe96137ac8c63e39983c3c0808519a854831453,4678,True,True
.github/workflows/finalize_usdjpy_hyp027_phase2_release_v1.yml,finalize_usdjpy_hyp027_phase2_release_v1.yml,IMMUTABLE_HISTORICAL_REFERENCE,7acaf6ad5d0a10d07fe2f566a3a14f7b5768d107644df6f187cd99184c6bf50f,7443,True,False
.github/workflows/fx2_authority_registry_bind_pr_once.yml,fx2_authority_registry_bind_pr_once.yml,UNKNOWN_REQUIRES_REVIEW,7e373203b4e0de414afbc4f978e4e48329a3259cc4957c9dddc3e44a047b8778,1763,True,True
.github/workflows/fx2_authority_registry_ci.yml,fx2_authority_registry_ci.yml,UNKNOWN_REQUIRES_REVIEW,f37654be764432088b4fa5c37ae28551206c764658bcbfcf84ba5bcb15b18bd0,2031,False,False
.github/workflows/fx2_authority_registry_publish.yml,fx2_authority_registry_publish.yml,UNKNOWN_REQUIRES_REVIEW,f88570fee1cfda462afdc2068d0663806e039c6edfffbf29fa73737890919cd4,2348,True,True
.github/workflows/integrate_usdjpy_portability_001_v1.yml,integrate_usdjpy_portability_001_v1.yml,UNKNOWN_REQUIRES_REVIEW,a8a0d267d13d8e509e7881553d76a4a23ccbd1111232dcafbebc31894f003375,19532,True,True
.github/workflows/monitor_usdjpy_hyp032_historical_validation_v1.yml,monitor_usdjpy_hyp032_historical_validation_v1.yml,TEMPORARY_DIAGNOSTIC,0187027f38e61504bc03c7c01d0b39df8ee5aad375f2547b97ec2aeb4967193a,1599,False,False
.github/workflows/monitor_usdjpy_hyp032_input_acquisition_v1.yml,monitor_usdjpy_hyp032_input_acquisition_v1.yml,TEMPORARY_DIAGNOSTIC,ce87ba16d0c4c335e9a1be0a14212e1d101aa84ee2a0b89ee76997a3983aec44,1302,False,False
.github/workflows/patch_usdjpy_status_after_r1_v2.yml,patch_usdjpy_status_after_r1_v2.yml,LEGACY_SUPERSEDED,6e865bce8eeb753201d576f63d64a23397c3d44001f3d7c82c41ea306622a983,3834,True,True
.github/workflows/preflight_usdjpy_hyp032_historical_evaluator_v1.yml,preflight_usdjpy_hyp032_historical_evaluator_v1.yml,IMMUTABLE_HISTORICAL_REFERENCE,5387f2e031416f709e57fdf7bf2a6b113f725f1a3bb03eba987cc3c4d8daca39,1248,False,False
.github/workflows/probe_eurusd_fv2_cost_stress_v1.yml,probe_eurusd_fv2_cost_stress_v1.yml,TEMPORARY_DIAGNOSTIC,a75ac7c03f1c5f841deac61fafffeb95f257bab0a9900b09b38bea0947314d27,1467,True,True
.github/workflows/probe_eurusd_fv2_h1_diagnostic_v1.yml,probe_eurusd_fv2_h1_diagnostic_v1.yml,TEMPORARY_DIAGNOSTIC,6840847afef24db5ee8639926dde0d9b3dee60b2db5898659dd8d710c58b1d80,1477,True,True
.github/workflows/publish_usdjpy_csos_remaining_family_atlas_release_v1.yml,publish_usdjpy_csos_remaining_family_atlas_release_v1.yml,IMMUTABLE_HISTORICAL_REFERENCE,6e4cd9de80d3f3714f7e57101490cb05a8ffba6c5fc6d4abc3c6d083f9a869c8,7308,True,False
.github/workflows/publish_usdjpy_csos_remaining_family_atlas_release_v2.yml,publish_usdjpy_csos_remaining_family_atlas_release_v2.yml,LEGACY_SUPERSEDED,f6539ae712d655150159373d9caaaabebb67b32bd19e5fc79936cde5f3e3aa2a,7088,True,False
.github/workflows/publish_usdjpy_hyp037_protocol_corrected_release_v2.yml,publish_usdjpy_hyp037_protocol_corrected_release_v2.yml,LEGACY_SUPERSEDED,f5ccb48793c83a00bc04bdb8d8ccaa9ad389cbe4e42a23afea5ef17289cd4ad7,7342,True,False
.github/workflows/publish_usdjpy_hyp038_closure_v1.yml,publish_usdjpy_hyp038_closure_v1.yml,IMMUTABLE_HISTORICAL_REFERENCE,08d55fb0372c239a2adfea69750fe36621c05012aa2afec3d410f4123e9f3138,7041,True,True
.github/workflows/publish_usdjpy_tick_authority_draft_recovery_v1.yml,publish_usdjpy_tick_authority_draft_recovery_v1.yml,UNKNOWN_REQUIRES_REVIEW,4d3543fce112d144172ac037acb64937136a7b7602ef888d21b50a19742c41de,1283,True,False
.github/workflows/recover_eurusd_2024_june_diagnostic_run_29749870784_v1.yml,recover_eurusd_2024_june_diagnostic_run_29749870784_v1.yml,TEMPORARY_DIAGNOSTIC,242670ae99289082e5caa9281f3295b212ad3164d100583136e98fcb1ae72a61,3430,True,True
.github/workflows/repair_usdjpy_2024_raw_ticks_run_29689427642_v1.yml,repair_usdjpy_2024_raw_ticks_run_29689427642_v1.yml,TEMPORARY_DIAGNOSTIC,67745ac727063f0b2231a5b63aa0322ab64a0bcb99020cfc630d44e9ca38484c,14038,True,False
.github/workflows/research-ci.yml,research-ci.yml,UNKNOWN_REQUIRES_REVIEW,c1555887cadf2f52b22ff2e35e92b14ed7f91169f5fab143e1a047068e353db8,14608,True,True
.github/workflows/resume_eurusd_2024_raw_ticks_run_29749870784_v1.yml,resume_eurusd_2024_raw_ticks_run_29749870784_v1.yml,UNKNOWN_REQUIRES_REVIEW,8bdb22182a3e960daf71023348bd77bdbf57b899a9fa0c5af34a12a16a805521,4677,True,False
.github/workflows/resume_usdjpy_2024_raw_tick_repair_run_29707697472_v1.yml,resume_usdjpy_2024_raw_tick_repair_run_29707697472_v1.yml,UNKNOWN_REQUIRES_REVIEW,05072e136a2fd370510979d32cfc49d7c461b068097e8535b3916645cab5f412,7751,True,False
.github/workflows/reusable_public_fx_tick_symbol_pilot_2024_01.yml,reusable_public_fx_tick_symbol_pilot_2024_01.yml,ACTIVE_STUDY_WRAPPER,b722166bbc67646fbe19c00e7f2a3001744f4e24fd44df6fdaa7a4615bdbe93c,17126,False,False
.github/workflows/reusable_public_fx_tick_symbol_pilot_monthly.yml,reusable_public_fx_tick_symbol_pilot_monthly.yml,ACTIVE_STUDY_WRAPPER,9f9bb32c06c61fcdae31e40ee987ca64b161c9870f3250d01aed36c2e8575a5b,17206,False,False
.github/workflows/reusable_public_fx_tick_symbol_pilot_monthly_v2.yml,reusable_public_fx_tick_symbol_pilot_monthly_v2.yml,ACTIVE_STUDY_WRAPPER,c3b940b012529000c5003847ebc57fb4504723b45bb489a793256d478155be79,15905,False,False
.github/workflows/reusable_research_execution_infra_v1.yml,reusable_research_execution_infra_v1.yml,ACTIVE_STUDY_WRAPPER,29e28d148c0aa386e959034b5d5acbd0b8f2eb568d99e5fc2c17a2a80897426f,6104,False,False
.github/workflows/run_eurusd_2024_full_year_collect.yml,run_eurusd_2024_full_year_collect.yml,UNKNOWN_REQUIRES_REVIEW,be35a22ae342902ea7e11ba151e5ad79f78555cc206cce3391595be3c4ab19c3,15299,False,False
.github/workflows/run_eurusd_fv2_cost_execution_stress_v1.yml,run_eurusd_fv2_cost_execution_stress_v1.yml,UNKNOWN_REQUIRES_REVIEW,92e62df8f9a53679a691dc5c8fbef6f40fde243db595df94f9c696aa76215200,9042,True,True
.github/workflows/run_eurusd_fv2_h1_diagnostic_v1.yml,run_eurusd_fv2_h1_diagnostic_v1.yml,UNKNOWN_REQUIRES_REVIEW,52cc1b06878ba210c949d87a9bb6b29dfe3f1f1a301d04d2b1d25510ad183710,10605,True,True
.github/workflows/run_eurusd_h1_h2_screen_v1.yml,run_eurusd_h1_h2_screen_v1.yml,UNKNOWN_REQUIRES_REVIEW,e372b59d0e93af24a4cf3a2758be45a1151cc7fb8d4b65c8bdb9b2f95a786149,12920,True,True
.github/workflows/run_eurusd_h1_h2_v2_validation.yml,run_eurusd_h1_h2_v2_validation.yml,IMMUTABLE_HISTORICAL_REFERENCE,1860bdb65fa7fef904f223510ad9e33c4984bd052fe3edf4b6602d4367b55776,8899,True,True
.github/workflows/run_fx_session_baseline_2024_01.yml,run_fx_session_baseline_2024_01.yml,UNKNOWN_REQUIRES_REVIEW,e8e63a655c5eeb6aa84d69fd2d77e2a5a3a744ad42ca0f5eb3e0ae6d5059a5d8,9403,False,False
.github/workflows/run_fx_session_baseline_monthly.yml,run_fx_session_baseline_monthly.yml,UNKNOWN_REQUIRES_REVIEW,91be1efbb054bded06b9ff05cd6515798e58e0220966603c3ef7ac535dbe566f,10168,False,False
.github/workflows/run_public_fx_data_pilot_2024_01.yml,run_public_fx_data_pilot_2024_01.yml,UNKNOWN_REQUIRES_REVIEW,7f9b679c56fc6ea7fd0e6d425bd274ac68bf1aa4151f7ca410cc73bfc515f094,922,False,False
.github/workflows/run_public_fx_data_smoke.yml,run_public_fx_data_smoke.yml,UNKNOWN_REQUIRES_REVIEW,59f452aa3bef9cb282affa8f0ec03ed586f2d2051237c93fe73d77fecd2bd7b9,5683,False,False
.github/workflows/run_public_fx_tick_pilot_AUDUSD_2024_01.yml,run_public_fx_tick_pilot_AUDUSD_2024_01.yml,UNKNOWN_REQUIRES_REVIEW,c145ef6239e8ae43e7c86edd241b009c12072d65b7f36715f3d4265824990aff,304,False,False
.github/workflows/run_public_fx_tick_pilot_EURUSD_2024_01.yml,run_public_fx_tick_pilot_EURUSD_2024_01.yml,UNKNOWN_REQUIRES_REVIEW,6acd6bc19c3c8cd9b3cf1883625e7597747e7b89b151826cf632c08484e83c72,304,False,False
.github/workflows/run_public_fx_tick_pilot_GBPUSD_2024_01.yml,run_public_fx_tick_pilot_GBPUSD_2024_01.yml,UNKNOWN_REQUIRES_REVIEW,ea25f384f925a9a1a929149c5ebf4ae41bf764fd9312e4bfe68c8ccbe1dd3306,304,False,False
.github/workflows/run_public_fx_tick_pilot_USDCAD_2024_01.yml,run_public_fx_tick_pilot_USDCAD_2024_01.yml,UNKNOWN_REQUIRES_REVIEW,6104e7ced5e61665aa4ad8ee2a0d5733bc0f0382a39f01d7c3605a9a146f723a,304,False,False
.github/workflows/run_public_fx_tick_pilot_USDCHF_2024_01.yml,run_public_fx_tick_pilot_USDCHF_2024_01.yml,UNKNOWN_REQUIRES_REVIEW,2dcd23fbe50cc7c3dda3dde71a93c4bc4bdf97e645bbabfa26d82162f66ebdd4,304,False,False
