family_id,family,variant_count,variants,raw_signals,suppressed_signals,executable_trades,long_trades,short_trades,net_jpy,gross_profit_jpy,gross_loss_jpy,profit_factor,win_rate,mean_pl_jpy,median_pl_jpy,realized_mdd_jpy,minimum_realized_equity_jpy,mean_mae_pips,mean_mfe_pips,mean_time_to_mae_seconds,mean_time_to_mfe_seconds,positive_folds,minimum_fold_jpy,positive_months,minimum_month_jpy,positive_sessions,year_concentration,fold_concentration,month_concentration,session_concentration,fold_trades,month_trades,session_trades,fold_net_jpy,month_net_jpy,side_net_jpy,session_net_jpy,year_net_jpy,best_event_removed_net_jpy,top5_winners_removed_net_jpy,event_bootstrap_lower_95_jpy,event_bootstrap_upper_95_jpy,event_bootstrap_p_non_positive,spread_plus_1pip_net_jpy,entry_delay_5s_net_jpy,daily_correlation_to_B02,daily_correlation_to_F05,negative_baseline_day_contribution_jpy,combined_net_jpy,combined_realized_dd_jpy,realized_dd_improvement_jpy
A,False Breakout Reversal,1,A_FALSE_BREAKOUT_REVERSAL,2007,857,1150,524,626,-36694.0000000000,135698.9999999999,172393.0000000000,0.7871491302,0.4721739130,-31.9078260870,-16.5000000000,39302.0000000002,962698.0000000000,-29.4410434783,24.9209565217,7398.9260391304,6923.0993686957,1,-15805.0000000001,6,-6308.0000000000,0,,1.0000000000,0.4301409123,,"{'2023H1': 293, '2023H2': 276, '2024H1': 279, '2024H2': 302}","{'2023-01': 45, '2023-02': 45, '2023-03': 51, '2023-04': 42, '2023-05': 54, '2023-06': 56, '2023-07': 47, '2023-08': 53, '2023-09': 44, '2023-10': 46, '2023-11': 42, '2023-12': 44, '2024-01': 50, '2024-02': 48, '2024-03': 45, '2024-04': 46, '2024-05': 51, '2024-06': 39, '2024-07': 45, '2024-08': 46, '2024-09': 53, '2024-10': 57, '2024-11': 51, '2024-12': 50}","{'LONDON': 250, 'LONDON_NY_OVERLAP': 265, 'NEW_YORK': 157, 'TOKYO': 391, 'TRANSITION': 87}","{'2023H1': 50.00000000009709, '2023H2': -15805.000000000091, '2024H1': -8293.999999999927, '2024H2': -12645.000000000124}","{'2023-01': -2303.9999999999163, '2023-02': -10.999999999910415, '2023-03': 1188.9999999999643, '2023-04': 1801.000000000016, '2023-05': -1008.0000000000664, '2023-06': 383.0000000000098, '2023-07': -6308.000000000022, '2023-08': -2221.99999999998, '2023-09': -250.99999999997635, '2023-10': -292.0000000001153, '2023-11': -2457.0000000001073, '2023-12': -4274.999999999892, '2024-01': -396.0000000001003, '2024-02': 379.00000000007594, '2024-03': -1344.9999999999989, '2024-04': -403.00000000004843, '2024-05': -1890.999999999935, '2024-06': -4637.99999999992, '2024-07': -5702.000000000084, '2024-08': 406.99999999995316, '2024-09': 28.00000000001978, '2024-10': -2637.000000000028, '2024-11': -2115.0000000000655, '2024-12': -2625.9999999999195}","{'LONG': -7374.000000000069, 'SHORT': -29319.999999999975}","{'LONDON': -5474.999999999966, 'LONDON_NY_OVERLAP': -7119.000000000042, 'NEW_YORK': -222.00000000009345, 'TOKYO': -21444.000000000116, 'TRANSITION': -2433.999999999827}","{'2023': -15754.999999999993, '2024': -20939.00000000005}",-39107.0000000000,-46490.0000000001,-64008.0250000002,-10578.2500000002,0.9966000000,-48194.0000000000,-38048.9999999996,-0.2894376458,-0.3055775117,15259.9999999999,14933.0000000000,49094.0000000000,-8607.0000000000
B,Balance Mean Reversion,1,B_BALANCE_MEAN_REVERSION,706,357,349,190,159,-6749.0000000000,45992.0000000000,52741.0000000000,0.8720350392,0.5300859599,-19.3381088825,14.0000000000,7914.0000000000,993251.0000000000,-30.4280802292,25.9395415473,6389.7624555874,6767.8311404011,1,-4356.0000000000,10,-3660.0000000000,2,,1.0000000000,0.1940427993,0.6839916840,"{'2023H1': 89, '2023H2': 91, '2024H1': 79, '2024H2': 90}","{'2023-01': 17, '2023-02': 12, '2023-03': 13, '2023-04': 16, '2023-05': 15, '2023-06': 16, '2023-07': 19, '2023-08': 14, '2023-09': 17, '2023-10': 16, '2023-11': 8, '2023-12': 17, '2024-01': 18, '2024-02': 17, '2024-03': 12, '2024-04': 11, '2024-05': 10, '2024-06': 11, '2024-07': 12, '2024-08': 19, '2024-09': 14, '2024-10': 14, '2024-11': 15, '2024-12': 16}","{'LONDON': 79, 'LONDON_NY_OVERLAP': 111, 'NEW_YORK': 33, 'TOKYO': 107, 'TRANSITION': 19}","{'2023H1': -3436.0000000000355, '2023H2': 1453.0000000000598, '2024H1': -409.99999999996817, '2024H2': -4356.000000000023}","{'2023-01': 143.9999999999486, '2023-02': -243.00000000002342, '2023-03': -3659.9999999999964, '2023-04': 387.0000000000289, '2023-05': 1545.9999999999638, '2023-06': -1609.9999999999568, '2023-07': 1501.0000000001182, '2023-08': 2013.000000000005, '2023-09': 333.00000000002683, '2023-10': -441.0000000000025, '2023-11': -884.0000000000714, '2023-12': -1069.0000000000168, '2024-01': 1552.9999999999688, '2024-02': -1167.00000000003, '2024-03': 1021.9999999999629, '2024-04': 599.0000000000464, '2024-05': -2348.999999999989, '2024-06': -67.99999999992679, '2024-07': -1968.0000000000177, '2024-08': -1163.9999999999302, '2024-09': 1276.0000000000389, '2024-10': -514.0000000000953, '2024-11': -478.00000000000864, '2024-12': -1508.0000000000098}","{'LONG': -4012.0000000000864, 'SHORT': -2736.9999999998818}","{'LONDON': -5603.999999999928, 'LONDON_NY_OVERLAP': 2303.0000000000837, 'NEW_YORK': -78.0000000000598, 'TOKYO': -4434.000000000054, 'TRANSITION': 1063.999999999993}","{'2023': -1982.999999999976, '2024': -4765.999999999992}",-7914.0000000000,-12146.0000000000,-23555.1750000000,8444.1500000001,0.7980000000,-10239.0000000000,-7083.0000000000,-0.0030127346,-0.0211532175,1486.0000000000,44878.0000000000,41708.9999999999,-1221.9999999999
C,Shock Continuation,1,C_SHOCK_CONTINUATION,1013,363,650,315,335,6092.0000000001,83685.9999999999,77593.9999999999,1.0785112251,0.4969230769,9.3723076923,-1.5000000000,7647.9999999999,997515.0000000002,-25.3606153846,25.3583076923,3202.2785707692,3213.0520523077,2,-5550.9999999998,16,-3016.0000000000,3,0.9287590282,0.5379448776,0.1522798968,0.8239907058,"{'2023H1': 163, '2023H2': 169, '2024H1': 170, '2024H2': 148}","{'2023-01': 26, '2023-02': 20, '2023-03': 27, '2023-04': 31, '2023-05': 31, '2023-06': 28, '2023-07': 35, '2023-08': 28, '2023-09': 25, '2023-10': 26, '2023-11': 33, '2023-12': 22, '2024-01': 30, '2024-02': 23, '2024-03': 25, '2024-04': 28, '2024-05': 39, '2024-06': 25, '2024-07': 30, '2024-08': 20, '2024-09': 24, '2024-10': 22, '2024-11': 23, '2024-12': 29}","{'LONDON': 110, 'LONDON_NY_OVERLAP': 271, 'NEW_YORK': 64, 'TOKYO': 173, 'TRANSITION': 32}","{'2023H1': -1309.9999999997754, '2023H2': 6967.999999999734, '2024H1': 5984.999999999956, '2024H2': -5550.999999999845}","{'2023-01': 1194.9999999999934, '2023-02': 1718.0000000000462, '2023-03': -193.99999999993156, '2023-04': -2267.999999999944, '2023-05': -2001.9999999999527, '2023-06': 241.00000000001387, '2023-07': 921.0000000000773, '2023-08': 375.00000000008527, '2023-09': 836.9999999999038, '2023-10': 927.9999999998552, '2023-11': 1909.999999999826, '2023-12': 1996.9999999999854, '2024-01': -552.0000000001062, '2024-02': 456.99999999999363, '2024-03': 1694.0000000000452, '2024-04': 784.9999999998829, '2024-05': 946.0000000001119, '2024-06': 2655.000000000029, '2024-07': -1064.0000000000214, '2024-08': 618.0000000000234, '2024-09': -3015.9999999999627, '2024-10': -1003.9999999999907, '2024-11': -1242.9999999999948, '2024-12': 158.00000000010073}","{'LONG': 6015.9999999999345, 'SHORT': 76.00000000013529}","{'LONDON': 5674.000000000091, 'LONDON_NY_OVERLAP': -466.999999999814, 'NEW_YORK': 526.9999999998731, 'TOKYO': -327.0000000000848, 'TRANSITION': 685.0000000000023}","{'2023': 5657.999999999958, '2024': 434.00000000011187}",3747.0000000001,-1770.0000000000,-12324.8500000005,24509.9749999996,0.2672000000,-407.9999999999,6789.9999999998,-0.0267258794,0.1526943513,-5026.0000000001,57719.0000000001,40487.9999999999,-0.9999999999
E,Session Transition,3,E_TOKYO_LONDON;E_LONDON_NY;E_NY_TOKYO,356,1,355,215,140,-1114.9999999999,34778.0000000001,35893.0000000000,0.9689354470,0.4507042254,-3.1408450704,-21.0000000000,6510.9999999999,996015.0000000001,-22.4954929577,19.4535211268,4277.2365070423,5841.4472253521,1,-1427.0000000000,11,-2038.0000000000,2,1.0000000000,1.0000000000,0.2494419643,0.9556714472,"{'2023H1': 93, '2023H2': 91, '2024H1': 82, '2024H2': 89}","{'2023-01': 17, '2023-02': 10, '2023-03': 14, '2023-04': 10, '2023-05': 24, '2023-06': 18, '2023-07': 13, '2023-08': 17, '2023-09': 17, '2023-10': 17, '2023-11': 18, '2023-12': 9, '2024-01': 15, '2024-02': 11, '2024-03': 9, '2024-04': 15, '2024-05': 14, '2024-06': 18, '2024-07': 14, '2024-08': 15, '2024-09': 15, '2024-10': 15, '2024-11': 13, '2024-12': 17}","{'LONDON': 121, 'LONDON_NY_OVERLAP': 141, 'TRANSITION': 93}","{'2023H1': -760.0000000000477, '2023H2': 1609.0000000002362, '2024H1': -1427.000000000021, '2024H2': -537.0000000000346}","{'2023-01': -950.0000000000455, '2023-02': 1709.0000000000316, '2023-03': -2037.9999999999827, '2023-04': 177.00000000002092, '2023-05': 386.0000000000241, '2023-06': -44.000000000096406, '2023-07': 2682.0000000000728, '2023-08': -795.9999999999638, '2023-09': -908.9999999999918, '2023-10': 172.0000000000539, '2023-11': -1443.9999999999884, '2023-12': 1904.0000000000532, '2024-01': -560.0000000000023, '2024-02': -1033.0000000000155, '2024-03': 74.00000000001228, '2024-04': -920.9999999999638, '2024-05': 888.9999999999816, '2024-06': 123.9999999999668, '2024-07': -284.0000000000771, '2024-08': -281.99999999998226, '2024-09': -1840.9999999999516, '2024-10': 882.000000000005, '2024-11': -765.0000000000148, '2024-12': 1752.999999999986}","{'LONG': -453.9999999998661, 'SHORT': -661.0000000000014}","{'LONDON': 1466.0000000000084, 'LONDON_NY_OVERLAP': 68.00000000009823, 'TRANSITION': -2648.9999999999723}","{'2023': 849.0000000001885, '2024': -1964.0000000000555}",-2600.9999999999,-6206.9999999999,-11739.4249999997,9714.2249999997,0.5640000000,-4664.9999999999,-1327.9999999997,0.2741690597,0.3354882909,-11807.0000000000,50512.0000000001,40051.9999999999,435.0000000001
G,Trend Exhaustion,1,G_TREND_EXHAUSTION,2815,1576,1239,507,732,-13749.9999999997,138324.0000000000,152073.9999999998,0.9095834922,0.4656981437,-11.0976594027,-15.0000000000,23170.9999999997,982451.0000000005,-25.4493946731,23.4615012107,5881.4265867635,5722.9508571429,1,-7542.9999999997,11,-5946.9999999999,2,,1.0000000000,0.3272434551,0.5210586881,"{'2023H1': 306, '2023H2': 310, '2024H1': 309, '2024H2': 314}","{'2023-01': 44, '2023-02': 49, '2023-03': 55, '2023-04': 47, '2023-05': 66, '2023-06': 45, '2023-07': 48, '2023-08': 55, '2023-09': 48, '2023-10': 50, '2023-11': 60, '2023-12': 49, '2024-01': 46, '2024-02': 55, '2024-03': 48, '2024-04': 49, '2024-05': 62, '2024-06': 49, '2024-07': 67, '2024-08': 45, '2024-09': 49, '2024-10': 52, '2024-11': 52, '2024-12': 49}","{'LONDON': 258, 'LONDON_NY_OVERLAP': 258, 'NEW_YORK': 149, 'TOKYO': 422, 'TRANSITION': 152}","{'2023H1': 151.0000000001537, '2023H2': -3887.0000000000573, '2024H1': -7542.999999999722, '2024H2': -2471.0000000001173}","{'2023-01': 2873.9999999999673, '2023-02': 797.9999999999739, '2023-03': 732.0000000001698, '2023-04': -858.0000000000325, '2023-05': -4355.9999999999945, '2023-06': 961.0000000000696, '2023-07': -111.99999999993793, '2023-08': 313.0000000000166, '2023-09': 197.9999999998654, '2023-10': 649.0000000000862, '2023-11': 1011.9999999998015, '2023-12': -5946.999999999888, '2024-01': -815.9999999998604, '2024-02': -1950.0000000000732, '2024-03': -2333.9999999999463, '2024-04': 1109.9999999999568, '2024-05': -4516.999999999912, '2024-06': 964.0000000001123, '2024-07': -4022.9999999998827, '2024-08': -326.0000000001637, '2024-09': 4674.9999999999545, '2024-10': -7.999999999981355, '2024-11': -544.9999999999875, '2024-12': -2244.0000000000564}","{'LONG': -1916.0000000001965, 'SHORT': -11833.999999999549}","{'LONDON': -6707.999999999713, 'LONDON_NY_OVERLAP': 2081.000000000161, 'NEW_YORK': -6813.000000000186, 'TOKYO': 2263.9999999998804, 'TRANSITION': -4573.9999999998845}","{'2023': -3735.9999999999045, '2024': -10013.99999999984}",-16853.9999999998,-25890.9999999997,-39093.2750000000,11005.6750000006,0.8680000000,-26139.9999999997,-14289.0000000002,-0.3498292402,-0.5479187765,46678.0000000002,37877.0000000003,39122.9999999999,1364.0000000001
H,Volatility Compression Breakout,1,H_COMPRESSION_BREAKOUT,647,292,355,163,192,-833.9999999999,37052.0000000001,37885.9999999999,0.9779865914,0.4873239437,-2.3492957746,-5.0000000000,6365.0000000000,995212.0000000001,-25.1763380282,23.3535211268,13587.6532422535,11449.1912112676,2,-2003.9999999999,11,-1779.0000000000,2,1.0000000000,0.9867139061,0.3489132975,0.7083607637,"{'2023H1': 86, '2023H2': 88, '2024H1': 91, '2024H2': 90}","{'2023-01': 17, '2023-02': 11, '2023-03': 16, '2023-04': 13, '2023-05': 15, '2023-06': 14, '2023-07': 17, '2023-08': 19, '2023-09': 12, '2023-10': 14, '2023-11': 15, '2023-12': 11, '2024-01': 16, '2024-02': 10, '2024-03': 15, '2024-04': 16, '2024-05': 18, '2024-06': 16, '2024-07': 18, '2024-08': 17, '2024-09': 17, '2024-10': 16, '2024-11': 11, '2024-12': 11}","{'LONDON': 25, 'LONDON_NY_OVERLAP': 9, 'NEW_YORK': 39, 'TOKYO': 94, 'TRANSITION': 188}","{'2023H1': -2003.9999999998768, '2023H2': 30.00000000002956, '2024H1': -1087.9999999999943, '2024H2': 2227.999999999951}","{'2023-01': 653.00000000002, '2023-02': -651.99999999993, '2023-03': 1575.9999999999934, '2023-04': -1778.999999999997, '2023-05': -1431.9999999999595, '2023-06': -370.00000000000455, '2023-07': -824.9999999999886, '2023-08': 574.0000000000123, '2023-09': -174.0000000000066, '2023-10': 936.000000000007, '2023-11': -237.99999999997112, '2023-12': -243.00000000002342, '2024-01': -31.999999999982265, '2024-02': -838.0000000000507, '2024-03': -1402.0000000000152, '2024-04': 244.99999999991928, '2024-05': 764.0000000000953, '2024-06': 175.0000000000398, '2024-07': 223.99999999996112, '2024-08': -223.0000000000416, '2024-09': -1183.999999999969, '2024-10': 15.00000000001478, '2024-11': 2986.000000000018, '2024-12': 409.99999999996817}","{'LONG': 3727.0000000002315, 'SHORT': -4561.000000000121}","{'LONDON': 885.9999999999957, 'LONDON_NY_OVERLAP': -480.99999999999454, 'NEW_YORK': -2368.9999999999145, 'TOKYO': 2152.000000000129, 'TRANSITION': -1022.0000000001046}","{'2023': -1973.9999999998472, '2024': 1139.9999999999575}",-1946.9999999999,-5982.9999999999,-11486.6249999993,9992.9000000000,0.5774000000,-4383.9999999999,-730.9999999999,0.1173351352,0.1316880577,-8828.9999999998,50793.0000000001,42914.9999999998,-2427.9999999998
I,Failed Trend Continuation,1,I_FAILED_TREND_CONTINUATION,64,1,63,22,41,-2124.9999999999,7563.0000000000,9687.9999999999,0.7806564822,0.4126984127,-33.7301587302,-60.0000000000,6405.9999999999,994805.0000000002,-31.7857142857,29.2698412698,4696.6933968254,3996.5777936508,2,-3172.0000000000,9,-1641.9999999999,1,,0.6293521375,0.3798418972,1.0000000000,"{'2023H1': 16, '2023H2': 18, '2024H1': 16, '2024H2': 13}","{'2023-01': 3, '2023-02': 2, '2023-03': 2, '2023-04': 3, '2023-05': 3, '2023-06': 3, '2023-07': 4, '2023-08': 3, '2023-09': 0, '2023-10': 5, '2023-11': 4, '2023-12': 2, '2024-01': 1, '2024-02': 2, '2024-03': 3, '2024-04': 2, '2024-05': 3, '2024-06': 5, '2024-07': 3, '2024-08': 0, '2024-09': 3, '2024-10': 3, '2024-11': 2, '2024-12': 2}","{'LONDON': 7, 'LONDON_NY_OVERLAP': 18, 'NEW_YORK': 3, 'TOKYO': 25, 'TRANSITION': 10}","{'2023H1': 841.0000000000935, '2023H2': -1221.9999999999516, '2024H1': -3172.0000000000255, '2024H2': 1428.000000000026}","{'2023-01': -151.9999999999584, '2023-02': 203.00000000003138, '2023-03': -18.000000000000682, '2023-04': 578.000000000003, '2023-05': 52.99999999999727, '2023-06': 177.00000000002092, '2023-07': 21.99999999999136, '2023-08': -685.9999999999786, '2023-09': 0.0, '2023-10': -633.0000000000098, '2023-11': 200.00000000001705, '2023-12': -124.99999999997158, '2024-01': -149.0000000000009, '2024-02': 50.00000000001137, '2024-03': -1322.0000000000027, '2024-04': -183.9999999999975, '2024-05': -307.00000000001637, '2024-06': -1260.0000000000193, '2024-07': -1641.999999999939, '2024-08': 0.0, '2024-09': 1854.9999999999898, '2024-10': -229.00000000004184, '2024-11': 1922.0000000000255, '2024-12': -478.00000000000864}","{'LONG': 1104.9999999999895, 'SHORT': -3229.999999999847}","{'LONDON': -915.0000000000205, 'LONDON_NY_OVERLAP': -1546.9999999999686, 'NEW_YORK': -368.99999999997135, 'TOKYO': 1930.000000000149, 'TRANSITION': -1224.0000000000464}","{'2023': -380.9999999998581, '2024': -1743.9999999999995}",-4321.9999999999,-6773.9999999998,-9062.0750000000,5471.9750000000,0.7368000000,-2754.9999999999,-2741.0000000000,-0.0102021832,-0.0100968451,422.0000000001,49502.0000000001,40942.9999999999,-455.9999999999
K,Other Literature- and Practice-Led Families,3,K_LONDON_OPENING_RANGE_BREAKOUT;K_ROUND_NUMBER_REJECTION;K_DAILY_TIME_SERIES_MOMENTUM,6766,4424,1702,943,759,-19145.0000000001,207032.0000000001,226177.0000000003,0.9153539042,0.4806110458,-11.2485311398,-11.0000000000,35583.9999999999,965316.0000000001,-26.8058166863,25.3322561692,7355.5460135135,6682.6152438308,1,-17180.0000000000,8,-5919.0000000002,1,1.0000000000,1.0000000000,0.4782916749,1.0000000000,"{'2023H1': 431, '2023H2': 408, '2024H1': 394, '2024H2': 469}","{'2023-01': 75, '2023-02': 64, '2023-03': 80, '2023-04': 64, '2023-05': 79, '2023-06': 69, '2023-07': 72, '2023-08': 75, '2023-09': 59, '2023-10': 59, '2023-11': 75, '2023-12': 68, '2024-01': 77, '2024-02': 69, '2024-03': 67, '2024-04': 54, '2024-05': 70, '2024-06': 57, '2024-07': 79, '2024-08': 85, '2024-09': 78, '2024-10': 74, '2024-11': 77, '2024-12': 76}","{'LONDON': 576, 'LONDON_NY_OVERLAP': 325, 'NEW_YORK': 199, 'TOKYO': 475, 'TRANSITION': 127}","{'2023H1': -17179.999999999978, '2023H2': -6003.0000000001, '2024H1': -7022.999999999771, '2024H2': 11060.999999999724}","{'2023-01': -4685.999999999951, '2023-02': -5919.000000000182, '2023-03': 1285.0000000000819, '2023-04': -3814.9999999999973, '2023-05': -837.9999999998515, '2023-06': -3207.000000000079, '2023-07': -1001.9999999999243, '2023-08': -1487.0000000000232, '2023-09': 1336.9999999999607, '2023-10': -1890.0000000000148, '2023-11': 2114.999999999981, '2023-12': -5076.000000000078, '2024-01': -3414.0000000000155, '2024-02': -1938.999999999851, '2024-03': -1888.0000000000052, '2024-04': 572.0000000000027, '2024-05': -3855.999999999911, '2024-06': 3502.0000000000095, '2024-07': 4400.999999999925, '2024-08': 12150.999999999893, '2024-09': -1942.9999999999552, '2024-10': -2981.0000000001646, '2024-11': 42.00000000003001, '2024-12': -609.0000000000089}","{'LONG': -4767.00000000004, 'SHORT': -14378.000000000093}","{'LONDON': -3507.9999999998827, 'LONDON_NY_OVERLAP': -9021.000000000411, 'NEW_YORK': -4337.999999999794, 'TOKYO': 871.0000000001219, 'TRANSITION': -3149.0000000001573}","{'2023': -23183.00000000008, '2024': 4037.9999999999536}",-21589.0000000002,-29576.0000000002,-50852.6250000000,11889.0499999997,0.8926000000,-36165.0000000001,-19739.0000000000,0.0613552234,0.1729966318,-28900.0000000000,32481.9999999999,60672.0000000000,-20185.0000000000
