family_id,event_lower_95_jpy,event_median_jpy,event_upper_95_jpy,event_p_non_positive,date_lower_95_jpy,date_median_jpy,date_upper_95_jpy,date_p_non_positive,session_block_lower_95_jpy,session_block_median_jpy,session_block_upper_95_jpy,session_block_p_non_positive,reps,seed
A,-64008.0250000002,-37028.5000000002,-10578.2500000002,0.9966000000,-63543.2000000001,-36957.4999999995,-9628.7750000003,0.9978000000,-63711.1000000001,-36763.0000000000,-9747.8750000006,0.9964000000,5000,51065
B,-23555.1750000000,-6562.5000000000,8444.1500000001,0.7980000000,-22989.7999999994,-6727.0000000001,8459.0750000003,0.7992000000,-22842.1250000000,-6754.0000000002,8636.3999999997,0.8052000000,5000,51066
C,-12324.8500000005,5990.0000000003,24509.9749999996,0.2672000000,-12681.1999999997,5916.0000000001,23933.5749999999,0.2566000000,-11657.1000000000,6461.9999999998,24580.0750000001,0.2554000000,5000,51067
E,-11739.4249999997,-953.0000000001,9714.2249999997,0.5640000000,-12306.1499999999,-1165.0000000000,9706.7250000003,0.5824000000,-11820.0500000004,-1081.4999999998,9822.1250000002,0.5706000000,5000,51069
G,-39093.2750000000,-14266.0000000000,11005.6750000006,0.8680000000,-38599.4249999999,-13789.9999999998,12725.8250000001,0.8524000000,-37601.4249999999,-13919.9999999998,10947.7749999995,0.8630000000,5000,51071
H,-11486.6249999993,-1020.4999999996,9992.9000000000,0.5774000000,-11452.0000000001,-913.9999999997,10290.8250000004,0.5710000000,-11307.2249999998,-931.9999999996,10032.0499999996,0.5684000000,5000,51072
I,-9062.0750000000,-2302.4999999998,5471.9750000000,0.7368000000,-8879.1499999997,-2263.4999999999,5632.4000000001,0.7290000000,-8858.2499999997,-2365.4999999999,5165.0250000001,0.7318000000,5000,51073
K,-50852.6250000000,-19270.0000000004,11889.0499999997,0.8926000000,-49158.1000000000,-19068.0000000000,11261.1250000004,0.8970000000,-50792.2999999998,-18903.0000000002,12207.7499999998,0.8876000000,5000,51075
