variant_id,family_id,track,gate,pass
C_SHOCK_CONTINUATION,C,A_INDEPENDENT_ALPHA,positive_folds_ge_3,False
C_SHOCK_CONTINUATION,C,A_INDEPENDENT_ALPHA,minimum_fold_ge_minus_1000,False
C_SHOCK_CONTINUATION,C,A_INDEPENDENT_ALPHA,positive_months_ge_16,True
C_SHOCK_CONTINUATION,C,A_INDEPENDENT_ALPHA,best_event_removed_positive,True
C_SHOCK_CONTINUATION,C,A_INDEPENDENT_ALPHA,top5_winners_removed_positive,False
C_SHOCK_CONTINUATION,C,A_INDEPENDENT_ALPHA,event_bootstrap_p_nonpositive_le_10pct,False
C_SHOCK_CONTINUATION,C,A_INDEPENDENT_ALPHA,spread_plus_1pip_positive,False
C_SHOCK_CONTINUATION,C,A_INDEPENDENT_ALPHA,entry_delay_5s_positive,True
C_SHOCK_CONTINUATION,C,A_INDEPENDENT_ALPHA,additive_portfolio_net_improves,True
C_SHOCK_CONTINUATION,C,A_INDEPENDENT_ALPHA,combined_realized_dd_non_worse,False
C_SHOCK_CONTINUATION,C,A_INDEPENDENT_ALPHA,worst_20_business_day_non_worse,False
C_SHOCK_CONTINUATION,C,B_COMPLEMENTARITY,standalone_net_positive,True
C_SHOCK_CONTINUATION,C,B_COMPLEMENTARITY,pf_ge_1_00,True
C_SHOCK_CONTINUATION,C,B_COMPLEMENTARITY,positive_folds_ge_3,False
C_SHOCK_CONTINUATION,C,B_COMPLEMENTARITY,negative_baseline_day_contribution_positive,False
C_SHOCK_CONTINUATION,C,B_COMPLEMENTARITY,additive_net_improves,True
C_SHOCK_CONTINUATION,C,B_COMPLEMENTARITY,combined_realized_dd_improves,False
C_SHOCK_CONTINUATION,C,B_COMPLEMENTARITY,minimum_equity_improves,True
C_SHOCK_CONTINUATION,C,B_COMPLEMENTARITY,worst_5_business_day_non_worse,True
C_SHOCK_CONTINUATION,C,B_COMPLEMENTARITY,worst_20_business_day_non_worse,False
C_SHOCK_CONTINUATION,C,B_COMPLEMENTARITY,top5_winners_removed_positive,False
C_SHOCK_CONTINUATION,C,B_COMPLEMENTARITY,spread_plus_1pip_positive,False
E_TOKYO_LONDON,E,A_INDEPENDENT_ALPHA,executable_trades_ge_120,True
E_TOKYO_LONDON,E,A_INDEPENDENT_ALPHA,net_positive,True
E_TOKYO_LONDON,E,A_INDEPENDENT_ALPHA,pf_ge_1_10,True
E_TOKYO_LONDON,E,A_INDEPENDENT_ALPHA,positive_folds_ge_3,False
E_TOKYO_LONDON,E,A_INDEPENDENT_ALPHA,minimum_fold_ge_minus_1000,False
E_TOKYO_LONDON,E,A_INDEPENDENT_ALPHA,positive_months_ge_16,False
E_TOKYO_LONDON,E,A_INDEPENDENT_ALPHA,best_event_removed_positive,False
E_TOKYO_LONDON,E,A_INDEPENDENT_ALPHA,top5_winners_removed_positive,False
E_TOKYO_LONDON,E,A_INDEPENDENT_ALPHA,event_bootstrap_p_nonpositive_le_10pct,False
E_TOKYO_LONDON,E,A_INDEPENDENT_ALPHA,spread_plus_1pip_positive,True
E_TOKYO_LONDON,E,A_INDEPENDENT_ALPHA,entry_delay_5s_positive,True
