exit_utc,candidate_id,mode,component,pnl_jpy,equity_jpy
2023-01-03 08:30:00+00:00,B_EXECUTABLE_T0_8BAR,STANDALONE,SHOCK_FAILURE,960.000000000008,960.000000000008
2023-01-12 16:15:00+00:00,B_EXECUTABLE_T0_8BAR,STANDALONE,SHOCK_FAILURE,-469.99999999999886,490.0000000000091
2023-01-24 17:15:00+00:00,B_EXECUTABLE_T0_8BAR,STANDALONE,SHOCK_FAILURE,621.0000000000093,1111.0000000000184
2023-02-01 17:15:00+00:00,B_EXECUTABLE_T0_8BAR,STANDALONE,SHOCK_FAILURE,-209.00000000000318,902.0000000000152
2023-02-01 22:30:00+00:00,B_EXECUTABLE_T0_8BAR,STANDALONE,SHOCK_FAILURE,-266.00000000001955,635.9999999999957
2023-02-07 20:15:00+00:00,B_EXECUTABLE_T0_8BAR,STANDALONE,SHOCK_FAILURE,274.0000000000009,909.9999999999966
2023-02-09 20:00:00+00:00,B_EXECUTABLE_T0_8BAR,STANDALONE,SHOCK_FAILURE,-429.00000000000205,480.99999999999454
2023-03-01 18:00:00+00:00,B_EXECUTABLE_T0_8BAR,STANDALONE,SHOCK_FAILURE,-177.00000000002092,303.9999999999736
2023-03-15 14:30:00+00:00,B_EXECUTABLE_T0_8BAR,STANDALONE,SHOCK_FAILURE,55.00000000000682,358.99999999998045
2023-03-23 08:45:00+00:00,B_EXECUTABLE_T0_8BAR,STANDALONE,SHOCK_FAILURE,397.99999999999613,756.9999999999766
2023-04-25 09:15:00+00:00,B_EXECUTABLE_T0_8BAR,STANDALONE,SHOCK_FAILURE,92.00000000001296,848.9999999999895
2023-04-26 16:45:00+00:00,B_EXECUTABLE_T0_8BAR,STANDALONE,SHOCK_FAILURE,600.0000000000227,1449.0000000000123
2023-05-05 15:30:00+00:00,B_EXECUTABLE_T0_8BAR,STANDALONE,SHOCK_FAILURE,7.999999999981355,1456.9999999999936
2023-05-10 15:45:00+00:00,B_EXECUTABLE_T0_8BAR,STANDALONE,SHOCK_FAILURE,8.000000000009777,1465.0000000000034
2023-05-22 19:30:00+00:00,B_EXECUTABLE_T0_8BAR,STANDALONE,SHOCK_FAILURE,10.000000000019327,1475.0000000000227
2023-05-24 10:00:00+00:00,B_EXECUTABLE_T0_8BAR,STANDALONE,SHOCK_FAILURE,-122.0000000000141,1353.0000000000086
2023-05-30 08:45:00+00:00,B_EXECUTABLE_T0_8BAR,STANDALONE,SHOCK_FAILURE,183.9999999999975,1537.0000000000061
2023-05-30 11:30:00+00:00,B_EXECUTABLE_T0_8BAR,STANDALONE,SHOCK_FAILURE,277.00000000001523,1814.0000000000214
2023-06-02 15:45:00+00:00,B_EXECUTABLE_T0_8BAR,STANDALONE,SHOCK_FAILURE,487.0000000000232,2301.0000000000446
2023-06-07 16:15:00+00:00,B_EXECUTABLE_T0_8BAR,STANDALONE,SHOCK_FAILURE,548.0000000000018,2849.0000000000464
2023-06-16 02:30:00+00:00,B_EXECUTABLE_T0_8BAR,STANDALONE,SHOCK_FAILURE,-73.0000000000075,2776.000000000039
2023-07-06 02:30:00+00:00,B_EXECUTABLE_T0_8BAR,STANDALONE,SHOCK_FAILURE,-94.00000000002251,2682.0000000000164
2023-07-12 04:30:00+00:00,B_EXECUTABLE_T0_8BAR,STANDALONE,SHOCK_FAILURE,-84.00000000000318,2598.000000000013
2023-07-13 16:45:00+00:00,B_EXECUTABLE_T0_8BAR,STANDALONE,SHOCK_FAILURE,157.0000000000107,2755.0000000000236
2023-07-21 16:45:00+00:00,B_EXECUTABLE_T0_8BAR,STANDALONE,SHOCK_FAILURE,-19.000000000005457,2736.000000000018
