candidate_id,scenario,event_count,trades,gross_profit_jpy,gross_loss_jpy,net_profit_jpy,profit_factor,win_rate,average_pnl_jpy,median_pnl_jpy,maximum_win_jpy,maximum_loss_jpy,average_mfe_pips,average_mae_pips,median_holding_minutes,maximum_drawdown_jpy,recovery_hours,active_months,positive_months,month_breadth,positive_folds,positive_side_fold_cells,positive_session_cells,top_date_concentration,top_event_concentration,baseline_day_state
A_CSOS_FIXED_BAR,BASELINE,4,4,279.99999999999204,-253.99999999997135,26.00000000002069,1.1023622047245025,0.5,6.500000000005173,16.00000000000079,154.9999999999966,-160.9999999999775,,,120.0,253.99999999997135,3659.5,3,2,0.6666666666666666,1,1,1,0.5535714285714322,0.5535714285714322,FLAT
A_CSOS_FIXED_BAR,BASELINE,62,62,14216.999999999904,-4573.0000000000655,9643.999999999834,3.1089000656023837,0.6935483870967742,155.54838709677153,76.00000000000307,3104.000000000009,-1229.000000000018,,,120.0,1229.0000000000182,1513.25,23,17,0.7391304347826086,4,8,4,0.2183301681086045,0.2183301681086045,NEGATIVE
A_CSOS_FIXED_BAR,BASELINE,48,48,7291.999999999969,-4114.999999999939,3177.00000000003,1.7720534629404805,0.5416666666666666,66.18750000000063,15.499999999998408,1437.0000000000073,-628.0000000000189,,,120.0,1075.0000000000011,7592.5,21,11,0.5238095238095238,2,3,4,0.1836258913878255,0.19706527701590967,POSITIVE
B_EXECUTABLE_T0_8BAR,BASELINE,4,4,262.9999999999768,-256.9999999999766,6.000000000000227,1.0233463035019486,0.5,1.5000000000000568,13.999999999995794,139.99999999998636,-161.99999999997772,10.124999999999318,-14.750000000000085,119.997,256.9999999999766,3659.5,3,2,0.6666666666666666,1,1,1,0.5323193916349761,0.5323193916349761,FLAT
B_EXECUTABLE_T0_8BAR,BASELINE,62,62,14047.999999999889,-4586.000000000069,9461.99999999982,3.0632359354556646,0.6935483870967742,152.61290322580354,70.99999999999795,3098.9999999999895,-1231.9999999999993,35.17580645161254,-21.4403225806454,120.00054166666668,1231.999999999999,1513.25,23,17,0.7391304347826086,4,7,4,0.2206007972665158,0.2206007972665158,NEGATIVE
B_EXECUTABLE_T0_8BAR,BASELINE,48,48,7246.000000000036,-4212.000000000075,3033.9999999999636,1.7203228869895317,0.5416666666666666,63.208333333332575,13.500000000007617,1432.0000000000164,-629.9999999999955,26.75416666666634,-20.26249999999988,120.00091666666667,1106.000000000023,7592.5,21,11,0.5238095238095238,2,3,3,0.1836875517526926,0.1976262765663827,POSITIVE
C_M1_ACCEPTANCE_8BAR,BASELINE,1,1,0.0,-2.0000000000095497,-2.0000000000095497,0.0,0.0,-2.0000000000095497,-2.0000000000095497,-2.0000000000095497,-2.0000000000095497,8.400000000000318,-17.300000000000182,119.00418333333333,0.0,0.0,1,0,0.0,0,0,0,,,FLAT
C_M1_ACCEPTANCE_8BAR,BASELINE,28,28,6680.000000000035,-2115.9999999999573,4564.000000000078,3.1568998109641635,0.6071428571428571,163.00000000000279,55.00000000000682,1289.0000000000157,-658.9999999999918,37.603571428571726,-18.310714285714017,119.0005,1070.9999999999404,8209.75,19,11,0.5789473684210527,3,6,4,0.19296407185628878,0.19296407185628878,NEGATIVE
C_M1_ACCEPTANCE_8BAR,BASELINE,29,29,5086.00000000007,-2187.0000000000973,2898.9999999999727,2.3255601280291924,0.5517241379310345,99.96551724137836,13.00000000000523,1424.0000000000066,-453.00000000000296,29.73103448275828,-21.517241379310082,119.0,702.0000000000266,5985.5,16,9,0.5625,3,5,5,0.27998427054659597,0.27998427054659597,POSITIVE
D_EXECUTABLE_T0_4BAR,BASELINE,4,4,42.999999999977945,-167.0000000000016,-124.00000000002365,0.25748502993998523,0.25,-31.00000000000591,-42.50000000000398,42.999999999977945,-81.99999999999363,6.974999999999909,-10.824999999999818,59.99945,153.99999999999636,3659.5,3,1,0.3333333333333333,1,1,0,1.0,1.0,FLAT
D_EXECUTABLE_T0_4BAR,BASELINE,62,62,9734.999999999985,-5215.000000000087,4519.999999999896,1.8667305848513562,0.5,72.90322580644994,0.0,2680.999999999983,-850.9999999999991,24.303225806451312,-18.512903225806696,59.99953333333333,1115.0000000000375,9241.25,23,12,0.5217391304347826,3,7,3,0.2753980482794029,0.2753980482794029,NEGATIVE
D_EXECUTABLE_T0_4BAR,BASELINE,48,48,5652.999999999905,-2523.000000000024,3129.9999999998818,2.24058660325004,0.6041666666666666,65.20833333333087,71.50000000000034,966.0000000000082,-415.9999999999968,21.583333333333243,-16.36250000000003,60.00085000000001,536.0000000000298,5376.75,21,12,0.5714285714285714,3,4,5,0.18804174774456148,0.17088271714134518,POSITIVE
