candidate_id,scenario,event_count,trades,gross_profit_jpy,gross_loss_jpy,net_profit_jpy,profit_factor,win_rate,average_pnl_jpy,median_pnl_jpy,maximum_win_jpy,maximum_loss_jpy,average_mfe_pips,average_mae_pips,median_holding_minutes,maximum_drawdown_jpy,recovery_hours,active_months,positive_months,month_breadth,positive_folds,positive_side_fold_cells,positive_session_cells,top_date_concentration,top_event_concentration,session
A_CSOS_FIXED_BAR,BASELINE,16,16,1707.999999999953,-926.9999999999914,780.9999999999616,1.8425026968715954,0.625,48.8124999999976,84.9999999999892,456.9999999999891,-318.9999999999929,,,120.0,458.9999999999929,4200.0,11,7,0.6363636363636364,3,4,1,0.2675644028103054,0.2675644028103054,LONDON
A_CSOS_FIXED_BAR,BASELINE,52,52,9182.999999999993,-3604.999999999943,5578.000000000051,2.5472954230236167,0.5961538461538461,107.26923076923175,29.500000000008413,1372.0000000000095,-470.99999999997976,,,120.0,1564.999999999965,8400.75,22,13,0.5909090909090909,2,5,1,0.14940651203310581,0.14940651203310581,LONDON_NY_OVERLAP
A_CSOS_FIXED_BAR,BASELINE,15,15,1418.9999999999986,-1138.000000000004,280.99999999999454,1.2469244288224899,0.6,18.73333333333297,11.999999999995907,364.9999999999761,-425.0000000000159,,,120.0,790.9999999999866,11784.5,11,7,0.6363636363636364,3,4,1,0.2572233967582639,0.2572233967582639,NEW_YORK
A_CSOS_FIXED_BAR,BASELINE,27,27,8817.999999999927,-1704.0000000000157,7113.999999999911,5.174882629107891,0.7037037037037037,263.48148148147817,112.999999999995,3104.000000000009,-628.0000000000189,,,120.0,628.0000000000189,3216.0,16,13,0.8125,3,6,1,0.35200725788160975,0.35200725788160975,TOKYO
A_CSOS_FIXED_BAR,BASELINE,4,4,660.9999999999923,-1568.0000000000211,-907.0000000000289,0.42155612244896895,0.5,-226.75000000000722,-121.50000000000205,564.9999999999932,-1229.000000000018,,,120.0,1229.000000000018,1705.25,4,2,0.5,1,1,0,0.8547655068078666,0.8547655068078666,TRANSITION
B_EXECUTABLE_T0_8BAR,BASELINE,16,16,1705.000000000041,-928.0000000000257,777.0000000000152,1.837284482758614,0.625,48.56250000000095,84.0000000000174,453.9999999999793,-317.99999999998363,20.593749999999922,-18.868749999999856,120.00006666666667,454.00000000000773,4200.0,11,7,0.6363636363636364,3,4,1,0.2662756598240284,0.2662756598240284,LONDON
B_EXECUTABLE_T0_8BAR,BASELINE,52,52,8985.000000000013,-3619.9999999999764,5365.000000000036,2.4820441988950472,0.5961538461538461,103.17307692307762,26.999999999986812,1371.0000000000093,-469.99999999999886,31.05384615384599,-19.780769230769234,120.00094166666668,1570.9999999999413,8400.75,22,13,0.5909090909090909,2,5,1,0.15258764607679548,0.15258764607679548,LONDON_NY_OVERLAP
B_EXECUTABLE_T0_8BAR,BASELINE,15,15,1395.9999999999866,-1190.0000000000546,205.99999999993202,1.173109243697414,0.6,13.733333333328801,16.999999999995907,361.99999999999477,-429.00000000000205,18.22666666666616,-17.906666666666712,120.00101666666666,798.0000000000018,11784.5,11,7,0.6363636363636364,3,4,1,0.2593123209169042,0.2593123209169042,NEW_YORK
B_EXECUTABLE_T0_8BAR,BASELINE,27,27,8838.999999999885,-1721.0000000000605,7117.999999999824,5.13596746077837,0.7037037037037037,263.6296296296231,116.99999999999022,3098.9999999999895,-629.9999999999955,43.18148148148083,-18.188888888889316,119.99926666666667,629.9999999999955,3216.0,16,13,0.8125,3,6,1,0.35060527208960623,0.35060527208960623,TOKYO
B_EXECUTABLE_T0_8BAR,BASELINE,4,4,631.9999999999766,-1596.0000000000036,-964.0000000000271,0.3959899749373278,0.5,-241.00000000000676,-142.5000000000125,552.9999999999973,-1231.9999999999993,30.49999999999855,-67.67499999999984,120.00198333333333,1231.9999999999993,1705.25,4,2,0.5,1,1,0,0.8750000000000281,0.8750000000000281,TRANSITION
C_M1_ACCEPTANCE_8BAR,BASELINE,5,5,381.0000000000002,-281.99999999998226,99.00000000001796,1.3510638297873199,0.6,19.800000000003593,45.99999999999227,227.00000000000387,-182.99999999999272,19.86000000000047,-12.999999999999545,118.99955,281.99999999998226,4392.5,4,2,0.5,2,3,1,0.595800524934393,0.595800524934393,LONDON
