candidate_id,scenario,event_count,trades,gross_profit_jpy,gross_loss_jpy,net_profit_jpy,profit_factor,win_rate,average_pnl_jpy,median_pnl_jpy,maximum_win_jpy,maximum_loss_jpy,average_mfe_pips,average_mae_pips,median_holding_minutes,maximum_drawdown_jpy,recovery_hours,active_months,positive_months,month_breadth,positive_folds,positive_side_fold_cells,positive_session_cells,top_date_concentration,top_event_concentration,shock_size_bucket
A_CSOS_FIXED_BAR,BASELINE,57,57,12334.999999999907,-4598.999999999975,7735.99999999993,2.6821048053924708,0.6140350877192983,135.7192982456128,34.00000000001569,3104.000000000009,-1229.000000000018,,,120.0,1229.0000000000177,888.75,24,19,0.7916666666666666,4,6,3,0.2516416700445912,0.2516416700445912,2.50_to_lt_3.00
A_CSOS_FIXED_BAR,BASELINE,39,39,5758.999999999967,-3011.00000000004,2747.999999999927,1.9126536034539656,0.5897435897435898,70.46153846153659,77.99999999999841,1437.0000000000073,-628.0000000000189,,,120.0,1461.0000000000582,8648.5,21,13,0.6190476190476191,3,3,4,0.24952248654280526,0.24952248654280526,3.00_to_lt_4.00
A_CSOS_FIXED_BAR,BASELINE,18,18,3694.999999999991,-1331.9999999999595,2363.000000000031,2.7740240240241016,0.7222222222222222,131.2777777777795,74.50000000001012,1372.0000000000095,-470.99999999997976,,,120.0,680.9999999999729,6576.0,13,10,0.7692307692307693,3,5,5,0.3713125845737518,0.3713125845737518,ge_4.00
B_EXECUTABLE_T0_8BAR,BASELINE,57,57,12285.0,-4627.000000000095,7657.999999999903,2.6550680786686294,0.6140350877192983,134.35087719298076,28.999999999996362,3098.9999999999895,-1231.9999999999993,32.17368421052591,-19.191228070175526,120.00045,1231.9999999999993,888.75,24,19,0.7916666666666666,4,6,3,0.2522588522588514,0.2522588522588514,2.50_to_lt_3.00
B_EXECUTABLE_T0_8BAR,BASELINE,39,39,5609.999999999927,-3099.000000000018,2510.9999999999104,1.8102613746369456,0.5897435897435898,64.38461538461308,56.99999999998795,1432.0000000000164,-629.9999999999955,26.37435897435861,-19.589743589743772,120.00033333333334,1499.0000000000236,8648.5,21,13,0.6190476190476191,3,3,4,0.2552584670231791,0.2552584670231791,3.00_to_lt_4.00
B_EXECUTABLE_T0_8BAR,BASELINE,18,18,3661.999999999978,-1329.0000000000077,2332.99999999997,2.755455229495829,0.7222222222222222,129.61111111110944,72.50000000000512,1371.0000000000093,-469.99999999999886,35.727777777777526,-27.944444444444294,120.00238333333333,677.9999999999688,6576.0,13,10,0.7692307692307693,3,5,5,0.3743855816493767,0.3743855816493767,ge_4.00
C_M1_ACCEPTANCE_8BAR,BASELINE,24,24,4833.000000000084,-1679.0000000000305,3154.0000000000537,2.8784991066110757,0.5416666666666666,131.4166666666689,10.000000000005116,1063.0000000000166,-298.0000000000018,31.02916666666644,-16.829166666666495,118.99960000000002,399.99999999997726,1980.5,16,9,0.5625,3,4,3,0.21994620318642627,0.21994620318642627,2.50_to_lt_3.00
C_M1_ACCEPTANCE_8BAR,BASELINE,25,25,4031.9999999999536,-2435.000000000031,1596.9999999999231,1.6558521560574548,0.52,63.879999999996926,21.99999999999136,1424.0000000000066,-658.9999999999918,29.932000000000016,-21.423999999999978,119.00056666666666,1087.0000000000175,10944.75,16,8,0.5,3,3,4,0.35317460317460886,0.35317460317460886,3.00_to_lt_4.00
C_M1_ACCEPTANCE_8BAR,BASELINE,9,9,2901.0000000000673,-191.0000000000025,2710.0000000000646,15.188481675392824,0.7777777777777778,301.1111111111183,227.00000000000387,1289.0000000000157,-189.99999999999773,47.83333333333373,-23.833333333332185,119.00063333333333,189.99999999999773,3063.75,8,7,0.875,3,4,4,0.444329541537396,0.444329541537396,ge_4.00
D_EXECUTABLE_T0_4BAR,BASELINE,57,57,7760.999999999968,-3716.000000000064,4044.9999999999022,2.0885360602798264,0.49122807017543857,70.96491228070003,-8.99999999998613,2680.999999999983,-850.9999999999991,23.46666666666633,-16.44210526315812,59.999900000000004,1098.0000000000132,4615.0,24,14,0.5833333333333334,3,6,2,0.34544517459090246,0.34544517459090246,2.50_to_lt_3.00
D_EXECUTABLE_T0_4BAR,BASELINE,39,39,4831.999999999909,-2685.0000000000305,2146.9999999998777,1.799627560521361,0.6153846153846154,55.05128205127892,81.99999999999363,966.0000000000082,-478.00000000000864,18.846153846153832,-15.517948717948844,59.999649999999995,717.000000000013,7397.0,21,12,0.5714285714285714,2,5,5,0.1999172185430518,0.1999172185430518,3.00_to_lt_4.00
D_EXECUTABLE_T0_4BAR,BASELINE,18,18,2837.9999999999936,-1504.000000000019,1333.9999999999748,1.8869680851063548,0.5,74.11111111110971,9.999999999990905,1073.0000000000075,-566.9999999999789,27.672222222222032,-24.116666666666553,60.00195833333334,933.0000000000211,13843.75,13,7,0.5384615384615384,3,4,3,0.37808315715292806,0.37808315715292806,ge_4.00
