candidate_id,scenario,event_count,trades,gross_profit_jpy,gross_loss_jpy,net_profit_jpy,profit_factor,win_rate,average_pnl_jpy,median_pnl_jpy,maximum_win_jpy,maximum_loss_jpy,average_mfe_pips,average_mae_pips,median_holding_minutes,maximum_drawdown_jpy,recovery_hours,active_months,positive_months,month_breadth,positive_folds,positive_side_fold_cells,positive_session_cells,top_date_concentration,top_event_concentration,shock_duration_bucket
A_CSOS_FIXED_BAR,BASELINE,51,51,5738.999999999929,-4005.9999999999864,1732.9999999999427,1.4326010983524584,0.5686274509803921,33.98039215686162,34.00000000001569,963.999999999994,-628.0000000000189,,,120.0,844.0000000000305,4997.25,20,10,0.5,2,3,4,0.16797351454957413,0.16797351454957413,1_BAR
A_CSOS_FIXED_BAR,BASELINE,31,31,6163.000000000028,-3692.9999999999995,2470.000000000028,1.6688329271594988,0.4838709677419355,79.67741935483961,-54.99999999998295,1437.0000000000073,-1229.000000000018,,,120.0,1539.9999999999898,8504.0,17,8,0.47058823529411764,3,6,3,0.23316566607171843,0.23316566607171843,2_BARS
A_CSOS_FIXED_BAR,BASELINE,32,32,9886.999999999905,-1242.9999999999893,8643.999999999916,7.954143201930805,0.84375,270.1249999999974,118.49999999999284,3104.000000000009,-470.99999999997976,,,120.0,489.99999999999886,3997.75,21,18,0.8571428571428571,4,7,4,0.3139476079700656,0.3139476079700656,GE_3_BARS
B_EXECUTABLE_T0_8BAR,BASELINE,51,51,5753.000000000071,-4039.9999999999923,1713.0000000000791,1.4240099009901193,0.5686274509803921,33.5882352941192,28.999999999996362,960.000000000008,-629.9999999999955,21.184313725490146,-20.196078431372406,120.00046666666667,853.9999999999566,4997.25,20,10,0.5,2,3,4,0.16686945941247977,0.16686945941247977,1_BAR
B_EXECUTABLE_T0_8BAR,BASELINE,31,31,6127.999999999985,-3744.000000000142,2383.999999999844,1.6367521367520708,0.4838709677419355,76.90322580644659,-52.00000000002092,1432.0000000000164,-1231.9999999999993,33.699999999999186,-21.900000000000325,120.00226666666667,1536.0000000000582,8504.0,17,8,0.47058823529411764,3,6,3,0.2336814621409954,0.2336814621409954,2_BARS
B_EXECUTABLE_T0_8BAR,BASELINE,32,32,9675.999999999845,-1270.9999999999866,8404.999999999858,7.61290322580641,0.84375,262.65624999999557,110.50000000000182,3098.9999999999895,-466.99999999998454,43.140624999999574,-20.37500000000021,120.00005833333333,514.00000000001,3997.75,21,18,0.8571428571428571,4,7,4,0.32027697395618426,0.32027697395618426,GE_3_BARS
C_M1_ACCEPTANCE_8BAR,BASELINE,24,24,3444.0000000000455,-1928.9999999999736,1515.0000000000714,1.7853810264386172,0.5833333333333334,63.12500000000298,25.50000000000807,941.0000000000025,-658.9999999999918,26.16666666666691,-24.00833333333298,118.99960000000002,959.0000000000032,4537.0,15,8,0.5333333333333333,3,5,4,0.27322880371660574,0.27322880371660574,1_BAR
C_M1_ACCEPTANCE_8BAR,BASELINE,20,20,4525.000000000063,-1852.0000000000607,2673.000000000002,2.443304535637103,0.45,133.6500000000001,-81.50000000000546,1424.0000000000066,-271.000000000015,33.60499999999959,-17.264999999999873,119.00080833333332,853.0000000000086,8921.5,14,6,0.42857142857142855,2,5,2,0.31469613259668217,0.31469613259668217,2_BARS
C_M1_ACCEPTANCE_8BAR,BASELINE,14,14,3796.9999999999964,-524.0000000000293,3272.9999999999673,7.2461832061064575,0.7142857142857143,233.78571428571195,137.00000000000045,1289.0000000000157,-453.00000000000296,44.52857142857149,-16.607142857142573,119.00184166666666,521.000000000015,6046.75,10,8,0.8,3,5,3,0.3394785356860724,0.3394785356860724,GE_3_BARS
D_EXECUTABLE_T0_4BAR,BASELINE,51,51,3609.9999999999573,-3139.9999999999864,469.99999999997044,1.1496815286624118,0.43137254901960786,9.215686274509224,-14.999999999986358,346.00000000000364,-415.9999999999968,14.262745098039385,-16.337254901960716,60.000483333333335,894.0000000000339,12636.25,20,10,0.5,2,5,3,0.09584487534626253,0.09584487534626253,1_BAR
D_EXECUTABLE_T0_4BAR,BASELINE,31,31,4728.000000000009,-2600.0000000001073,2127.999999999901,1.8184615384614669,0.5483870967741935,68.64516129031938,16.999999999995907,966.0000000000082,-850.9999999999991,27.112903225805812,-17.532258064516594,60.00033333333333,911.0000000000014,4021.5,17,11,0.6470588235294118,4,7,2,0.20431472081218408,0.20431472081218408,2_BARS
D_EXECUTABLE_T0_4BAR,BASELINE,32,32,7092.999999999905,-2165.0000000000205,4927.999999999884,3.276212471131565,0.6875,153.99999999999636,74.50000000000045,2680.999999999983,-566.9999999999789,31.33749999999962,-18.743750000000148,59.999500000000005,671.0000000000491,8209.75,21,15,0.7142857142857143,4,6,4,0.3779782884534074,0.3779782884534074,GE_3_BARS
