candidate_id,scenario,event_count,trades,gross_profit_jpy,gross_loss_jpy,net_profit_jpy,profit_factor,win_rate,average_pnl_jpy,median_pnl_jpy,maximum_win_jpy,maximum_loss_jpy,average_mfe_pips,average_mae_pips,median_holding_minutes,maximum_drawdown_jpy,recovery_hours,active_months,positive_months,month_breadth,positive_folds,positive_side_fold_cells,positive_session_cells,top_date_concentration,top_event_concentration,side_label
A_CSOS_FIXED_BAR,BASELINE,75,75,12148.999999999922,-4583.999999999979,7564.999999999941,2.6503054101221593,0.6533333333333333,100.86666666666588,75.0000000000125,1437.0000000000073,-628.0000000000189,,,120.0,839.0000000000455,2618.5,24,19,0.7916666666666666,3,3,5,0.11021483249650396,0.11828134002798721,LONG
A_CSOS_FIXED_BAR,BASELINE,39,39,9639.999999999944,-4357.999999999996,5281.999999999947,2.2120238641578593,0.5641025641025641,135.4358974358961,37.00000000000159,3104.000000000009,-1229.000000000018,,,120.0,1575.0000000000045,9218.25,21,12,0.5714285714285714,3,3,3,0.32199170124481613,0.32199170124481613,SHORT
B_EXECUTABLE_T0_8BAR,BASELINE,75,75,11922.999999999916,-4635.000000000076,7287.99999999984,2.5723840345198963,0.6533333333333333,97.1733333333312,72.00000000000273,1432.0000000000164,-629.9999999999955,25.494666666666376,-20.613333333333344,120.00033333333334,866.99999999999,2618.5,24,19,0.7916666666666666,3,3,5,0.11163297827728144,0.12010400067097429,LONG
B_EXECUTABLE_T0_8BAR,BASELINE,39,39,9633.999999999987,-4420.000000000045,5213.99999999994,2.1796380090497487,0.5641025641025641,133.69230769230614,34.000000000020236,3098.9999999999895,-1231.9999999999993,40.85897435897386,-20.894871794872017,120.00115000000001,1576.9999999999982,9218.25,21,12,0.5714285714285714,3,3,3,0.32167324060618574,0.32167324060618574,SHORT
C_M1_ACCEPTANCE_8BAR,BASELINE,40,40,7806.000000000068,-1715.0000000000603,6091.000000000008,4.551603498542154,0.65,152.2750000000002,48.00000000000182,1424.0000000000066,-453.00000000000296,30.059999999999935,-18.322499999999735,119.00025833333332,554.0000000000009,4766.75,23,17,0.7391304347826086,4,4,5,0.18242377658211556,0.18242377658211556,LONG
C_M1_ACCEPTANCE_8BAR,BASELINE,18,18,3960.000000000037,-2590.0000000000036,1370.0000000000327,1.528957528957541,0.3888888888888889,76.11111111111293,-100.99999999998488,1289.0000000000157,-658.9999999999918,40.06111111111118,-23.3944444444442,119.0006,1216.0000000000082,1823.5,13,5,0.38461538461538464,2,2,1,0.32550505050505146,0.32550505050505146,SHORT
D_EXECUTABLE_T0_4BAR,BASELINE,75,75,6924.999999999898,-4762.000000000114,2162.9999999997835,1.4542209155816324,0.5066666666666667,28.839999999997115,3.0000000000143245,966.0000000000082,-566.9999999999789,17.742666666666537,-17.46000000000008,60.000083333333336,1046.0000000000207,7257.25,24,15,0.625,3,3,3,0.15350180505415217,0.13949458483754837,LONG
D_EXECUTABLE_T0_4BAR,BASELINE,39,39,8505.99999999997,-3143.000000000001,5362.999999999972,2.7063315303849724,0.5897435897435898,137.5128205128198,72.00000000000273,2680.999999999983,-850.9999999999991,31.79487179487145,-17.10256410256436,59.999916666666664,1047.0000000000255,6048.75,21,11,0.5238095238095238,3,3,2,0.3151892781565944,0.3151892781565944,SHORT
