scenario,trades,net_jpy,pf,positive_folds
B_OBSERVED_ALL,114,12501.99999999978,2.380673660960752,3
B_OBSERVED_EXCLUDE_UNRESOLVED,111,12206.999999999793,2.3720355175901595,3
B_SPREAD_PLUS_1_EXCLUDE_UNRESOLVED,111,11096.999999999793,2.19053749597679,3
B_SEVERE_EXCLUDE_UNRESOLVED,111,9033.000000000142,1.915939971608219,3
