candidate_id,scenario,event_count,trades,gross_profit_jpy,gross_loss_jpy,net_profit_jpy,profit_factor,win_rate,average_pnl_jpy,median_pnl_jpy,maximum_win_jpy,maximum_loss_jpy,average_mfe_pips,average_mae_pips,median_holding_minutes,maximum_drawdown_jpy,recovery_hours,active_months,positive_months,month_breadth,positive_folds,positive_side_fold_cells,positive_session_cells,top_date_concentration,top_event_concentration,extra_spread_pips,slippage_pips_per_execution,entry_delay
B_EXECUTABLE_T0_8BAR,OBSERVED,114,114,21556.999999999898,-9055.00000000012,12501.999999999782,2.380673660960752,0.6228070175438597,109.66666666666475,55.999999999997385,3098.9999999999895,-1231.9999999999993,30.75087719298209,-20.709649122807104,120.00054166666668,1554.9999999999782,6177.5,24,17,0.7083333333333334,3,6,4,0.14375840794173605,0.14375840794173605,0.0,0.0,BASELINE
B_EXECUTABLE_T0_8BAR,SPREAD_PLUS_0_5,114,114,21201.999999999898,-9270.00000000012,11931.999999999782,2.2871628910463455,0.6228070175438597,104.66666666666475,50.999999999997385,3093.9999999999895,-1236.9999999999993,30.75087719298209,-20.709649122807104,120.00054166666668,1684.9999999999782,6177.5,24,17,0.7083333333333334,3,6,4,0.1459296292802568,0.1459296292802568,0.5,0.0,BASELINE
B_EXECUTABLE_T0_8BAR,SPREAD_PLUS_1_0,114,114,20850.99999999991,-9489.000000000127,11361.999999999782,2.197386447465447,0.6052631578947368,99.66666666666475,45.999999999997385,3088.9999999999895,-1241.9999999999993,30.75087719298209,-20.709649122807104,120.00054166666668,1814.9999999999782,7182.0,24,17,0.7083333333333334,3,6,4,0.14814637187664875,0.14814637187664875,1.0,0.0,BASELINE
B_EXECUTABLE_T0_8BAR,SLIPPAGE_0_5,114,114,20850.99999999991,-9489.000000000127,11361.999999999782,2.197386447465447,0.6052631578947368,99.66666666666475,45.999999999997385,3088.9999999999895,-1241.9999999999993,30.75087719298209,-20.709649122807104,120.00054166666668,1814.9999999999782,7182.0,24,17,0.7083333333333334,3,6,4,0.14814637187664875,0.14814637187664875,0.0,0.5,BASELINE
B_EXECUTABLE_T0_8BAR,SLIPPAGE_1_0,114,114,20179.9999999999,-9958.000000000124,10221.999999999782,2.0265113476601377,0.5701754385964912,89.66666666666475,35.999999999997385,3078.9999999999895,-1251.9999999999993,30.75087719298209,-20.709649122807104,120.00054166666668,2074.999999999978,8400.75,24,17,0.7083333333333334,3,6,3,0.15257680872150667,0.15257680872150667,0.0,1.0,BASELINE
B_EXECUTABLE_T0_8BAR,SEVERE,114,114,19737.00000000004,-10047.999999999885,9689.000000000151,1.964271496815313,0.543859649122807,84.99122807017676,25.499999999994998,3066.99999999998,-890.99999999999,30.75087719298209,-20.709649122807104,120.00054166666668,2383.9999999997863,8400.75,24,16,0.6666666666666666,3,5,3,0.15539342351927718,0.15539342351927718,1.0,1.0,FIFTEEN_SECONDS
C_M1_ACCEPTANCE_8BAR,OBSERVED,58,58,11766.000000000106,-4305.000000000064,7461.000000000042,2.7331010452961513,0.5689655172413793,128.63793103448347,39.00000000000148,1424.0000000000066,-658.9999999999918,33.16379310344824,-19.896551724137673,119.00045833333334,1218.9999999999636,7775.0,23,14,0.6086956521739131,3,6,5,0.12102668706442239,0.12102668706442239,0.0,0.0,BASELINE
C_M1_ACCEPTANCE_8BAR,SPREAD_PLUS_0_5,58,58,11601.000000000106,-4430.000000000064,7171.000000000041,2.618735891647842,0.5689655172413793,123.63793103448346,34.00000000000148,1419.0000000000066,-663.9999999999918,33.16379310344824,-19.896551724137673,119.00045833333334,1313.9999999999645,7775.0,23,14,0.6086956521739131,3,6,5,0.12231704163434132,0.12231704163434132,0.5,0.0,BASELINE
C_M1_ACCEPTANCE_8BAR,SPREAD_PLUS_1_0,58,58,11439.0000000001,-4558.000000000058,6881.000000000041,2.5096533567354,0.5517241379310345,118.63793103448346,29.000000000001478,1414.0000000000066,-668.9999999999918,33.16379310344824,-19.896551724137673,119.00045833333334,1408.9999999999645,7966.0,23,14,0.6086956521739131,3,6,4,0.12361220386397362,0.12361220386397362,1.0,0.0,BASELINE
C_M1_ACCEPTANCE_8BAR,SLIPPAGE_0_5,58,58,11439.0000000001,-4558.000000000058,6881.000000000041,2.5096533567354,0.5517241379310345,118.63793103448346,29.000000000001478,1414.0000000000066,-668.9999999999918,33.16379310344824,-19.896551724137673,119.00045833333334,1408.9999999999645,7966.0,23,14,0.6086956521739131,3,6,4,0.12361220386397362,0.12361220386397362,0.0,0.5,BASELINE
