candidate_id,scenario,event_count,trades,gross_profit_jpy,gross_loss_jpy,net_profit_jpy,profit_factor,win_rate,average_pnl_jpy,median_pnl_jpy,maximum_win_jpy,maximum_loss_jpy,average_mfe_pips,average_mae_pips,median_holding_minutes,maximum_drawdown_jpy,recovery_hours,active_months,positive_months,month_breadth,positive_folds,positive_side_fold_cells,positive_session_cells,top_date_concentration,top_event_concentration
A_CSOS_FIXED_BAR,BASELINE,114,114,21788.99999999986,-8941.999999999975,12846.999999999887,2.4367031983896137,0.6228070175438597,112.69298245613936,58.49999999997635,3104.000000000009,-1229.000000000018,,,120.0,1531.9999999999877,6177.5,24,17,0.7083333333333334,3,6,4,0.1424572031759158,0.1424572031759158
B_EXECUTABLE_T0_8BAR,BASELINE,114,114,21556.999999999898,-9055.00000000012,12501.999999999782,2.380673660960752,0.6228070175438597,109.66666666666475,55.999999999997385,3098.9999999999895,-1231.9999999999993,30.75087719298209,-20.709649122807104,120.00054166666668,1554.9999999999782,6177.5,24,17,0.7083333333333334,3,6,4,0.14375840794173605,0.14375840794173605
C_M1_ACCEPTANCE_8BAR,BASELINE,58,58,11766.000000000106,-4305.000000000064,7461.000000000042,2.7331010452961513,0.5689655172413793,128.63793103448347,39.00000000000148,1424.0000000000066,-658.9999999999918,33.16379310344824,-19.896551724137673,119.00045833333334,1218.9999999999636,7775.0,23,14,0.6086956521739131,3,6,5,0.12102668706442239,0.12102668706442239
D_EXECUTABLE_T0_4BAR,BASELINE,114,114,15430.99999999987,-7905.000000000115,7525.999999999754,1.9520556609740225,0.5350877192982456,66.01754385964696,16.49999999999352,2680.999999999983,-850.9999999999991,22.54999999999979,-17.337719298245755,60.00002500000001,1291.0000000000537,4420.75,24,15,0.625,4,6,3,0.1737411703713308,0.1737411703713308
