held_out_fold,selected_candidate,training_gate_passed,training_candidates,held_out_trades,held_out_net_jpy,held_out_pf,held_out_severe_net_jpy,held_out_severe_pf,held_out_best_day_excluded_net_jpy,held_out_top3_excluded_net_jpy
2023H1,B_EXECUTABLE_T0_8BAR,True,"[{""candidate_id"": ""B_EXECUTABLE_T0_8BAR"", ""gate"": true, ""median_hold"": 7200.032, ""median_train_cost_net"": 1702.9999999999347, ""train_pf"": 2.330688192639167}, {""candidate_id"": ""C_M1_ACCEPTANCE_8BAR"", ""gate"": true, ""median_hold"": 7140.022, ""median_train_cost_net"": 243.00000000000182, ""train_pf"": 2.31131809201241}, {""candidate_id"": ""D_EXECUTABLE_T0_4BAR"", ""gate"": true, ""median_hold"": 3600.012, ""median_train_cost_net"": 532.9999999998904, ""train_pf"": 2.2213701431492296}]",21,2776.000000000039,2.589919816723903,2592.0000000000373,2.284440039643236,1816.000000000031,594.9999999999989
2023H2,C_M1_ACCEPTANCE_8BAR,True,"[{""candidate_id"": ""B_EXECUTABLE_T0_8BAR"", ""gate"": true, ""median_hold"": 7200.034, ""median_train_cost_net"": 2461.000000000039, ""train_pf"": 3.242589437819354}, {""candidate_id"": ""C_M1_ACCEPTANCE_8BAR"", ""gate"": true, ""median_hold"": 7140.038, ""median_train_cost_net"": 2635.0000000000264, ""train_pf"": 3.6853195164075374}, {""candidate_id"": ""D_EXECUTABLE_T0_4BAR"", ""gate"": true, ""median_hold"": 3599.995, ""median_train_cost_net"": 532.9999999998904, ""train_pf"": 2.203722504230059}]",17,-312.99999999995975,0.7780141843971912,-909.9999999999204,0.4961240310077875,-613.9999999999759,-1138.9999999999816
2024H1,C_M1_ACCEPTANCE_8BAR,True,"[{""candidate_id"": ""B_EXECUTABLE_T0_8BAR"", ""gate"": true, ""median_hold"": 7200.017, ""median_train_cost_net"": 2461.000000000039, ""train_pf"": 2.3121592493976992}, {""candidate_id"": ""C_M1_ACCEPTANCE_8BAR"", ""gate"": true, ""median_hold"": 7140.022, ""median_train_cost_net"": 2635.0000000000264, ""train_pf"": 2.996029495178646}, {""candidate_id"": ""D_EXECUTABLE_T0_4BAR"", ""gate"": true, ""median_hold"": 3600.0075, ""median_train_cost_net"": 43.999999999980446, ""train_pf"": 2.0823821339950017}]",12,423.0000000000018,1.5430038510911475,67.99999999996885,1.0723404255318802,-46.999999999997044,-555.9999999999832
2024H2,B_EXECUTABLE_T0_8BAR,True,"[{""candidate_id"": ""B_EXECUTABLE_T0_8BAR"", ""gate"": true, ""median_hold"": 7200.061, ""median_train_cost_net"": 1702.9999999999347, ""train_pf"": 1.6996228889981777}, {""candidate_id"": ""C_M1_ACCEPTANCE_8BAR"", ""gate"": true, ""median_hold"": 7140.0, ""median_train_cost_net"": 243.00000000000182, ""train_pf"": 1.991189427312791}, {""candidate_id"": ""D_EXECUTABLE_T0_4BAR"", ""gate"": true, ""median_hold"": 3599.9965, ""median_train_cost_net"": 43.999999999980446, ""train_pf"": 1.2976917854717962}]",28,8234.999999999842,3.7858592692827187,7612.999999999945,3.738489208633058,5135.999999999853,2332.999999999828
