candidate_id,scenario,event_count,trades,gross_profit_jpy,gross_loss_jpy,net_profit_jpy,profit_factor,win_rate,average_pnl_jpy,median_pnl_jpy,maximum_win_jpy,maximum_loss_jpy,average_mfe_pips,average_mae_pips,median_holding_minutes,maximum_drawdown_jpy,recovery_hours,active_months,positive_months,month_breadth,positive_folds,positive_side_fold_cells,positive_session_cells,top_date_concentration,top_event_concentration
B_EXECUTABLE_T0_8BAR,BASELINE,114,114,21556.999999999898,-9055.00000000012,12501.999999999782,2.380673660960752,0.6228070175438597,109.66666666666475,55.999999999997385,3098.9999999999895,-1231.9999999999993,30.75087719298209,-20.709649122807104,120.00054166666668,1554.9999999999782,6177.5,24,17,0.7083333333333334,3,6,4,0.14375840794173605,0.14375840794173605
B_EXECUTABLE_T0_8BAR,REMOVE_TOP_1_EVENTS,113,113,18457.999999999913,-9055.00000000012,9402.999999999793,2.038431805632211,0.6194690265486725,83.21238938052913,55.00000000000682,1432.0000000000164,-1231.9999999999993,27.92920353982263,-20.82566371681425,120.00055,1554.9999999999782,6177.5,24,17,0.7083333333333334,3,6,4,0.07427673637447263,0.07758153646115631
B_EXECUTABLE_T0_8BAR,REMOVE_TOP_3_EVENTS,111,111,15654.999999999887,-9055.00000000012,6599.999999999769,1.7288790723356908,0.6126126126126126,59.45945945945738,54.000000000002046,1140.0000000000148,-1231.9999999999993,25.52252252252212,-21.102702702702786,120.00056666666666,1554.9999999999782,6177.5,24,17,0.7083333333333334,3,6,4,0.07282018524433236,0.07282018524433236
B_EXECUTABLE_T0_8BAR,REMOVE_TOP_5_EVENTS,109,109,13554.999999999865,-9055.00000000012,4499.999999999744,1.496963003865233,0.6055045871559633,41.28440366972242,42.00000000000159,674.999999999983,-1231.9999999999993,23.882568807339037,-21.459633027523036,120.00056666666666,1554.9999999999784,6177.5,24,17,0.7083333333333334,3,5,4,0.049797122832902226,0.049797122832902226
B_EXECUTABLE_T0_8BAR,REMOVE_BEST_DAY,113,113,18457.999999999913,-9055.00000000012,9402.999999999793,2.038431805632211,0.6194690265486725,83.21238938052913,55.00000000000682,1432.0000000000164,-1231.9999999999993,27.929203539822637,-20.82566371681425,120.00055,1554.9999999999782,6177.5,24,17,0.7083333333333334,3,6,4,0.07427673637447263,0.07758153646115631
B_EXECUTABLE_T0_8BAR,REMOVE_BEST_MONTH,108,108,16504.999999999913,-8620.000000000116,7884.999999999791,1.9147331786542563,0.6203703703703703,73.00925925925732,54.500000000004434,1432.0000000000164,-1231.9999999999993,26.777777777777374,-20.905555555555637,120.00055833333333,1554.9999999999782,6177.5,23,16,0.6956521739130435,3,5,4,0.08064222962738711,0.0867615873977597
B_EXECUTABLE_T0_8BAR,REMOVE_TOP_DECILE_WINS,106,106,11658.999999999853,-9055.00000000012,2603.9999999997294,1.287575924903335,0.5943396226415094,24.566037735846503,37.50000000000853,576.9999999999982,-1231.9999999999993,22.480188679244858,-21.942452830188774,120.0007,1554.9999999999784,6177.5,24,15,0.625,3,4,4,0.04948966463676177,0.04948966463676177
B_EXECUTABLE_T0_8BAR,REMOVE_SESSION_LONDON,98,98,19851.99999999986,-8127.000000000094,11724.999999999767,2.442721791558956,0.6224489795918368,119.64285714285477,54.500000000004434,3098.9999999999895,-1231.9999999999993,32.40918367346897,-21.010204081632775,120.0007,1741.999999999991,7182.0,24,16,0.6666666666666666,3,6,3,0.15610517831956533,0.15610517831956533
B_EXECUTABLE_T0_8BAR,REMOVE_SESSION_LONDON_NY_OVERLAP,62,62,12571.999999999889,-5435.000000000145,7136.999999999745,2.313155473780967,0.6451612903225806,115.11290322580234,77.50000000000057,3098.9999999999895,-1231.9999999999993,30.49677419354786,-21.488709677419504,120.000125,1231.999999999999,2356.5,23,16,0.6956521739130435,3,6,3,0.24650015908367937,0.24650015908367937
B_EXECUTABLE_T0_8BAR,REMOVE_SESSION_NEW_YORK,99,99,20160.999999999913,-7865.0000000000655,12295.999999999849,2.5633820724729492,0.6262626262626263,124.20202020201867,56.99999999998795,3098.9999999999895,-1231.9999999999993,32.64848484848451,-21.134343434343524,120.00053333333334,1455.999999999961,6177.5,24,17,0.7083333333333334,3,6,3,0.153712613461634,0.153712613461634
B_EXECUTABLE_T0_8BAR,REMOVE_SESSION_TOKYO,87,87,12718.000000000018,-7334.00000000006,5383.999999999958,1.7341150804472203,0.5977011494252874,61.885057471263885,32.00000000001069,1371.0000000000093,-1231.9999999999993,26.89310344827559,-21.49195402298848,120.00056666666666,1350.999999999999,8400.75,24,16,0.6666666666666666,3,5,3,0.1077999685485145,0.1077999685485145
B_EXECUTABLE_T0_8BAR,REMOVE_SESSION_TRANSITION,110,110,20924.999999999924,-7459.000000000116,13465.999999999809,2.805335835902882,0.6272727272727273,122.41818181818009,55.999999999997385,3098.9999999999895,-629.9999999999955,30.759999999999682,-19.001818181818273,120.00054166666668,1190.9999999999736,4803.25,24,17,0.7083333333333334,3,7,4,0.14810035842293912,0.14810035842293912
B_EXECUTABLE_T0_8BAR,REMOVE_SIDE_LONG,39,39,9633.999999999987,-4420.000000000045,5213.99999999994,2.1796380090497487,0.5641025641025641,133.69230769230614,34.000000000020236,3098.9999999999895,-1231.9999999999993,40.85897435897386,-20.894871794872017,120.00115000000001,1576.9999999999982,9218.25,21,12,0.5714285714285714,3,3,3,0.32167324060618574,0.32167324060618574
B_EXECUTABLE_T0_8BAR,REMOVE_SIDE_SHORT,75,75,11922.999999999916,-4635.000000000076,7287.99999999984,2.5723840345198963,0.6533333333333333,97.1733333333312,72.00000000000273,1432.0000000000164,-629.9999999999955,25.494666666666376,-20.613333333333344,120.00033333333334,866.99999999999,2618.5,24,19,0.7916666666666666,3,3,5,0.11163297827728144,0.12010400067097429
B_EXECUTABLE_T0_8BAR,REMOVE_FOLD_2023H1,93,93,17034.9999999998,-7309.000000000055,9725.999999999744,2.330688192639167,0.6129032258064516,104.58064516128756,56.99999999998795,3098.9999999999895,-1231.9999999999993,30.05591397849423,-20.505376344086134,120.00053333333334,1554.9999999999784,6177.5,18,12,0.6666666666666666,2,4,4,0.18191957734077052,0.18191957734077052
B_EXECUTABLE_T0_8BAR,REMOVE_FOLD_2023H2,79,79,19033.999999999898,-5870.00000000009,13163.999999999816,3.242589437819354,0.6835443037974683,166.63291139240275,78.99999999997931,3098.9999999999895,-1231.9999999999993,35.71898734177182,-21.126582278481152,120.00056666666666,1231.999999999999,481.75,18,15,0.8333333333333334,3,6,4,0.16281391194704245,0.16281391194704245
B_EXECUTABLE_T0_8BAR,REMOVE_FOLD_2024H1,84,84,18235.999999999985,-7887.000000000143,10348.999999999849,2.3121592493976992,0.6071428571428571,123.20238095237916,37.50000000000853,3098.9999999999895,-1231.9999999999993,34.53333333333297,-21.580952380952432,120.00028333333333,2370.0000000000045,8400.75,18,12,0.6666666666666666,2,4,3,0.16993858302259224,0.16993858302259224
B_EXECUTABLE_T0_8BAR,REMOVE_FOLD_2024H2,86,86,10366.000000000013,-6099.000000000075,4266.99999999994,1.6996228889981777,0.5930232558139535,49.61627906976674,33.00000000001546,960.000000000008,-629.9999999999955,23.244186046511274,-19.696511627907004,120.00101666666666,1554.9999999999782,6177.5,18,12,0.6666666666666666,2,4,5,0.09261045726413339,0.09261045726413339
C_M1_ACCEPTANCE_8BAR,BASELINE,58,58,11766.000000000106,-4305.000000000064,7461.000000000042,2.7331010452961513,0.5689655172413793,128.63793103448347,39.00000000000148,1424.0000000000066,-658.9999999999918,33.16379310344824,-19.896551724137673,119.00045833333334,1218.9999999999636,7775.0,23,14,0.6086956521739131,3,6,5,0.12102668706442239,0.12102668706442239
C_M1_ACCEPTANCE_8BAR,REMOVE_TOP_1_EVENTS,57,57,10342.000000000098,-4305.000000000064,6037.000000000035,2.4023228803716483,0.5614035087719298,105.912280701755,38.000000000010914,1289.0000000000157,-658.9999999999918,31.14736842105262,-20.09473684210498,119.0005,1218.9999999999636,7775.0,22,13,0.5909090909090909,3,6,5,0.12463740088957682,0.12463740088957682
C_M1_ACCEPTANCE_8BAR,REMOVE_TOP_3_EVENTS,55,55,7990.000000000067,-4305.000000000064,3685.0000000000027,1.8559814169570148,0.5454545454545454,67.00000000000004,21.99999999999136,941.0000000000025,-658.9999999999918,27.15090909090902,-20.621818181817897,119.0005,1218.9999999999636,7775.0,22,13,0.5909090909090909,3,5,5,0.11777221526908568,0.11777221526908568
C_M1_ACCEPTANCE_8BAR,REMOVE_TOP_5_EVENTS,53,53,6401.000000000067,-4305.000000000064,2096.0000000000036,1.4868757259001097,0.5283018867924528,39.54716981132082,13.00000000000523,586.0000000000127,-658.9999999999918,24.805660377358418,-21.23018867924498,119.0005,1218.999999999965,8639.0,22,13,0.5909090909090909,3,5,4,0.0915481955944394,0.0915481955944394
C_M1_ACCEPTANCE_8BAR,REMOVE_BEST_DAY,57,57,10342.000000000098,-4305.000000000064,6037.000000000034,2.4023228803716483,0.5614035087719298,105.91228070175498,38.000000000010914,1289.0000000000157,-658.9999999999918,31.14736842105262,-20.09473684210498,119.0005,1218.9999999999636,7775.0,22,13,0.5909090909090909,3,6,5,0.12463740088957682,0.12463740088957682
C_M1_ACCEPTANCE_8BAR,REMOVE_BEST_MONTH,54,54,9943.000000000098,-4171.000000000049,5772.000000000047,2.383840805562211,0.5555555555555556,106.88888888888977,30.000000000001137,1424.0000000000066,-658.9999999999918,30.99629629629625,-20.40740740740711,119.00045833333334,1218.9999999999636,7775.0,22,13,0.5909090909090909,3,5,5,0.14321633309866164,0.14321633309866164
C_M1_ACCEPTANCE_8BAR,REMOVE_TOP_DECILE_WINS,54,54,7049.000000000062,-4305.000000000064,2744.0,1.63739837398373,0.5370370370370371,50.81481481481482,17.499999999998295,647.9999999999961,-658.9999999999918,25.72777777777773,-20.935185185184878,119.0005,1218.999999999965,7775.0,22,13,0.5909090909090909,3,5,4,0.09192793304014618,0.09192793304014618
C_M1_ACCEPTANCE_8BAR,REMOVE_SESSION_LONDON,53,53,11385.000000000107,-4023.0000000000814,7362.000000000023,2.829977628635316,0.5660377358490566,138.9056603773589,38.000000000010914,1424.0000000000066,-658.9999999999918,34.41886792452823,-20.547169811320515,119.0005,1251.9999999999802,5794.5,23,14,0.6086956521739131,3,6,4,0.12507685551163752,0.12507685551163752
C_M1_ACCEPTANCE_8BAR,REMOVE_SESSION_LONDON_NY_OVERLAP,27,27,4652.000000000044,-2320.00000000005,2331.9999999999936,2.005172413793079,0.5555555555555556,86.37037037037014,45.99999999999227,1424.0000000000066,-658.9999999999918,28.011111111111067,-21.43333333333304,118.99955,670.9999999999923,6089.75,17,7,0.4117647058823529,3,4,4,0.30610490111779737,0.30610490111779737
C_M1_ACCEPTANCE_8BAR,REMOVE_SESSION_NEW_YORK,48,48,10625.000000000087,-3790.0000000000205,6835.000000000065,2.8034300791556808,0.5416666666666666,142.39583333333468,30.000000000001137,1424.0000000000066,-658.9999999999918,35.63333333333336,-20.672916666666374,119.00045833333334,1344.999999999998,5985.5,21,12,0.5714285714285714,2,5,4,0.13402352941176424,0.13402352941176424
C_M1_ACCEPTANCE_8BAR,REMOVE_SESSION_TOKYO,49,49,9106.000000000082,-3236.000000000047,5870.000000000034,2.813967861557463,0.5918367346938775,119.79591836734762,39.99999999999204,1289.0000000000157,-453.00000000000296,32.10816326530607,-19.551020408163,119.00051666666667,1321.9999999999739,7775.0,22,13,0.5909090909090909,3,6,4,0.1415550186690099,0.1415550186690099
C_M1_ACCEPTANCE_8BAR,REMOVE_SESSION_TRANSITION,55,55,11296.000000000106,-3851.000000000056,7445.000000000049,2.9332640872500497,0.5818181818181818,135.36363636363726,39.99999999999204,1424.0000000000066,-658.9999999999918,33.26909090909091,-18.14545454545432,119.0005,956.9999999999936,1311.5,23,13,0.5652173913043478,3,6,4,0.12606232294617503,0.12606232294617503
C_M1_ACCEPTANCE_8BAR,REMOVE_SIDE_LONG,18,18,3960.000000000037,-2590.0000000000036,1370.0000000000327,1.528957528957541,0.3888888888888889,76.11111111111293,-100.99999999998488,1289.0000000000157,-658.9999999999918,40.06111111111118,-23.3944444444442,119.0006,1216.0000000000082,1823.5,13,5,0.38461538461538464,2,2,1,0.32550505050505146,0.32550505050505146
C_M1_ACCEPTANCE_8BAR,REMOVE_SIDE_SHORT,40,40,7806.000000000068,-1715.0000000000603,6091.000000000008,4.551603498542154,0.65,152.2750000000002,48.00000000000182,1424.0000000000066,-453.00000000000296,30.059999999999935,-18.322499999999735,119.00025833333332,554.0000000000009,4766.75,23,17,0.7391304347826086,4,4,5,0.18242377658211556,0.18242377658211556
C_M1_ACCEPTANCE_8BAR,REMOVE_FOLD_2023H1,46,46,8189.00000000005,-3543.000000000035,4646.000000000015,2.31131809201241,0.5434782608695652,101.00000000000031,30.000000000001137,1424.0000000000066,-658.9999999999918,31.515217391304443,-20.473913043477904,119.00036666666666,1218.9999999999657,7775.0,17,10,0.5882352941176471,2,4,4,0.17389180608132834,0.17389180608132834
C_M1_ACCEPTANCE_8BAR,REMOVE_FOLD_2023H2,41,41,10669.00000000007,-2895.0000000000673,7774.000000000001,3.6853195164075374,0.6341463414634146,189.609756097561,60.000000000002274,1424.0000000000066,-658.9999999999918,37.424390243902565,-20.731707317072892,119.00063333333333,956.9999999999936,1311.5,18,11,0.6111111111111112,3,5,5,0.13347080326178623,0.13347080326178623
C_M1_ACCEPTANCE_8BAR,REMOVE_FOLD_2024H1,46,46,10564.000000000107,-3526.0000000000673,7038.000000000038,2.996029495178646,0.5652173913043478,153.00000000000082,30.9999999999917,1424.0000000000066,-658.9999999999918,36.44999999999981,-18.626086956521643,119.00036666666666,956.9999999999936,1311.5,17,11,0.6470588235294118,2,5,4,0.1347974252177198,0.1347974252177198
C_M1_ACCEPTANCE_8BAR,REMOVE_FOLD_2024H2,41,41,5876.000000000091,-2951.0000000000223,2925.000000000068,1.991189427312791,0.5365853658536586,71.34146341463581,13.00000000000523,941.0000000000025,-453.00000000000296,27.06585365853647,-19.83902439024359,119.0,1218.9999999999636,6747.25,17,10,0.5882352941176471,2,4,5,0.16014295439073994,0.16014295439073994
D_EXECUTABLE_T0_4BAR,BASELINE,114,114,15430.99999999987,-7905.000000000115,7525.999999999754,1.9520556609740225,0.5350877192982456,66.01754385964696,16.49999999999352,2680.999999999983,-850.9999999999991,22.54999999999979,-17.337719298245755,60.00002500000001,1291.0000000000537,4420.75,24,15,0.625,4,6,3,0.1737411703713308,0.1737411703713308
