trades,net,pf,win_rate,median,gross_profit,gross_loss,mdd,mean_mfe_pips,mean_mae_pips,profit_then_giveback_rate,immediate_failure_rate,timeout_truncation_rate,positive_months,month
3,1111.0000000000184,3.3638297872340877,0.6666666666666666,621.0000000000093,1581.0000000000173,-469.99999999999886,469.99999999999886,81.36666666666675,-18.533333333332774,0.0,0.0,0.0,1,2023-01
4,-630.0000000000239,0.30309734513273606,0.25,-237.50000000001137,274.0000000000009,-904.0000000000248,429.00000000000205,16.124999999999545,-31.425000000000125,0.0,0.0,0.0,0,2023-02
3,275.999999999982,2.559322033898019,0.6666666666666666,55.00000000000682,453.0000000000029,-177.00000000002092,0.0,21.966666666665446,-50.30000000000049,0.3333333333333333,0.0,0.0,1,2023-03
2,692.0000000000357,,1.0,346.00000000001785,692.0000000000357,0.0,0.0,41.05000000000132,-5.649999999998556,0.5,0.0,0.0,1,2023-04
6,365.0000000000091,3.9918032786882534,0.8333333333333334,9.000000000014552,487.0000000000232,-122.0000000000141,122.0000000000141,22.066666666666396,-12.183333333333715,0.5,0.0,0.0,1,2023-05
3,962.0000000000175,14.178082191779707,0.6666666666666666,487.0000000000232,1035.000000000025,-73.0000000000075,73.0000000000075,40.46666666666662,-12.433333333333016,0.0,0.0,0.0,1,2023-06
8,351.99999999997544,1.8822055137843348,0.5,4.999999999995451,751.0000000000048,-399.00000000002933,201.99999999999815,20.29999999999994,-14.362499999999656,0.25,0.0,0.0,1,2023-07
5,-137.0000000000004,0.8252551020408139,0.6,78.99999999997931,646.9999999999914,-783.9999999999918,482.9999999999756,20.85999999999956,-25.339999999999918,0.2,0.0,0.0,0,2023-08
7,-36.000000000001364,0.8980169971671375,0.5714285714285714,32.00000000001069,317.0000000000073,-353.00000000000864,353.00000000000864,11.542857142856633,-19.028571428571336,0.14285714285714285,0.0,0.0,0,2023-09
4,279.0000000000248,5.359375000000868,0.75,25.500000000008075,343.00000000001774,-63.99999999999295,63.99999999999295,13.599999999999568,-11.374999999999602,0.5,0.0,0.0,1,2023-10
7,-433.00000000004957,0.5178173719375971,0.42857142857142855,-52.00000000002092,464.999999999975,-898.0000000000246,629.9999999999955,14.071428571427955,-23.08571428571489,0.14285714285714285,0.0,0.0,0,2023-11
4,-686.9999999999834,0.0,0.0,-153.99999999999636,0.0,-686.9999999999834,466.99999999998454,45.84999999999937,-27.499999999999858,0.5,0.0,0.0,0,2023-12
6,677.9999999999688,2.7889182058047113,0.6666666666666666,66.49999999999068,1056.9999999999595,-378.9999999999907,183.9999999999975,30.783333333332525,-22.95000000000063,0.16666666666666666,0.16666666666666666,0.0,1,2024-01
5,118.99999999999977,1.739130434782601,0.4,-21.000000000015007,280.00000000000114,-161.00000000000136,161.00000000000136,8.559999999999377,-15.720000000000027,0.0,0.0,0.0,1,2024-02
3,329.9999999999841,,1.0,109.99999999998522,329.9999999999841,0.0,0.0,23.30000000000041,-3.633333333333629,0.6666666666666666,0.0,0.0,1,2024-03
7,-43.00000000000635,0.865203761755461,0.5714285714285714,16.999999999995907,275.99999999998204,-318.9999999999884,179.00000000000205,9.171428571428512,-19.114285714285625,0.42857142857142855,0.0,0.0,0,2024-04
6,608.0000000000041,2.9676375404531035,0.6666666666666666,88.50000000001046,917.0000000000016,-308.9999999999975,161.99999999997772,28.283333333332905,-25.533333333333037,0.3333333333333333,0.0,0.0,1,2024-05
3,460.99999999998437,,1.0,56.99999999998795,460.99999999998437,0.0,0.0,24.499999999999506,-11.300000000000901,0.3333333333333333,0.0,0.0,1,2024-06
5,241.99999999996203,1.1964285714285408,0.8,139.99999999998636,1473.9999999999611,-1231.999999999999,1231.999999999999,42.95999999999992,-36.17999999999995,0.2,0.0,0.0,1,2024-07
2,1608.000000000004,,1.0,804.000000000002,1608.000000000004,0.0,0.0,87.44999999999976,-9.449999999999648,0.0,0.0,0.0,1,2024-08
6,4616.999999999989,11.613793103448197,0.6666666666666666,290.9999999999968,5051.999999999992,-435.0000000000023,435.0000000000023,102.26666666666706,-17.183333333333433,0.16666666666666666,0.16666666666666666,0.0,1,2024-09
6,436.99999999992656,2.259365994235966,0.6666666666666666,57.999999999992724,783.9999999999634,-347.00000000003683,347.00000000003683,27.699999999999154,-23.13333333333342,0.3333333333333333,0.0,0.0,1,2024-10
3,1784.9999999999966,18.6732673267328,0.6666666666666666,453.9999999999793,1885.9999999999957,-100.99999999999908,100.99999999999909,75.23333333333255,-23.23333333333437,0.0,0.0,0.0,1,2024-11
6,-454.00000000003615,0.46016646848985526,0.6666666666666666,59.99999999998806,386.99999999997203,-841.0000000000082,225.9999999999991,18.566666666665792,-25.933333333334,0.3333333333333333,0.0,0.0,0,2024-12
3,1275.0,24.61111111111111,0.6666666666666666,376.0,1329.0,-54.0,54.0,82.73333333333237,-15.966666666667114,0.3333333333333333,0.0,0.0,1,2025-01
3,499.0,2.782142857142857,0.3333333333333333,-89.0,779.0,-280.0,191.0,32.89999999999983,-13.500000000000037,0.3333333333333333,0.0,0.0,1,2025-02
1,137.0,,1.0,137.0,137.0,0.0,0.0,20.300000000000296,-0.6000000000000227,0.0,0.0,0.0,1,2025-03
