feature,group_a,group_b,n_a,n_b,mean_a,mean_b,standardized_mean_difference,ks_statistic,ks_pvalue,wasserstein_distance,mean_difference_bootstrap_ci95_low,mean_difference_bootstrap_ci95_high
shock_magnitude_pips,2023H2,2025H1+2025H2,35,47,26.508571428571486,32.54468085106376,0.4407909565812839,0.2790273556231003,0.07065381932216457,6.036109422492267,0.5748206686928415,11.73836322188461
shock_ratio,2023H2,2025H1+2025H2,35,47,3.2780079455792794,3.393185635910916,0.10973731123784611,0.2796352583586626,0.07016574711157861,0.3664539465878324,-0.35424226425873634,0.5600224938123626
shock_duration_bars,2023H2,2025H1+2025H2,35,47,2.057142857142857,2.0851063829787235,0.016728390663528065,0.09787234042553192,0.9751017218304437,0.20911854103343464,-0.7648480243161095,0.7526139817629176
atr14_pips,2023H2,2025H1+2025H2,35,47,14.736530612244984,15.186018237082038,0.06830997256485374,0.17142857142857143,0.5273172978579946,1.0958706035603591,-2.5671514329136285,3.1182013677807427
atr_percentile_20d,2023H2,2025H1+2025H2,35,47,0.7839955357142857,0.7016590668392941,-0.34633406480153,0.2480243161094225,0.1340004321693264,0.08522211636917951,-0.18089628682916262,0.008189446564850813
prior_4h_return_pips,2023H2,2025H1+2025H2,35,47,-33.15714285714274,-13.944680851063472,0.28244927415881144,0.1702127659574468,0.5292735274181724,22.168328267477293,-8.158161094224592,50.7499908814591
prior_24h_return_pips,2023H2,2025H1+2025H2,35,47,-47.50857142857156,-10.446808510637867,0.334794291363539,0.2048632218844985,0.30873857519853076,40.56741641337433,-7.3522705167167,84.59089513677861
directional_persistence_4h,2023H2,2025H1+2025H2,35,47,0.21428571428571427,0.21010638297872342,-0.028467186530946004,0.06990881458966565,0.9996131114630192,0.021884498480243163,-0.06668218085106384,0.0572767857142856
directional_autocorr_24h,2023H2,2025H1+2025H2,35,47,0.040942519000328394,-0.02022808481780478,-0.40430664816966444,0.23890577507598784,0.16564850232972847,0.06153503597851313,-0.12439863278140106,0.0031096149179781663
distance_prior_day_high_pips,2023H2,2025H1+2025H2,35,47,-89.322857142857,-57.62553191489333,0.292973940381505,0.19696048632218846,0.35486524201665254,31.924559270516763,-14.16121428571451,76.69093313069946
distance_prior_day_low_pips,2023H2,2025H1+2025H2,35,47,23.885714285714243,53.64680851063847,0.2814592140479632,0.25349544072948327,0.12147559632620707,32.45410334346493,-17.214085106382907,75.22963677811588
gap_from_prior_close_pips,2023H2,2025H1+2025H2,35,47,-19.8000000000001,-4.380851063829722,0.19454661052883024,0.15927051671732523,0.6188563973659278,20.502796352583868,-18.329060790273115,47.205782674772585
time_since_previous_shock_minutes,2023H2,2025H1+2025H2,35,47,153.85714285714286,356.48936170212767,0.4100856540356053,0.28936170212765955,0.05276261946534076,202.6322188449848,24.97112462006081,418.55949848024295
shock_count_prior_24h,2023H2,2025H1+2025H2,35,47,6.714285714285714,5.340425531914893,-0.33447952834238776,0.19696048632218846,0.35486524201665254,1.3738601823708207,-3.12951367781155,0.3927507598784185
mfe_pips,2023H2,2025H1+2025H2,35,47,19.537142857142435,22.142553191489686,0.12260534487402218,0.0851063829787234,0.9941738815616264,3.6332522796355886,-5.816223404254442,11.783844984802629
mae_pips,2023H2,2025H1+2025H2,35,47,-19.76857142857138,-24.8617021276597,-0.2546536442842967,0.15562310030395138,0.6386124052258477,6.999270516717106,-13.261323708207188,2.8654878419452894
profit_giveback_pips,2023H2,2025H1+2025H2,35,47,21.428571428571104,24.880851063830242,0.13971877044951572,0.139209726443769,0.7668898882385221,4.356960486322659,-7.038392097263422,14.135714285714734
shock_magnitude_pips,2023H1+2024H1+2024H2,2025H1+2025H2,79,47,31.26708860759504,32.54468085106376,0.07781616090691443,0.1473202262321573,0.4847698928648207,3.228036628063249,-4.563288446000859,7.1439341502827425
shock_ratio,2023H1+2024H1+2024H2,2025H1+2025H2,79,47,3.605567628682087,3.393185635910916,-0.12531357638566368,0.13708591435496903,0.578752504350042,0.3706645198417685,-0.7752617545062063,0.26822446114066323
shock_duration_bars,2023H1+2024H1+2024H2,2025H1+2025H2,79,47,2.240506329113924,2.0851063829787235,-0.09858774604075202,0.16940479396714248,0.31999527353787627,0.30245084837058983,-0.7029827632642067,0.45896848909237775
