trades,net,pf,win_rate,median,gross_profit,gross_loss,mdd,mean_mfe_pips,mean_mae_pips,profit_then_giveback_rate,immediate_failure_rate,timeout_truncation_rate,positive_months,scenario
47,-1277.0,0.7972372181644967,0.40425531914893614,-47.0,5021.0,-6298.0,3214.0,22.142553191489686,-24.8617021276597,0.2553191489361702,0.0,0.0,5,BASELINE
46,-350.0,0.9348352262148576,0.41304347826086957,-43.0,5021.0,-5371.0,4669.0,22.530434782609014,-23.38043478260881,0.2608695652173913,0.0,0.0,6,REMOVE_WORST_1_TRADES
44,995.0,1.247143566815698,0.4318181818181818,-36.0,5021.0,-4026.0,3465.0,22.545454545454906,-20.636363636363665,0.2727272727272727,0.0,0.0,6,REMOVE_WORST_3_TRADES
42,2090.0,1.7130672125554418,0.4523809523809524,-24.5,5021.0,-2931.0,2593.0,23.266666666666985,-18.864285714285717,0.2857142857142857,0.0,0.0,7,REMOVE_WORST_5_TRADES
46,-575.0,0.8972480343102216,0.41304347826086957,-43.0,5021.0,-5596.0,2512.0,22.11956521739164,-23.35869565217398,0.2608695652173913,0.0,0.0,5,REMOVE_WORST_DAY
43,68.0,1.0143550770529872,0.4186046511627907,-39.0,4805.0,-4737.0,1869.0,22.260465116279473,-21.15813953488375,0.27906976744186046,0.0,0.0,5,REMOVE_WORST_MONTH
23,-1375.0,0.6438746438746439,0.4782608695652174,-16.0,2486.0,-3861.0,2154.0,19.626086956522155,-28.17391304347859,0.30434782608695654,0.0,0.0,4,REMOVE_SIDE_LONG
24,98.0,1.0402133771029956,0.3333333333333333,-53.0,2535.0,-2437.0,1387.0,24.554166666666905,-21.687499999999932,0.20833333333333334,0.0,0.0,4,REMOVE_SIDE_SHORT
40,1124.0,1.297511911064055,0.425,-36.0,4902.0,-3778.0,1641.0,24.172500000000312,-21.737500000000125,0.275,0.0,0.0,7,REMOVE_SESSION_LONDON
33,-2158.0,0.5379014989293361,0.3333333333333333,-54.0,2512.0,-4670.0,2829.0,19.615151515151727,-24.318181818181923,0.24242424242424243,0.0,0.0,4,REMOVE_SESSION_LONDON_NY_OVERLAP
41,-1296.0,0.786771964461994,0.4146341463414634,-52.0,4782.0,-6078.0,3249.0,23.731707317073493,-26.99268292682942,0.21951219512195122,0.0,0.0,5,REMOVE_SESSION_NEW_YORK
32,-1607.0,0.6681808796200702,0.4375,-27.5,3236.0,-4843.0,2962.0,19.38750000000047,-27.231250000000085,0.25,0.0,0.0,3,REMOVE_SESSION_TOKYO
42,-1171.0,0.7989009101837541,0.40476190476190477,-43.0,4652.0,-5823.0,2971.0,22.742857142857464,-24.378571428571576,0.2857142857142857,0.0,0.0,4,REMOVE_SESSION_TRANSITION
