trades,net,pf,win_rate,median,gross_profit,gross_loss,mdd,mean_mfe_pips,mean_mae_pips,profit_then_giveback_rate,immediate_failure_rate,timeout_truncation_rate,positive_months,fold,session
3,247.0000000000141,3.024590163934308,0.6666666666666666,92.00000000001296,369.0000000000282,-122.0000000000141,122.0000000000141,23.00000000000087,-11.099999999999,0.3333333333333333,0.0,0.0,2,2023H1,LONDON
9,1648.000000000053,3.427098674521426,0.7777777777777778,55.00000000000682,2327.000000000055,-679.000000000002,209.0000000000032,41.75555555555535,-23.70000000000011,0.3333333333333333,0.0,0.0,5,2023H1,LONDON_NY_OVERLAP
5,-588.0000000000223,0.32568807339450273,0.4,-177.00000000002092,284.00000000002024,-872.0000000000425,606.000000000023,15.679999999999268,-29.180000000000064,0.2,0.0,0.0,1,2023H1,NEW_YORK
4,1468.999999999994,21.123287671230727,0.75,290.9999999999968,1542.0000000000016,-73.0000000000075,73.0000000000075,46.79999999999964,-15.350000000000108,0.0,0.0,0.0,3,2023H1,TOKYO
5,187.00000000001182,1.7391304347826135,0.6,34.00000000002024,440.00000000002615,-253.00000000001432,158.00000000001546,15.699999999999932,-12.339999999999804,0.2,0.0,0.0,1,2023H2,LONDON
17,-278.99999999996794,0.8065187239944716,0.47058823529411764,-14.999999999986358,1163.000000000011,-1441.9999999999789,712.9999999999654,23.094117647058585,-21.8882352941175,0.29411764705882354,0.0,0.0,2,2023H2,LONDON_NY_OVERLAP
5,31.999999999982293,1.1006289308175505,0.4,-52.00000000002092,349.9999999999943,-318.00000000001205,99.00000000001796,17.019999999998845,-12.599999999999909,0.2,0.0,0.0,1,2023H2,NEW_YORK
6,-317.0000000000357,0.6076732673266988,0.5,16.49999999999352,490.99999999998545,-808.0000000000211,629.9999999999955,12.083333333333238,-24.333333333333467,0.16666666666666666,0.0,0.0,2,2023H2,TOKYO
2,-285.000000000025,0.21703296703290761,0.5,-142.5000000000125,78.99999999997931,-364.0000000000043,364.0000000000043,27.549999999997965,-24.550000000000693,0.5,0.0,0.0,1,2023H2,TRANSITION
3,343.00000000001774,,1.0,109.99999999998522,343.00000000001774,0.0,0.0,26.566666666666567,-5.833333333332765,0.6666666666666666,0.0,0.0,3,2024H1,LONDON
12,-815.9999999999741,0.2301886792452885,0.3333333333333333,-105.49999999999216,243.99999999999977,-1059.9999999999739,734.9999999999852,6.558333333333148,-22.52500000000026,0.16666666666666666,0.08333333333333333,0.0,2,2024H1,LONDON_NY_OVERLAP
4,602.9999999999802,,1.0,90.00000000000341,602.9999999999802,0.0,0.0,22.30000000000061,-8.899999999999864,0.25,0.0,0.0,4,2024H1,NEW_YORK
