portfolio_id,period,trades,net_jpy,gross_profit_jpy,gross_loss_jpy,profit_factor,win_rate,average_trade_jpy,median_trade_jpy,realized_drawdown_jpy,minimum_realized_equity_jpy,maximum_consecutive_losses,longest_realized_underwater_hours,top_1_winner_removal_net_jpy,top_3_winner_removal_net_jpy,top_5_winner_removal_net_jpy,modified_trades
P0_B02_BASELINE_F05_BASELINE,2020H1,440,20583.999999999847,69575.99999999997,-48992.00000000012,1.4201502286087484,0.5045454545454545,46.78181818181783,9.99999999999801,6394.000000000029,97430.00000000001,10,1962.75064,18536.99999999985,15605.999999999853,12913.999999999858,0
P0_B02_BASELINE_F05_BASELINE,2020H2,490,482.0000000002001,44752.00000000006,-44269.99999999987,1.010887734357357,0.4489795918367347,0.9836734693881635,-14.500000000005286,7577.999999999884,98657.00000000004,14,1771.749398611111,-1316.9999999997922,-4637.999999999791,-6534.999999999782,0
P0_B02_BASELINE_F05_BASELINE,2021H1,450,-2687.9999999999736,39244.99999999994,-41932.99999999993,0.9358977416354664,0.4822222222222222,-5.973333333333275,-7.000000000005002,8894.000000000087,96486.99999999997,12,2729.758146111111,-3378.999999999962,-4540.999999999968,-5636.999999999957,0
P0_B02_BASELINE_F05_BASELINE,2021H2,513,3887.00000000044,51637.000000000175,-47749.99999999974,1.0814031413612661,0.5243664717348928,7.57699805068312,15.999999999991132,6977.999999999942,99751.00000000026,8,1381.999845,2704.0000000004334,967.0000000004243,-556.9999999995762,0
P0_B02_BASELINE_F05_BASELINE,2022H1,443,31696.000000000182,84568.00000000003,-52871.99999999984,1.5994855500075709,0.5327313769751693,71.54853273137739,30.9999999999917,6290.000000000015,96566.00000000007,13,708.749045,29769.00000000019,26419.000000000167,23632.00000000013,0
P0_B02_BASELINE_F05_BASELINE,2022H2,463,-32436.000000000175,111249.99999999988,-143686.00000000006,0.7742577564968044,0.468682505399568,-70.05615550755978,-34.99999999999659,44171.000000000175,63668.99999999997,15,2737.5000041666667,-35267.00000000019,-39854.00000000021,-43625.000000000226,0
P1_B02_BASELINE_F05_C2,2020H1,440,18925.999999999847,66445.99999999994,-47520.000000000095,1.3982744107744067,0.48863636363636365,43.01363636363602,-7.999999999995566,8162.000000000073,97430.00000000001,10,2039.750036111111,16878.99999999985,13947.999999999853,11255.999999999858,12
P1_B02_BASELINE_F05_C2,2020H2,490,482.0000000002001,44752.00000000006,-44269.99999999987,1.010887734357357,0.4489795918367347,0.9836734693881635,-14.500000000005286,7577.999999999884,98657.00000000004,14,1771.749398611111,-1316.9999999997922,-4637.999999999791,-6534.999999999782,0
P1_B02_BASELINE_F05_C2,2021H1,450,-2687.9999999999736,39244.99999999994,-41932.99999999993,0.9358977416354664,0.4822222222222222,-5.973333333333275,-7.000000000005002,8894.000000000087,96486.99999999997,12,2729.758146111111,-3378.999999999962,-4540.999999999968,-5636.999999999957,0
P1_B02_BASELINE_F05_C2,2021H2,513,3887.00000000044,51637.000000000175,-47749.99999999974,1.0814031413612661,0.5243664717348928,7.57699805068312,15.999999999991132,6977.999999999942,99751.00000000026,8,1381.999845,2704.0000000004334,967.0000000004243,-556.9999999995762,0
P1_B02_BASELINE_F05_C2,2022H1,443,32467.000000000182,82674.00000000006,-50206.99999999986,1.6466628159420058,0.5191873589164786,73.28893905191914,21.000000000000796,5935.000000000029,96566.00000000007,15,708.749045,30540.00000000019,27190.000000000167,24403.00000000013,16
P1_B02_BASELINE_F05_C2,2022H2,463,-27074.000000000153,101339.99999999981,-128413.99999999996,0.7891662902798748,0.42764578833693306,-58.47516198704137,-28.999999999996362,38817.00000000013,68362.99999999999,16,2737.5000041666667,-29905.00000000017,-34492.00000000019,-38263.000000000204,53
P2_B02_C3_F05_BASELINE,2020H1,440,16400.999999999865,60276.00000000001,-43875.000000000146,1.3738119658119614,0.42954545454545456,37.27499999999969,-13.500000000000512,6656.000000000116,97702.00000000004,13,2213.999585277778,14353.999999999869,11422.99999999987,8933.99999999988,68
P2_B02_C3_F05_BASELINE,2020H2,490,170.0000000001587,39250.99999999997,-39080.999999999825,1.004349939868482,0.37755102040816324,0.346938775510528,-16.999999999995907,6911.999999999913,98274.00000000006,15,1785.2493413888888,-1628.9999999998336,-4949.999999999833,-6846.999999999824,83
P2_B02_C3_F05_BASELINE,2021H1,450,-939.9999999998981,34093.00000000004,-35032.99999999993,0.9731681557388778,0.4022222222222222,-2.0888888888886625,-16.999999999995907,6993.999999999971,98584.0000000001,15,2730.0084608333336,-1630.9999999998863,-2792.9999999998927,-3888.9999999998818,76
P2_B02_C3_F05_BASELINE,2021H2,513,2528.0000000004175,42962.00000000009,-40433.999999999665,1.0625216402037998,0.43664717348927873,4.9278752436655315,-6.000000000000227,6434.999999999913,99792.00000000023,14,1292.0031627777778,1345.0000000004106,-391.99999999959846,-1915.999999999599,83
P2_B02_C3_F05_BASELINE,2022H1,443,25185.000000000146,72409.00000000001,-47223.99999999987,1.5333093342368334,0.4469525959367946,56.85101580135473,-10.000000000005116,6200.0,97602.00000000009,12,747.2500741666666,23258.000000000153,19908.00000000013,17121.000000000095,73
P2_B02_C3_F05_BASELINE,2022H2,463,-31013.000000000065,93033.99999999984,-124046.9999999999,0.74998992317428,0.3952483801295896,-66.98272138228955,-48.99999999997817,39335.000000000044,67434.00000000009,15,2738.249943888889,-33844.00000000008,-37535.00000000006,-40619.00000000003,75
