candidate_id,family,horizon_bars,support_gate,core_gate,full_gate,minimum_fold_trades,minimum_fold_default_net_pips,minimum_fold_severe_net_pips,fourfold_default_net_pips,fourfold_severe_net_pips,full_gate_folds
R1A04_impulse_lb24_med16_x125,impulse_breakout,16,True,False,False,753,-1404.500000,-2952.500000,-2296.537069,-8999.411206,0
R1A04_impulse_lb24_med16_x125,impulse_breakout,24,True,False,False,753,-2861.300000,-4409.300000,-3910.688247,-10596.064740,0
R1A04_impulse_lb24_med16_x125,impulse_breakout,32,True,False,False,751,-3655.000000,-5195.000000,1475.230996,-5189.207013,1
R1A04_impulse_lb24_med16_x125,impulse_breakout,48,True,False,False,739,-3586.800000,-5112.800000,3435.560164,-3147.519509,1
R1A05_impulse_lb48_med24_x15,impulse_breakout,1,True,False,False,465,-339.522117,-1487.566351,-395.385764,-4453.157293,0
R1A05_impulse_lb48_med24_x15,impulse_breakout,2,True,False,False,465,-731.200000,-1667.200000,-57.235764,-4115.007293,2
R1A05_impulse_lb48_med24_x15,impulse_breakout,3,True,False,False,465,-759.100000,-1695.100000,-496.635764,-4554.407293,1
R1A05_impulse_lb48_med24_x15,impulse_breakout,4,True,False,False,465,-727.600000,-1663.600000,-419.585764,-4477.357293,1
R1A05_impulse_lb48_med24_x15,impulse_breakout,6,True,False,False,465,-675.500000,-1611.500000,0.464236,-4057.307293,1
R1A05_impulse_lb48_med24_x15,impulse_breakout,8,True,False,False,465,-125.713647,-1228.966351,1181.564236,-2876.207293,1
R1A05_impulse_lb48_med24_x15,impulse_breakout,12,True,False,False,465,-18.900000,-954.900000,1732.214236,-2325.557293,1
R1A05_impulse_lb48_med24_x15,impulse_breakout,16,True,False,False,465,-107.600000,-1043.600000,2634.164236,-1423.607293,1
R1A05_impulse_lb48_med24_x15,impulse_breakout,24,True,False,False,463,-1589.100000,-2525.100000,1386.169325,-2663.892024,1
R1A05_impulse_lb48_med24_x15,impulse_breakout,32,True,False,False,462,-2340.400000,-3272.400000,5272.289037,1233.067111,2
