side_label,trades,net_jpy,net_pips,pf,win_rate,median_trade_jpy,average_trade_jpy,gross_profit_jpy,gross_loss_jpy,mdd_jpy
LONG,239,12636.00000000031,1263.6000000000308,1.5421547174668693,0.5523012552301255,27.000000000015234,52.87029288703058,35943.00000000026,23306.99999999996,3257.0000000000327
SHORT,306,-5204.000000000149,-520.400000000015,0.8533795396275282,0.434640522875817,-18.49999999998886,-17.006535947712905,30288.999999999935,35493.00000000009,8708.000000000084
