weekday,trades,net_jpy,net_pips,pf,win_rate,median_trade_jpy,average_trade_jpy,gross_profit_jpy,gross_loss_jpy,mdd_jpy
Friday,113,-223.99999999976217,-22.399999999976217,0.9853374353603611,0.49557522123893805,-10.99999999999568,-1.9823008849536474,15053.000000000111,15276.999999999873,3697.0000000000027
Monday,85,2165.00000000002,216.50000000000205,1.2783134078930496,0.5529411764705883,21.99999999999136,25.470588235294354,9943.99999999999,7778.999999999967,1522.0000000000198
Thursday,116,5616.999999999962,561.6999999999962,1.557242063492056,0.5086206896551724,8.499999999997954,48.42241379310312,15697.000000000033,10080.00000000007,1641.9999999999668
Tuesday,122,303.00000000011096,30.300000000011096,1.021422511312225,0.45901639344262296,-7.000000000005002,2.483606557377959,14447.000000000144,14144.000000000033,4539.000000000016
Wednesday,109,-429.0000000001726,-42.90000000001726,0.9627604166666522,0.43119266055045874,-15.999999999991132,-3.935779816515345,11090.999999999924,11520.000000000093,4182.000000000158
