month,trades,net_jpy,net_pips,pf,win_rate,median_trade_jpy,average_trade_jpy,gross_profit_jpy,gross_loss_jpy,mdd_jpy
2023-01,21,718.9999999999941,71.89999999999941,1.266790352504631,0.5714285714285714,4.000000000019099,34.23809523809496,3414.0000000000437,2695.00000000005,1780.0000000000011
2023-02,21,1798.0000000000302,179.80000000000302,2.1308176100629295,0.7142857142857143,48.00000000000182,85.61904761904906,3388.0000000000045,1589.999999999975,1024.000000000001
2023-03,29,1126.0000000000332,112.60000000000332,1.2412684808228067,0.5862068965517241,46.00000000002069,38.8275862068977,5793.000000000006,4666.999999999974,2459.999999999951
2023-04,24,1181.00000000004,118.100000000004,1.4434847915884468,0.4166666666666667,-12.000000000000455,49.208333333335,3844.000000000051,2663.000000000012,1519.9999999999818
2023-05,25,-2901.000000000039,-290.1000000000039,0.34128065395095697,0.4,-52.99999999999727,-116.04000000000157,1503.0000000000427,4404.000000000083,2667.000000000059
2023-06,28,138.00000000000523,13.800000000000523,1.04965815041382,0.4642857142857143,-14.999999999986358,4.928571428571615,2917.000000000002,2778.999999999996,1073.9999999999554
2023-07,25,-1099.0000000000177,-109.9000000000018,0.7844252648097276,0.52,40.000000000020464,-43.96000000000071,3999.0000000000236,5098.000000000041,2963.9999999999986
2023-08,27,-1206.0000000000173,-120.60000000000173,0.682798527091002,0.4074074074074074,-34.99999999999659,-44.666666666667304,2596.0000000000036,3802.000000000021,3204.0000000000077
2023-09,18,456.0000000000173,45.60000000000173,1.257627118644076,0.2777777777777778,-26.499999999998636,25.333333333334295,2226.0000000000273,1770.0000000000102,944.0000000000168
2023-10,22,834.0000000000316,83.40000000000316,1.6582478295185747,0.45454545454545453,-2.500000000011937,37.90909090909235,2101.0000000000273,1266.999999999996,999.9999999999716
2023-11,21,610.0000000000136,61.000000000001364,1.360520094562648,0.47619047619047616,-27.000000000015234,29.047619047619698,2302.000000000049,1692.0000000000357,872.9999999999905
2023-12,19,1903.0000000000484,190.30000000000484,3.6690042075738294,0.631578947368421,30.000000000001137,100.15789473684465,2616.0000000000136,712.9999999999654,514.9999999999579
2024-01,25,759.000000000043,75.9000000000043,1.5767477203647857,0.64,61.9999999999834,30.36000000000172,2075.0000000000173,1315.999999999974,731.9999999999709
2024-02,25,1337.0000000000744,133.70000000000744,1.793001186239688,0.36,-33.999999999991815,53.480000000002974,3023.0000000000246,1685.9999999999502,965.9999999999234
2024-03,22,-1009.9999999999056,-100.99999999999056,0.605622803592376,0.45454545454545453,-18.000000000000682,-45.90909090908662,1551.0000000000446,2560.99999999995,1218.999999999994
2024-04,23,-1015.0000000000432,-101.50000000000432,0.48161389172624386,0.43478260869565216,-21.99999999999136,-44.13043478261057,943.000000000012,1958.0000000000553,1219.0000000000225
2024-05,23,237.00000000008004,23.700000000008004,1.1567460317460876,0.5652173913043478,27.000000000015234,10.304347826090437,1749.000000000052,1511.999999999972,795.9999999999923
2024-06,18,229.99999999993292,22.999999999993292,1.2373581011351162,0.3888888888888889,-28.999999999996362,12.777777777774052,1198.9999999999554,969.0000000000225,407.99999999998704
2024-07,21,337.99999999999386,33.799999999999386,1.187986651835372,0.5238095238095238,92.99999999998931,16.095238095237804,2135.9999999999673,1797.9999999999734,1489.0000000000043
2024-08,16,1288.9999999999868,128.89999999999873,1.5754464285714205,0.4375,-135.4999999999933,80.56249999999918,3528.9999999999964,2240.000000000009,971.0000000000036
2024-09,26,1989.9999999999236,198.99999999999238,1.6325492689128835,0.5769230769230769,85.99999999999852,76.5384615384586,5135.999999999909,3145.9999999999864,1972.0000000000084
2024-10,25,-2285.0000000001105,-228.50000000001103,0.4342659074028014,0.36,-92.00000000001296,-91.40000000000443,1753.9999999999338,4039.0000000000437,2691.000000000031
2024-11,23,1215.0000000000603,121.50000000000603,1.483485873458052,0.5217391304347826,7.000000000005002,52.82608695652436,3728.0000000000086,2512.9999999999486,1353.0000000000089
2024-12,18,787.9999999999825,78.79999999999825,1.4099895941727283,0.4444444444444444,-56.49999999999977,43.777777777776805,2709.9999999999795,1921.999999999997,491.9999999999902
