dimension,value,side,trades,net_jpy,pf,mdd_jpy,win_rate,median_jpy,positive_folds,positive_months,minimum_fold_net_jpy,median_mae_pips,median_mfe_pips,reclaim_rate,bootstrap_lower95_jpy
range_bin,"(13.199, 37.1]",LONG,61,1561.0000000002344,1.3667763157895307,1800.9999999999877,0.5409836065573771,22.999999999996135,2,10,-763.9999999999532,-11.7999999999995,11.299999999999955,1.0,-2222.699999999727
range_bin,"(37.1, 54.9]",LONG,59,6204.000000000036,2.378973105134475,1362.000000000023,0.5932203389830508,63.99999999999295,4,15,176.99999999996407,-15.700000000001069,18.39999999999975,1.0,1068.725000000076
range_bin,"(54.9, 77.3]",LONG,58,2514.0000000000387,1.4947844912418873,1034.0000000000202,0.5862068965517241,22.00000000000557,3,11,-197.00000000003115,-17.74999999999949,21.800000000001774,1.0,-1506.5499999998988
range_bin,"(77.3, 516.0]",LONG,63,3371.0000000000377,1.3710511832691286,1885.9999999999957,0.5238095238095238,24.00000000000091,3,13,-616.0000000000139,-20.599999999998886,32.20000000000027,1.0,-3574.9499999998447
range_bin,"(13.199, 37.1]",SHORT,77,-5346.000000000089,0.36568580920739313,5484.0000000000655,0.3116883116883117,-39.00000000001569,0,6,-2341.0000000000937,-13.500000000001933,6.60000000000025,1.0,-9060.65000000003
range_bin,"(37.1, 54.9]",SHORT,77,22.99999999991087,1.0026794035414621,2611.9999999999945,0.44155844155844154,-14.999999999986358,2,14,-1317.0000000000357,-16.30000000000109,16.499999999999204,1.0,-5082.9499999999125
range_bin,"(54.9, 77.3]",SHORT,79,-2740.0000000002356,0.7468120495287199,4255.000000000167,0.46835443037974683,-7.000000000005002,1,9,-2174.000000000035,-17.69999999999925,15.600000000000591,1.0,-8753.075000000325
range_bin,"(77.3, 516.0]",SHORT,73,-478.9999999998713,0.9481657829239399,2560.9999999999786,0.4794520547945205,-20.999999999986585,3,8,-1448.999999999927,-22.100000000000364,18.999999999999773,1.0,-6257.124999999966
sweep_bin,"(0.099, 2.0]",LONG,47,4464.000000000112,2.3647202690309177,661.0000000000018,0.574468085106383,35.00000000002501,4,13,45.99999999999227,-11.7999999999995,18.500000000000227,1.0,-289.5749999998997
sweep_bin,"(2.0, 4.3]",LONG,58,-715.9999999998945,0.8891125909865425,3635.9999999999663,0.5,7.999999999995566,2,12,-1700.999999999965,-14.000000000000057,10.000000000000853,1.0,-4527.85000000004
sweep_bin,"(4.3, 8.15]",LONG,64,2296.0000000001064,1.302423603793484,1799.9999999999827,0.53125,48.00000000001603,3,15,-1129.999999999967,-16.450000000001808,23.699999999998056,1.0,-3220.649999999918
sweep_bin,"(8.15, 61.5]",LONG,72,7606.000000000023,2.3579717907516287,1153.00000000002,0.625,37.50000000000853,4,19,740.0000000000091,-21.19999999999891,20.699999999999363,1.0,2473.2749999998314
