candidate_id,arm,core_fold_count,full_fold_count,minimum_fold_default_delta_pips,pooled_default_delta_pips,minimum_fold_target_benefit_pips,pooled_target_benefit_pips,minimum_top_decile_winner_retention,changed_trades,target_changed
O_P2_Q2_R1,P2,0,0,-614.0000000000032,-776.8000000000212,1281.999999999997,5957.900000000007,0.8434954954954933,672,282
O_P2_Q2_R2,P2,0,0,-844.2000000000069,-606.1000000000026,819.0,5235.200000000006,0.8789189189189183,606,280
O_P2_Q3_R1,P2,0,0,-792.9000000000244,-1205.9000000000176,656.3000000000017,4189.700000000021,0.8736216216216207,539,275
O_P2_Q3_R2,P2,0,0,-609.2000000000036,-830.0999999999647,403.200000000001,3591.8000000000256,0.9023063063063056,469,269
O_P1_Q2_R1,P1,0,0,-2118.700000000012,-3632.3999999999387,1649.700000000016,13541.300000000017,0.4836143250688716,1234,413
O_P1_Q2_R2,P1,0,0,-1430.5000000000207,-2452.3000000001375,1181.600000000003,11416.199999999943,0.528186238396932,1184,407
O_P1_Q3_R1,P1,0,0,-1591.5000000000043,-1938.200000000023,1313.400000000002,9440.299999999977,0.8164137321349645,973,406
O_P1_Q3_R2,P1,0,0,-1462.900000000002,-961.800000000014,763.4000000000007,7408.299999999972,0.8713873873873869,823,392
