candidate_id,family,definition_sha256,horizon_bars,trades,win_rate,avg_gross_pips,avg_default_net_pips,total_default_net_pips,avg_severe_net_pips,total_severe_net_pips,median_default_net_pips,avg_mfe_pips,avg_mae_pips,median_mfe_pips,median_mae_pips,avg_bars_to_mfe,avg_bars_to_mae,q05_default_net_pips,q95_default_net_pips,default_profit_factor,severe_profit_factor,total_excluding_best_utc_day,total_excluding_best_two_utc_days,positive_months,minimum_monthly_trades
R1A01_legacy_impulse_lb3_ny,impulse_breakout,6bec510204b6918a5b46e722969db1b490d4be5ad11730cb005626e4483a9115,1,391,0.462915601023,0.749488491049,0.165003837824,64.516500589230,-2.003965468625,-783.550498232328,-0.606746031747,7.493861892583,-6.595524296675,4.750000000001,-4.499999999999,0.976982097187,0.976982097187,-14.170431708226,14.864513459088,1.046106992820,0.587327608145,-96.801406782877,-184.079717055232,4,55
R1A01_legacy_impulse_lb3_ny,impulse_breakout,6bec510204b6918a5b46e722969db1b490d4be5ad11730cb005626e4483a9115,2,391,0.511508951407,1.617647058823,1.033162405599,403.966500589158,-1.135806900850,-444.100498232399,0.245691976305,10.759462915601,-9.421867007673,7.050000000004,-6.449999999998,1.475703324808,1.439897698210,-19.758967761186,21.611278722789,1.229539626920,0.798611972858,216.348593217050,82.920282944704,4,55
R1A01_legacy_impulse_lb3_ny,impulse_breakout,6bec510204b6918a5b46e722969db1b490d4be5ad11730cb005626e4483a9115,3,391,0.514066496164,1.509462915601,0.924978262377,361.666500589217,-1.243991044072,-486.400498232340,0.489514298683,13.326726342711,-11.440792838875,8.749999999998,-7.399999999998,1.989769820972,1.849104859335,-25.081432639520,27.903364816613,1.161681612343,0.818593900698,185.798593217110,42.080549589600,4,55
R1A01_legacy_impulse_lb3_ny,impulse_breakout,6bec510204b6918a5b46e722969db1b490d4be5ad11730cb005626e4483a9115,4,391,0.485933503836,1.641687979540,1.057203326315,413.366500589200,-1.111765980134,-434.700498232357,-0.282409739715,14.739769820972,-12.623273657289,9.699999999995,-8.100000000002,2.439897698210,2.225063938619,-26.124207552949,31.151740109425,1.173659723976,0.846877726940,211.348456961693,53.830549589587,3,55
R1A01_legacy_impulse_lb3_ny,impulse_breakout,6bec510204b6918a5b46e722969db1b490d4be5ad11730cb005626e4483a9115,6,391,0.524296675192,2.600383631714,2.015898978489,788.216500589226,-0.153070327960,-59.850498232331,0.491007194243,17.943094629156,-14.667135549872,11.849999999998,-9.199999999998,3.378516624041,3.030690537084,-32.950199417515,39.789954809021,1.280577360892,0.981540453489,473.398456961718,251.580549589606,4,55
R1A01_legacy_impulse_lb3_ny,impulse_breakout,6bec510204b6918a5b46e722969db1b490d4be5ad11730cb005626e4483a9115,8,391,0.531969309463,2.287979539642,1.703494886417,666.066500589213,-0.465474420032,-182.000498232344,1.391936601417,19.867135549872,-16.227109974425,12.599999999998,-10.100000000000,4.222506393862,3.815856777494,-38.645148280201,40.241381860328,1.211594156308,0.948980908251,311.148456961703,74.630549589589,4,55
R1A01_legacy_impulse_lb3_ny,impulse_breakout,6bec510204b6918a5b46e722969db1b490d4be5ad11730cb005626e4483a9115,12,391,0.485933503836,1.901406649616,1.316921996392,514.916500589192,-0.852047310057,-333.150498232365,-0.199999999999,22.113171355498,-18.739258312021,13.700000000000,-12.349999999998,5.468030690537,5.452685421995,-41.635225995053,48.912693703601,1.141019751490,0.918878177355,108.098456961682,-159.269450410425,4,55
R1A01_legacy_impulse_lb3_ny,impulse_breakout,6bec510204b6918a5b46e722969db1b490d4be5ad11730cb005626e4483a9115,16,391,0.503836317136,1.967391304348,1.382906651123,540.716500589190,-0.786062655326,-307.350498232367,0.314240903385,23.650767263427,-20.145140664962,14.650000000000,-13.600000000002,6.757033248082,6.721227621483,-42.871380577039,48.587595892948,1.148009989556,0.924979320266,158.398456961680,-169.914741559230,4,55
R1A01_legacy_impulse_lb3_ny,impulse_breakout,6bec510204b6918a5b46e722969db1b490d4be5ad11730cb005626e4483a9115,24,391,0.498721227621,0.351918158568,-0.232566494657,-90.933499410806,-2.401535801106,-939.000498232363,-0.299999999999,26.408695652174,-23.460358056266,17.099999999999,-15.049999999997,8.994884910486,9.342710997442,-46.975000000001,49.451952890494,0.979836541221,0.810460131384,-397.151406782915,-661.137757533495,3,55
R1A01_legacy_impulse_lb3_ny,impulse_breakout,6bec510204b6918a5b46e722969db1b490d4be5ad11730cb005626e4483a9115,32,384,0.486979166667,2.803255208333,2.221053370093,852.884494115789,0.056649693613,21.753482347452,-0.698734837307,33.135026041666,-25.320703125000,19.125000000001,-16.549999999998,12.078125000000,12.669270833333,-52.371803074408,61.039173191443,1.183304172352,1.004267049630,290.848143365208,-183.801272053132,4,52
