candidate_id,family,definition_sha256,horizon_bars,trade_rows,trade_ledger_sha256
R1A03_impulse_lb12_med12_x125,impulse_breakout,36e26515e5598753148b4dc9822bcf6015d332e58b917587fe4087fe4ee7fa75,3,978,dce8d682e4d4d6eb375e4318fae0e40e615dac5ed7208576c3eb5a8b603e62cb
R1A03_impulse_lb12_med12_x125,impulse_breakout,36e26515e5598753148b4dc9822bcf6015d332e58b917587fe4087fe4ee7fa75,4,978,ebc0018c9c80dd94c09a1d6783388e3e2edc2c254d5cc67990879e3c926b6348
R1A03_impulse_lb12_med12_x125,impulse_breakout,36e26515e5598753148b4dc9822bcf6015d332e58b917587fe4087fe4ee7fa75,6,978,405079a1bf81fa3f29837ea20a2f697eb37c54ce512ed0146a288ef125869c97
R1A03_impulse_lb12_med12_x125,impulse_breakout,36e26515e5598753148b4dc9822bcf6015d332e58b917587fe4087fe4ee7fa75,8,977,e7efbbe3b4eae3ad42282d0bcc647425339ff4896f59903d9604a47dceb83fca
R1A03_impulse_lb12_med12_x125,impulse_breakout,36e26515e5598753148b4dc9822bcf6015d332e58b917587fe4087fe4ee7fa75,12,976,7bd2db03ecf7d8b6c8feef6fd7058fe88c7a670d833e72ddae78fdc10f560c30
R1A03_impulse_lb12_med12_x125,impulse_breakout,36e26515e5598753148b4dc9822bcf6015d332e58b917587fe4087fe4ee7fa75,16,975,34bbffad17f5329f13ad3f2af45eeccac224194848c51d4dcfeb819d596a75bc
R1A03_impulse_lb12_med12_x125,impulse_breakout,36e26515e5598753148b4dc9822bcf6015d332e58b917587fe4087fe4ee7fa75,24,972,85cb1cecd5145507eb72c67747d3f134ef93b1b3aa424d3827770aa144cf8eee
R1A03_impulse_lb12_med12_x125,impulse_breakout,36e26515e5598753148b4dc9822bcf6015d332e58b917587fe4087fe4ee7fa75,32,969,3b2ad380df687fa0ccd9f5e574ef78c9134a763d37e59e179095de23196d9938
R1A03_impulse_lb12_med12_x125,impulse_breakout,36e26515e5598753148b4dc9822bcf6015d332e58b917587fe4087fe4ee7fa75,48,949,1e04d4a525e04a1bf52e0901515b37053e79bf07f178a44dddc637d9a6828ccc
R1A04_impulse_lb24_med16_x125,impulse_breakout,f4be49b45f562ef8b3b1eda813bbb399c2d3552dd178f44789aeb620b73835ec,1,754,2502303f40174205b6cc0a1872b3af47535dc02a62e842d535af7ee3849ddca8
R1A04_impulse_lb24_med16_x125,impulse_breakout,f4be49b45f562ef8b3b1eda813bbb399c2d3552dd178f44789aeb620b73835ec,2,754,f57ce37f2a533f5806a1b9edbc92b408e5f5c93614f815cb0171209a36cd37de
R1A04_impulse_lb24_med16_x125,impulse_breakout,f4be49b45f562ef8b3b1eda813bbb399c2d3552dd178f44789aeb620b73835ec,3,754,477d4a079983e127b8216aa194851e6adf4e29a6c7e053e88cfcf95f1e0f56f7
R1A04_impulse_lb24_med16_x125,impulse_breakout,f4be49b45f562ef8b3b1eda813bbb399c2d3552dd178f44789aeb620b73835ec,4,754,5672f6370dbbf53ef009b761624aef4bcf9195919863870f5d59989911c82334
R1A04_impulse_lb24_med16_x125,impulse_breakout,f4be49b45f562ef8b3b1eda813bbb399c2d3552dd178f44789aeb620b73835ec,6,754,a72e8fa644749d0163afe0794df4eb464457b5b9e07644e54816cb177e371a41
R1A04_impulse_lb24_med16_x125,impulse_breakout,f4be49b45f562ef8b3b1eda813bbb399c2d3552dd178f44789aeb620b73835ec,8,753,7a70c1ad7cae03e0afe692dfbac852341a4e83bb3ebf99f6ec46eb0d499b2ac9
R1A04_impulse_lb24_med16_x125,impulse_breakout,f4be49b45f562ef8b3b1eda813bbb399c2d3552dd178f44789aeb620b73835ec,12,753,5c5111e7024283f9c8698954f0de9aaada42fa9c563a0575cdbd7a1b218985c1
R1A04_impulse_lb24_med16_x125,impulse_breakout,f4be49b45f562ef8b3b1eda813bbb399c2d3552dd178f44789aeb620b73835ec,16,753,30f6170b1074ab86865bdfb7437673553894e3d7a49a7e026eb2279c1248799b
R1A04_impulse_lb24_med16_x125,impulse_breakout,f4be49b45f562ef8b3b1eda813bbb399c2d3552dd178f44789aeb620b73835ec,24,753,285a701ba0c82c40cd3d79c904861f4eff548ab5f40f30fcff1befdaa37a85f7
R1A04_impulse_lb24_med16_x125,impulse_breakout,f4be49b45f562ef8b3b1eda813bbb399c2d3552dd178f44789aeb620b73835ec,32,751,3b19beb8570af55b308d49d8e9df48c1a80484ee5a69766462f9958aef86feac
