candidate_id,family,definition_sha256,horizon_bars,month,trades,win_rate,avg_gross_pips,avg_default_net_pips,total_default_net_pips,avg_severe_net_pips,total_severe_net_pips,median_default_net_pips,avg_mfe_pips,avg_mae_pips,median_mfe_pips,median_mae_pips,avg_bars_to_mfe,avg_bars_to_mae,q05_default_net_pips,q95_default_net_pips,default_profit_factor,severe_profit_factor,total_excluding_best_utc_day,total_excluding_best_two_utc_days
R1A01_legacy_impulse_lb3_ny,impulse_breakout,6bec510204b6918a5b46e722969db1b490d4be5ad11730cb005626e4483a9115,1,2024-01,73,0.534246575342,1.317808219178,0.674407910363,49.231777456473,-1.612392707268,-117.704667630568,0.653978779841,9.702739726027,-8.253424657535,7.949999999997,-7.050000000004,0.986301369863,0.958904109589,-15.358998358355,19.321132940643,1.171925663303,0.684787762119,0.000000000000,0.000000000000
R1A01_legacy_impulse_lb3_ny,impulse_breakout,6bec510204b6918a5b46e722969db1b490d4be5ad11730cb005626e4483a9115,1,2024-02,79,0.455696202532,1.734177215190,1.134745193223,89.644870264621,-1.064118850710,-84.065389206127,-1.150000000002,8.394303797469,-5.926582278481,3.949999999998,-4.150000000001,1.000000000000,0.962025316456,-13.717854060413,21.532287378662,1.327223925916,0.778130441759,0.000000000000,0.000000000000
R1A01_legacy_impulse_lb3_ny,impulse_breakout,6bec510204b6918a5b46e722969db1b490d4be5ad11730cb005626e4483a9115,1,2024-03,55,0.327272727273,-1.362727272727,-1.914087456689,-105.274810117915,-4.016807824614,-220.924430353760,-1.849999999999,4.802727272728,-6.765454545455,3.149999999999,-4.800000000003,0.945454545455,0.981818181818,-12.985348643004,10.791386217947,0.505376592373,0.248973321086,0.000000000000,0.000000000000
R1A01_legacy_impulse_lb3_ny,impulse_breakout,6bec510204b6918a5b46e722969db1b490d4be5ad11730cb005626e4483a9115,1,2024-04,63,0.523809523810,2.286507936508,1.716920739930,108.166006615584,-0.422253653226,-26.601980153261,0.617651477214,7.963492063492,-5.143650793651,4.499999999999,-2.800000000002,0.968253968254,0.984126984127,-14.517997240203,13.197864847172,1.591127440816,0.894535704651,0.000000000000,0.000000000000
R1A01_legacy_impulse_lb3_ny,impulse_breakout,6bec510204b6918a5b46e722969db1b490d4be5ad11730cb005626e4483a9115,1,2024-05,66,0.484848484848,1.516666666667,0.946988077711,62.501213128937,-1.192369100200,-78.696360613185,-0.983012422360,7.441666666666,-6.318939393940,4.124999999999,-4.500000000000,0.984848484848,0.984848484848,-9.496865367524,21.026256194701,1.311180157962,0.720279055213,0.000000000000,0.000000000000
R1A01_legacy_impulse_lb3_ny,impulse_breakout,6bec510204b6918a5b46e722969db1b490d4be5ad11730cb005626e4483a9115,1,2024-06,55,0.418181818182,-1.988181818182,-2.540955577427,-139.752556758470,-4.646503095917,-255.557670275427,-1.450000000000,5.484545454545,-7.180909090909,5.000000000001,-4.850000000002,0.963636363636,1.000000000000,-13.327785582726,8.475464409480,0.423211301800,0.198060229901,0.000000000000,0.000000000000
R1A01_legacy_impulse_lb3_ny,impulse_breakout,6bec510204b6918a5b46e722969db1b490d4be5ad11730cb005626e4483a9115,2,2024-01,73,0.561643835616,3.043835616438,2.400435307623,175.231777456461,0.113634689992,8.295332369420,2.231112894596,14.110958904109,-11.237671232877,12.899999999999,-9.000000000000,1.534246575342,1.424657534247,-20.595078408032,25.343821359497,1.545980956330,1.020877429477,0.000000000000,0.000000000000
R1A01_legacy_impulse_lb3_ny,impulse_breakout,6bec510204b6918a5b46e722969db1b490d4be5ad11730cb005626e4483a9115,2,2024-02,79,0.582278481013,2.865189873418,2.265757851451,178.994870264628,0.066893807517,5.284610793880,1.700000000002,12.093670886076,-9.230379746835,6.500000000000,-7.200000000000,1.531645569620,1.405063291139,-19.520159529067,21.283021327467,1.472348013559,1.011476200146,0.000000000000,0.000000000000
R1A01_legacy_impulse_lb3_ny,impulse_breakout,6bec510204b6918a5b46e722969db1b490d4be5ad11730cb005626e4483a9115,2,2024-03,55,0.418181818182,-1.870000000000,-2.421360183962,-133.174810117932,-4.524080551887,-248.824430353777,-1.899999999998,6.505454545455,-9.067272727273,4.950000000002,-6.050000000002,1.309090909091,1.509090909091,-14.035993022013,9.796954914465,0.507859905062,0.268103061292,0.000000000000,0.000000000000
R1A01_legacy_impulse_lb3_ny,impulse_breakout,6bec510204b6918a5b46e722969db1b490d4be5ad11730cb005626e4483a9115,2,2024-04,63,0.444444444444,2.632539682540,2.062952485961,129.966006615569,-0.076221907195,-4.801980153276,-0.500000000000,11.850000000000,-8.541269841270,6.150000000002,-4.399999999998,1.444444444444,1.492063492063,-19.688724283519,18.779426369807,1.454160154573,0.986714601261,0.000000000000,0.000000000000
