candidate_id,family,definition_sha256,reported_horizons,horizons_with_trades,positive_default_horizons,positive_severe_horizons,longest_positive_default_run,diagnostic_best_horizon_bars,best_avg_default_net_pips,hold6_avg_default_net_pips,total_trade_rows_across_horizons
R1F02_donchian_16,donchian_channel_breakout,9e58ea13a2511cc359f223fb50e2f8978c76491084ac8ed4ef61ec02ef20747f,11,11,3,2,3,48,3.863858455938,-0.637464018256,9825
R1F03_donchian_32,donchian_channel_breakout,89c8565e92a080e3ace48f140ff09083828cdaf9fc7ee7de604c985725b819ad,11,11,4,2,4,48,4.895022469570,-1.134127567010,7194
R1F04_donchian_64,donchian_channel_breakout,250f9463fb7001c7217b9f3d0e9df47dd574802cf9121fdec22aba32b07f7e21,11,11,8,3,5,32,7.386119770554,-0.299561019997,4890
R1F05_donchian_96,donchian_channel_breakout,688e5f47d6a80ef2a8cbd9ed190579e2ce60536ae5168ef6edf736f3d72b2f1e,11,11,8,2,6,48,4.843672538449,-0.208412451067,3793
R1G01_ema_4_16,ema_trend_cross,964ecefd4343c93488d61415ecc54cfdf0fc2e9640af14fbab304692c69e81e6,11,11,1,0,1,48,0.496929473760,-0.757542969644,8252
R1G02_ema_8_32,ema_trend_cross,7b74da38f808617f26d40d669d436262b2a3c59e08cc85df3b511a3adf18a466,11,11,1,0,1,48,0.740608834818,-0.191532447498,4208
R1G03_ema_12_48,ema_trend_cross,b7c6667b2a5b3c8fdce3b5b171a4ed7df3a9994cca61bf3beff49e0b683d1a9d,11,11,3,0,3,1,1.002757829838,-1.921478811383,2862
R1G04_ema_16_64,ema_trend_cross,593a8b18f07230f4de78fb0ada18a014d44dc04d28c0c559505fa10873848af3,11,11,1,0,1,32,0.820111383895,-2.781539632825,2206
R1G05_ema_24_96,ema_trend_cross,92af46625daeefb2b32386c92ba5be44fbd620b6e4c1a44b9893b32457b345e5,11,11,4,1,2,48,4.349918109397,-1.914727543356,1432
R1H01_ramom_8_16_z1,volatility_adjusted_momentum,5fd7019358087c11be8ae82568f5e5bc6aef20098306ba2f7f9c0eaedc2911bd,11,11,2,1,2,48,2.402028788360,-0.764896830589,6299
R1H02_ramom_16_32_z1,volatility_adjusted_momentum,8287c5868ddf07a36342867ccdbd2fa54d485377167bc8e2a4d3ff6556324813,11,11,5,2,5,48,6.881591092761,-1.073668130806,4877
R1H03_ramom_24_48_z1,volatility_adjusted_momentum,5f21c03621e75e6084e034393aa5f39de8302953c3c91f7a284a053370407919,11,11,3,2,3,48,7.157010052969,-1.027720557595,3566
