historical_candidate_id,r1_candidate_id,horizon_bars,expected_trades,observed_trades,reference_cross_month_rows_excluded_total,missing_keys,extra_keys,exit_timestamps_exact,maximum_absolute_numeric_difference,passed
C2_failed_12bar_hold6,R1C01_legacy_failed_12bar,1,810,810,5,0,0,True,0.000000000001,True
C2_failed_12bar_hold6,R1C01_legacy_failed_12bar,2,810,810,5,0,0,True,0.000000000001,True
C2_failed_12bar_hold6,R1C01_legacy_failed_12bar,3,810,810,5,0,0,True,0.000000000001,True
C2_failed_12bar_hold6,R1C01_legacy_failed_12bar,4,810,810,5,0,0,True,0.000000000001,True
C2_failed_12bar_hold6,R1C01_legacy_failed_12bar,6,810,810,5,0,0,True,0.000000000001,True
C2_failed_12bar_hold6,R1C01_legacy_failed_12bar,8,810,810,5,0,0,True,0.000000000001,True
C2_failed_12bar_hold6,R1C01_legacy_failed_12bar,12,810,810,5,0,0,True,0.000000000001,True
C2_failed_12bar_hold6,R1C01_legacy_failed_12bar,16,810,810,5,0,0,True,0.000000000001,True
C2_failed_12bar_hold6,R1C01_legacy_failed_12bar,24,808,808,5,0,0,True,0.000000000001,True
C3_failed_24bar_hold6,R1C02_legacy_failed_24bar,1,605,605,5,0,0,True,0.000000000001,True
C3_failed_24bar_hold6,R1C02_legacy_failed_24bar,2,605,605,5,0,0,True,0.000000000001,True
C3_failed_24bar_hold6,R1C02_legacy_failed_24bar,3,605,605,5,0,0,True,0.000000000001,True
C3_failed_24bar_hold6,R1C02_legacy_failed_24bar,4,605,605,5,0,0,True,0.000000000001,True
C3_failed_24bar_hold6,R1C02_legacy_failed_24bar,6,605,605,5,0,0,True,0.000000000001,True
C3_failed_24bar_hold6,R1C02_legacy_failed_24bar,8,605,605,5,0,0,True,0.000000000001,True
C3_failed_24bar_hold6,R1C02_legacy_failed_24bar,12,605,605,5,0,0,True,0.000000000001,True
C3_failed_24bar_hold6,R1C02_legacy_failed_24bar,16,605,605,5,0,0,True,0.000000000001,True
C3_failed_24bar_hold6,R1C02_legacy_failed_24bar,24,604,604,5,0,0,True,0.000000000001,True
C4_failed_asia_00_06_hold6,R1C03_legacy_failed_asia_00_06,1,443,443,5,0,0,True,0.000000000001,True
C4_failed_asia_00_06_hold6,R1C03_legacy_failed_asia_00_06,2,443,443,5,0,0,True,0.000000000001,True
C4_failed_asia_00_06_hold6,R1C03_legacy_failed_asia_00_06,3,443,443,5,0,0,True,0.000000000001,True
C4_failed_asia_00_06_hold6,R1C03_legacy_failed_asia_00_06,4,443,443,5,0,0,True,0.000000000001,True
C4_failed_asia_00_06_hold6,R1C03_legacy_failed_asia_00_06,6,443,443,5,0,0,True,0.000000000001,True
C4_failed_asia_00_06_hold6,R1C03_legacy_failed_asia_00_06,8,443,443,5,0,0,True,0.000000000001,True
C4_failed_asia_00_06_hold6,R1C03_legacy_failed_asia_00_06,12,443,443,5,0,0,True,0.000000000001,True
C4_failed_asia_00_06_hold6,R1C03_legacy_failed_asia_00_06,16,443,443,5,0,0,True,0.000000000001,True
C4_failed_asia_00_06_hold6,R1C03_legacy_failed_asia_00_06,24,443,443,5,0,0,True,0.000000000001,True
D1_compression_4v4_hold6,R1D01_legacy_compression_4v4,1,535,535,5,0,0,True,0.000000000001,True
D1_compression_4v4_hold6,R1D01_legacy_compression_4v4,2,535,535,5,0,0,True,0.000000000001,True
D1_compression_4v4_hold6,R1D01_legacy_compression_4v4,3,535,535,5,0,0,True,0.000000000001,True
D1_compression_4v4_hold6,R1D01_legacy_compression_4v4,4,535,535,5,0,0,True,0.000000000001,True
D1_compression_4v4_hold6,R1D01_legacy_compression_4v4,6,535,535,5,0,0,True,0.000000000001,True
D1_compression_4v4_hold6,R1D01_legacy_compression_4v4,8,535,535,5,0,0,True,0.000000000001,True
D1_compression_4v4_hold6,R1D01_legacy_compression_4v4,12,535,535,5,0,0,True,0.000000000001,True
D1_compression_4v4_hold6,R1D01_legacy_compression_4v4,16,535,535,5,0,0,True,0.000000000001,True
D1_compression_4v4_hold6,R1D01_legacy_compression_4v4,24,535,535,5,0,0,True,0.000000000001,True
D2_compression_8v8_hold6,R1D02_legacy_compression_8v8,1,324,324,5,0,0,True,0.000000000001,True
D2_compression_8v8_hold6,R1D02_legacy_compression_8v8,2,324,324,5,0,0,True,0.000000000001,True
D2_compression_8v8_hold6,R1D02_legacy_compression_8v8,3,324,324,5,0,0,True,0.000000000001,True
D2_compression_8v8_hold6,R1D02_legacy_compression_8v8,4,324,324,5,0,0,True,0.000000000001,True
D2_compression_8v8_hold6,R1D02_legacy_compression_8v8,6,324,324,5,0,0,True,0.000000000001,True
D2_compression_8v8_hold6,R1D02_legacy_compression_8v8,8,324,324,5,0,0,True,0.000000000001,True
D2_compression_8v8_hold6,R1D02_legacy_compression_8v8,12,324,324,5,0,0,True,0.000000000001,True
D2_compression_8v8_hold6,R1D02_legacy_compression_8v8,16,324,324,5,0,0,True,0.000000000001,True
D2_compression_8v8_hold6,R1D02_legacy_compression_8v8,24,324,324,5,0,0,True,0.000000000001,True
E1_trend_4h_resumption_hold6,R1E01_legacy_trend_4h_resumption,1,385,385,5,0,0,True,0.000000000001,True
E1_trend_4h_resumption_hold6,R1E01_legacy_trend_4h_resumption,2,385,385,5,0,0,True,0.000000000001,True
E1_trend_4h_resumption_hold6,R1E01_legacy_trend_4h_resumption,3,385,385,5,0,0,True,0.000000000001,True
E1_trend_4h_resumption_hold6,R1E01_legacy_trend_4h_resumption,4,385,385,5,0,0,True,0.000000000001,True
E1_trend_4h_resumption_hold6,R1E01_legacy_trend_4h_resumption,6,385,385,5,0,0,True,0.000000000001,True
E1_trend_4h_resumption_hold6,R1E01_legacy_trend_4h_resumption,8,385,385,5,0,0,True,0.000000000001,True
E1_trend_4h_resumption_hold6,R1E01_legacy_trend_4h_resumption,12,385,385,5,0,0,True,0.000000000001,True
E1_trend_4h_resumption_hold6,R1E01_legacy_trend_4h_resumption,16,385,385,5,0,0,True,0.000000000001,True
E1_trend_4h_resumption_hold6,R1E01_legacy_trend_4h_resumption,24,384,384,5,0,0,True,0.000000000001,True
E2_trend_8h_resumption_hold6,R1E02_legacy_trend_8h_resumption,1,372,372,5,0,0,True,0.000000000001,True
E2_trend_8h_resumption_hold6,R1E02_legacy_trend_8h_resumption,2,372,372,5,0,0,True,0.000000000001,True
E2_trend_8h_resumption_hold6,R1E02_legacy_trend_8h_resumption,3,372,372,5,0,0,True,0.000000000001,True
E2_trend_8h_resumption_hold6,R1E02_legacy_trend_8h_resumption,4,372,372,5,0,0,True,0.000000000001,True
E2_trend_8h_resumption_hold6,R1E02_legacy_trend_8h_resumption,6,372,372,5,0,0,True,0.000000000001,True
E2_trend_8h_resumption_hold6,R1E02_legacy_trend_8h_resumption,8,372,372,5,0,0,True,0.000000000001,True
E2_trend_8h_resumption_hold6,R1E02_legacy_trend_8h_resumption,12,372,372,5,0,0,True,0.000000000001,True
E2_trend_8h_resumption_hold6,R1E02_legacy_trend_8h_resumption,16,372,372,5,0,0,True,0.000000000001,True
E2_trend_8h_resumption_hold6,R1E02_legacy_trend_8h_resumption,24,370,370,5,0,0,True,0.000000000001,True
E3_trend_24h_resumption_hold6,R1E05_legacy_trend_24h_resumption,1,361,361,5,0,0,True,0.000000000001,True
E3_trend_24h_resumption_hold6,R1E05_legacy_trend_24h_resumption,2,361,361,5,0,0,True,0.000000000001,True
E3_trend_24h_resumption_hold6,R1E05_legacy_trend_24h_resumption,3,361,361,5,0,0,True,0.000000000001,True
E3_trend_24h_resumption_hold6,R1E05_legacy_trend_24h_resumption,4,361,361,5,0,0,True,0.000000000001,True
E3_trend_24h_resumption_hold6,R1E05_legacy_trend_24h_resumption,6,361,361,5,0,0,True,0.000000000001,True
E3_trend_24h_resumption_hold6,R1E05_legacy_trend_24h_resumption,8,361,361,5,0,0,True,0.000000000001,True
E3_trend_24h_resumption_hold6,R1E05_legacy_trend_24h_resumption,12,361,361,5,0,0,True,0.000000000001,True
E3_trend_24h_resumption_hold6,R1E05_legacy_trend_24h_resumption,16,361,361,5,0,0,True,0.000000000001,True
E3_trend_24h_resumption_hold6,R1E05_legacy_trend_24h_resumption,24,360,360,5,0,0,True,0.000000000001,True
