candidate_id,family,definition_sha256,horizon_bars,side,trades,win_rate,avg_gross_pips,avg_default_net_pips,total_default_net_pips,avg_severe_net_pips,total_severe_net_pips,median_default_net_pips,avg_mfe_pips,avg_mae_pips,median_mfe_pips,median_mae_pips,avg_bars_to_mfe,avg_bars_to_mae,q05_default_net_pips,q95_default_net_pips,default_profit_factor,severe_profit_factor,total_excluding_best_utc_day,total_excluding_best_two_utc_days
R1A01_legacy_impulse_lb3_ny,impulse_breakout,6bec510204b6918a5b46e722969db1b490d4be5ad11730cb005626e4483a9115,1,-1,175,0.394285714286,-0.857714285714,-1.454071147269,-254.462450772054,-3.646784870378,-638.187352316201,-2.299999999997,7.902857142857,-8.239428571429,4.650000000001,-5.950000000001,0.977142857143,0.977142857143,-16.780175871503,15.156625469735,0.710465685618,0.433962039232,0.000000000000,0.000000000000
R1A01_legacy_impulse_lb3_ny,impulse_breakout,6bec510204b6918a5b46e722969db1b490d4be5ad11730cb005626e4483a9115,1,1,216,0.518518518519,2.051620370370,1.476754404450,318.978951361283,-0.672977527389,-145.363145916127,0.583825738606,7.162500000000,-5.263657407407,4.775000000001,-3.399999999999,0.976851851852,0.976851851852,-10.685613218015,14.220070970208,1.612937813580,0.811524855702,0.000000000000,0.000000000000
R1A01_legacy_impulse_lb3_ny,impulse_breakout,6bec510204b6918a5b46e722969db1b490d4be5ad11730cb005626e4483a9115,2,-1,175,0.451428571429,0.546571428571,-0.049785432983,-8.712450772070,-2.242499156093,-392.437352316217,-1.374190177639,11.891142857143,-11.044285714286,7.299999999998,-8.000000000001,1.417142857143,1.497142857143,-20.989419110105,25.154179751144,0.991494953290,0.684880655721,0.000000000000,0.000000000000
R1A01_legacy_impulse_lb3_ny,impulse_breakout,6bec510204b6918a5b46e722969db1b490d4be5ad11730cb005626e4483a9115,2,1,216,0.560185185185,2.485416666666,1.910550700746,412.678951361228,-0.239181231093,-51.663145916183,1.450000000001,9.842592592592,-8.107407407407,6.974999999998,-5.050000000001,1.523148148148,1.393518518519,-14.047910684270,18.677840872743,1.561076549089,0.946175088653,0.000000000000,0.000000000000
R1A01_legacy_impulse_lb3_ny,impulse_breakout,6bec510204b6918a5b46e722969db1b490d4be5ad11730cb005626e4483a9115,3,-1,175,0.468571428571,0.174285714286,-0.422071147269,-73.862450772050,-2.614784870378,-457.587352316197,-0.567588932806,14.979428571428,-13.030285714286,8.949999999999,-9.800000000001,1.897142857143,1.977142857143,-26.568906315683,30.267790386176,0.941828482275,0.692233003933,0.000000000000,0.000000000000
R1A01_legacy_impulse_lb3_ny,impulse_breakout,6bec510204b6918a5b46e722969db1b490d4be5ad11730cb005626e4483a9115,3,1,216,0.550925925926,2.591203703704,2.016337737784,435.528951361267,-0.133394194056,-28.813145916143,1.351294946147,11.987731481481,-10.153009259259,8.600000000001,-6.124999999999,2.064814814815,1.745370370370,-23.413534896316,23.861306446878,1.450312758406,0.975878119461,0.000000000000,0.000000000000
R1A01_legacy_impulse_lb3_ny,impulse_breakout,6bec510204b6918a5b46e722969db1b490d4be5ad11730cb005626e4483a9115,4,-1,175,0.371428571429,-0.799714285714,-1.396071147269,-244.312450772078,-3.588784870378,-628.037352316225,-3.189326556544,16.453428571428,-14.743142857143,9.699999999995,-10.300000000001,2.348571428571,2.445714285714,-30.664437980989,33.791904411766,0.828030659379,0.623586055423,0.000000000000,0.000000000000
R1A01_legacy_impulse_lb3_ny,impulse_breakout,6bec510204b6918a5b46e722969db1b490d4be5ad11730cb005626e4483a9115,4,1,216,0.578703703704,3.619675925926,3.044809960006,657.678951361278,0.895078028166,193.336854083867,2.268925818739,13.351388888889,-10.905787037037,9.675000000000,-6.624999999998,2.513888888889,2.046296296296,-20.952356744843,27.049189581157,1.685332055456,1.165183661417,0.000000000000,0.000000000000
R1A01_legacy_impulse_lb3_ny,impulse_breakout,6bec510204b6918a5b46e722969db1b490d4be5ad11730cb005626e4483a9115,6,-1,175,0.405714285714,0.491142857143,-0.105214004412,-18.412450772071,-2.297927727521,-402.137352316218,-4.122998768473,20.221142857143,-16.862857142857,11.400000000000,-13.000000000002,3.080000000000,3.422857142857,-36.670336433260,51.044276102375,0.988489842078,0.781151075673,0.000000000000,0.000000000000
R1A01_legacy_impulse_lb3_ny,impulse_breakout,6bec510204b6918a5b46e722969db1b490d4be5ad11730cb005626e4483a9115,6,1,216,0.620370370370,4.309259259259,3.734393293339,806.628951361297,1.584661361499,342.286854083887,3.671450809465,16.097453703704,-12.888194444444,12.100000000000,-7.275000000000,3.620370370370,2.712962962963,-28.090679258634,35.652328030940,1.666857861974,1.243665522880,0.000000000000,0.000000000000
