candidate_id,role,period,spread_multiplier,slippage_pips_per_side,trades,avg_net_pips,total_net_pips,profit_factor,positive_months,total_excluding_best_two_days,max_drawdown_pips
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H1,1.0,0.0,90,3.676026618334142,330.8423956500728,1.5100023391611404,5,200.99239565007355,-130.89999999999873
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H1,1.0,0.1,90,3.4760266183341417,312.8423956500728,1.4768883677195994,5,183.39239565007355,-133.6999999999987
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H1,1.0,0.3,90,3.0760266183341414,276.8423956500727,1.412638631392956,5,148.19239565007348,-139.29999999999882
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H1,1.0,0.5,90,2.6760266183341415,240.84239565007275,1.3510271481078728,4,112.99239565007352,-144.89999999999878
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H1,1.5,0.0,90,3.3745954830568534,303.7135934751168,1.4602862019612917,5,174.4635934751176,-135.09999999999877
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H1,1.5,0.1,90,3.174595483056854,285.71359347511685,1.4282044425051468,5,156.86359347511763,-137.89999999999873
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H1,1.5,0.3,90,2.7745954830568524,249.7135934751167,1.3659148179780156,4,121.6635934751175,-143.4999999999987
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H1,1.5,0.5,90,2.3745954830568534,213.71359347511682,1.3062297695971852,4,86.4635934751176,-149.09999999999872
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H1,2.0,0.0,90,3.073164347779564,276.58479130016076,1.412096437233331,5,147.93479130016155,-139.29999999999882
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H1,2.0,0.1,90,2.873164347779564,258.58479130016076,1.38096353199287,5,130.33479130016156,-142.09999999999877
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H1,2.0,0.3,90,2.4731643477795644,222.5847913001608,1.3206741309084622,4,95.13479130016157,-147.69999999999865
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H1,2.0,0.5,90,2.0731643477795645,186.5847913001608,1.2629009340830941,4,59.93479130016158,-153.29999999999876
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H1,3.0,0.0,90,2.4703020772249853,222.32718695024866,1.3201841759526451,4,94.87718695024944,-147.69999999999862
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H1,3.0,0.1,90,2.2703020772249847,204.32718695024863,1.2909927344848322,4,77.27718695024942,-150.4999999999987
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H1,3.0,0.3,90,1.8703020772249852,168.32718695024866,1.2344805150582963,3,42.07718695024943,-156.09999999999874
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H1,3.0,0.5,90,1.4703020772249855,132.3271869502487,1.180313515635415,3,6.877186950249467,-171.7228130497436
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H2,1.0,0.0,114,1.8342105263157642,209.09999999999712,1.1853230523796836,3,47.34999999999593,-192.09999999999707
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H2,1.0,0.1,114,1.6342105263157636,186.29999999999706,1.1635214605459472,3,25.149999999995856,-193.09999999999675
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H2,1.0,0.3,114,1.234210526315764,140.6999999999971,1.1211521074611424,3,-19.25000000000415,-205.49999999999682
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H2,1.0,0.5,114,0.8342105263157641,95.09999999999711,1.0803379091869036,2,-63.650000000004084,-217.8999999999968
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H2,1.5,0.0,114,1.5342105263157653,174.89999999999725,1.1527777777777757,3,14.04999999999606,-196.19999999999678
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H2,1.5,0.1,114,1.3342105263157653,152.09999999999724,1.1315971621387757,3,-8.150000000003956,-202.39999999999674
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H2,1.5,0.3,114,0.9342105263157651,106.49999999999721,1.0903959597674295,3,-52.55000000000399,-214.79999999999677
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H2,1.5,0.5,114,0.5342105263157654,60.899999999997256,1.050714077528415,2,-96.95000000000394,-227.19999999999678
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H2,2.0,0.0,114,1.2342105263157652,140.69999999999723,1.1211521074611424,3,-19.25000000000395,-205.4999999999968
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H2,2.0,0.1,114,1.034210526315765,117.8999999999972,1.100550083152102,3,-41.45000000000398,-211.69999999999675
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H2,2.0,0.3,114,0.6342105263157642,72.29999999999713,1.0604944985985,2,-85.85000000000407,-224.09999999999673
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H2,2.0,0.5,114,0.23421052631576503,26.699999999997214,1.021919382645101,2,-130.25000000000398,-236.49999999999676
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H2,3.0,0.0,114,0.6342105263157647,72.29999999999717,1.0604944985985,2,-85.85000000000403,-224.09999999999678
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H2,3.0,0.1,114,0.43421052631576484,49.49999999999719,1.0410260660561084,2,-108.05000000000402,-230.29999999999677
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H2,3.0,0.3,114,0.034210526315764496,3.899999999997153,1.0031715052451795,2,-152.45000000000405,-242.6999999999968
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H2,3.0,0.5,114,-0.3657894736842356,-41.70000000000286,0.9667185442356018,1,-196.85000000000406,-255.09999999999678
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,FULL_2024,1.0,0.0,204,2.6467764492650487,539.9423956500699,1.303849231893186,8,378.1923956500687,-192.09999999999712
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,FULL_2024,1.0,0.1,204,2.446776449265049,499.14239565007,1.2780261134307471,8,337.99239565006883,-193.09999999999667
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,FULL_2024,1.0,0.3,204,2.0467764492650478,417.54239565006975,1.227884111196371,8,257.5923956500685,-205.49999999999693
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,FULL_2024,1.0,0.5,204,1.6467764492650485,335.9423956500699,1.1796620207167419,6,177.1923956500687,-222.6500000000086
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,FULL_2024,1.5,0.0,204,2.346145066054481,478.6135934751141,1.2652133093096387,8,317.7635934751129,-196.1999999999968
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,FULL_2024,1.5,0.1,204,2.1461450660544807,437.8135934751141,1.2401562535493682,8,277.5635934751129,-202.3999999999968
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,FULL_2024,1.5,0.3,204,1.7461450660544802,356.21359347511395,1.1914523250443594,7,197.16359347511275,-216.95000000000857
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,FULL_2024,1.5,0.5,204,1.3461450660544807,274.61359347511404,1.1446296560867666,6,116.76359347511286,-240.95000000000022
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,FULL_2024,2.0,0.0,204,2.0455136828439118,417.28479130015796,1.2277115023761382,8,257.3347913001568,-205.49999999999693
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,FULL_2024,2.0,0.1,204,1.8455136828439118,376.484791300158,1.2033607186560975,8,217.13479130015682,-211.69999999999678
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,FULL_2024,2.0,0.3,204,1.4455136828439117,294.884791300158,1.1560843813469128,6,136.7347913001568,-234.55000000000024
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,FULL_2024,2.0,0.5,204,1.0455136828439116,213.28479130015796,1.1106354957350937,6,56.33479130015678,-260.1500000000003
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,FULL_2024,3.0,0.0,204,1.4442509164227741,294.6271869502459,1.1559267688727772,6,136.47718695024471,-234.5500000000002
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,FULL_2024,3.0,0.1,204,1.244250916422774,253.82718695024587,1.1329827386223168,6,96.27718695024467,-247.35000000000036
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,FULL_2024,3.0,0.3,204,0.8442509164227734,172.22718695024577,1.0884317062736941,5,15.87718695024455,-272.9500000000003
F_v2_z72_1p5_mean_target_0p5_max12,production_primary,FULL_2024,3.0,0.5,204,0.44425091642277403,90.6271869502459,1.0456141264107666,4,-64.5228130497553,-308.57281304974515
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H1,1.0,0.0,90,5.018248840556351,451.64239565007153,1.696218747277793,6,313.242395650074,-116.95000000000056
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H1,1.0,0.1,90,4.8182488405563495,433.6423956500715,1.6610325745839531,5,295.642395650074,-119.75000000000063
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H1,1.0,0.3,90,4.418248840556348,397.6423956500713,1.5926932308888895,5,260.44239565007376,-125.35000000000065
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H1,1.0,0.5,90,4.01824884055635,361.6423956500715,1.5270928253196239,5,225.24239565007395,-130.95000000000056
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H1,1.5,0.0,90,4.716817705279061,424.5135934751155,1.6433618837597717,5,286.713593475118,-121.1500000000006
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H1,1.5,0.1,90,4.5168177052790615,406.5135934751155,1.6092497194395328,5,269.113593475118,-123.95000000000061
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H1,1.5,0.3,90,4.11681770527906,370.51359347511544,1.5429276485436392,5,233.91359347511792,-129.55000000000052
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H1,1.5,0.5,90,3.716817705279061,334.5135934751155,1.4793238417421408,5,198.713593475118,-135.1500000000006
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H1,2.0,0.0,90,4.415386570001771,397.38479130015935,1.5920819287846768,5,260.18479130016186,-125.35000000000059
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H1,2.0,0.1,90,4.215386570001772,379.38479130015946,1.5589337615386532,5,242.58479130016195,-128.1500000000006
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H1,2.0,0.3,90,3.8153865700017713,343.3847913001594,1.4947086405776493,5,207.3847913001619,-133.75000000000063
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H1,2.0,0.5,90,3.4153865700017705,307.38479130015935,1.4331100525001859,5,172.18479130016186,-140.89999999999657
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H1,3.0,0.0,90,3.812524299447193,343.1271869502474,1.4941541208147386,5,207.1271869502499,-133.75000000000057
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H1,3.0,0.1,90,3.6125242994471924,325.12718695024734,1.4630301556936236,5,189.5271869502498,-136.55000000000052
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H1,3.0,0.3,90,3.212524299447192,289.1271869502473,1.4026713102919504,5,154.32718695024977,-145.49999999999653
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H1,3.0,0.5,90,2.8125242994471935,253.12718695024742,1.3446613891242332,5,119.12718695024992,-154.69999999999644
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H2,1.0,0.0,112,1.4857142857142898,166.40000000000046,1.1467566256559516,3,28.250000000000654,-192.09999999999707
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H2,1.0,0.1,112,1.2857142857142898,144.00000000000045,1.1257587004934293,3,6.450000000000671,-192.89999999999708
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H2,1.0,0.3,112,0.8857142857142899,99.20000000000047,1.0849678800856535,3,-37.149999999999324,-196.84999999999786
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H2,1.0,0.5,112,0.4857142857142896,54.40000000000043,1.045702764009074,3,-80.74999999999937,-209.24999999999784
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H2,1.5,0.0,112,1.18571428571429,132.80000000000047,1.115413027419285,3,-4.4499999999993065,-193.29999999999708
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H2,1.5,0.1,112,0.9857142857142903,110.40000000000052,1.0950208718853558,3,-26.24999999999926,-194.09999999999707
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H2,1.5,0.3,112,0.5857142857142905,65.60000000000053,1.055377342562891,3,-69.84999999999926,-206.14999999999782
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H2,1.5,0.5,112,0.18571428571428988,20.800000000000466,1.017222820236814,2,-113.4499999999993,-218.54999999999782
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H2,2.0,0.0,112,0.8857142857142902,99.2000000000005,1.0849678800856535,3,-37.149999999999295,-196.8499999999978
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H2,2.0,0.1,112,0.6857142857142894,76.80000000000041,1.0651454745949618,3,-58.94999999999936,-203.0499999999978
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H2,2.0,0.3,112,0.28571428571429003,32.00000000000048,1.0266245111906154,2,-102.5499999999993,-215.44999999999783
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H2,2.0,0.5,112,-0.11428571428570981,-12.7999999999995,0.9895531524178741,2,-146.1499999999993,-227.84999999999783
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H2,3.0,0.0,112,0.28571428571428975,32.000000000000455,1.0266245111906154,2,-102.54999999999933,-215.44999999999783
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H2,3.0,0.1,112,0.08571428571429074,9.600000000000563,1.0079110012360943,2,-124.34999999999923,-221.64999999999782
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H2,3.0,0.3,112,-0.3142857142857099,-35.199999999999505,0.9715452083585955,2,-167.9499999999993,-234.04999999999785
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H2,3.0,0.5,112,-0.71428571428571,-79.99999999999952,0.9365431902911084,2,-211.5499999999993,-246.44999999999786
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,FULL_2024,1.0,0.0,202,3.0596158200498613,618.042395650072,1.3467166469918763,9,476.84239565007385,-192.09999999999712
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,FULL_2024,1.0,0.1,202,2.859615820049861,577.642395650072,1.3207239980858756,8,436.8423956500739,-192.89999999999708
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,FULL_2024,1.0,0.3,202,2.45961582004986,496.8423956500717,1.2702569302229167,8,356.84239565007357,-204.50000000000466
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,FULL_2024,1.0,0.5,202,2.0596158200498613,416.04239565007197,1.2217228254061636,8,276.84239565007385,-226.90000000000475
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,FULL_2024,1.5,0.0,202,2.7589781855203763,557.313593475116,1.3078253399012543,8,416.71359347511793,-193.29999999999706
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,FULL_2024,1.5,0.1,202,2.5589781855203757,516.9135934751159,1.2826075310773402,8,376.7135934751179,-198.90000000000475
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,FULL_2024,1.5,0.3,202,2.1589781855203762,436.113593475116,1.2335860146866982,8,296.7135934751179,-221.3000000000045
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,FULL_2024,1.5,0.5,202,1.7589781855203763,355.313593475116,1.1864589253252948,7,216.71359347511793,-244.8999999999963
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,FULL_2024,2.0,0.0,202,2.4583405509908904,496.58479130015985,1.2700789621463016,8,356.5847913001618,-204.5000000000045
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,FULL_2024,2.0,0.1,202,2.2583405509908903,456.1847913001599,1.2455688943108563,8,316.5847913001618,-215.70000000000456
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,FULL_2024,2.0,0.3,202,1.8583405509908908,375.3847913001599,1.1979861709851884,7,236.58479130016184,-238.59999999999658
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,FULL_2024,2.0,0.5,202,1.4583405509908904,294.58479130015985,1.1522429395503722,7,156.58479130016178,-265.3499999999923
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,FULL_2024,3.0,0.0,202,1.85706528193192,375.12718695024785,1.1978234272878385,7,236.32718695024977,-238.59999999999653
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,FULL_2024,3.0,0.1,202,1.65706528193192,334.72718695024787,1.1747308750586516,7,196.32718695024977,-251.1999999999963
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,FULL_2024,3.0,0.3,202,1.2570652819319197,253.92718695024777,1.1298811917670448,7,116.32718695024968,-279.7499999999924
F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,FULL_2024,3.0,0.5,202,0.8570652819319202,173.12718695024788,1.086775202918765,7,36.327186950249796,-308.5499999999923
